feature,AAVS1_Con_1,AAVS1_Con_2,AAVS1_Con_3,ACOT7_1,ACOT7_2,ACOT7_3,CEPT1_1,CEPT1_2,CEPT1_3,DECR2_1,DECR2_2,DECR2_3,ELOVL5_1,ELOVL5_2,ELOVL5_3,HSD17B12_1,HSD17B12_2,HSD17B12_3,MPDU1_1,MPDU1_2,MPDU1_3,ORMDL2_1,ORMDL2_2,ORMDL2_3,ORMDL2_4,ORMDL2_5,ORMDL2_6,SGMS1_1,SGMS1_2,SGMS1_3
CE 10:0;0,,,,,,,,,,,,,,,,,,,,,,,,,0.083910544,0.1724963,,,,
CE 11:0;0,,,,,,,,,,,,,,,,,,,,,,,,,0.060073112,0.152113072,,,,
CE 13:0;0,,,,,,,,,,,,,,,,,,,,,,,,,0.033187862,0.086618221,,,,
CE 14:0;0,0.073921639,0.078378606,0.090049953,0.047091012,0.049848602,,0.18706614,0.17487757,0.185742599,0.239842706,0.204815189,0.225818411,0.195206074,0.21843276,0.186314156,0.297096733,0.254085184,0.26241972,0.281589293,0.258937939,0.260795713,0.083199678,0.128352835,0.0969497,0.147298263,0.229407426,0.111948995,0.159761174,0.174198102,0.153807513
CE 14:1;0,,,,,,,,,,,0.038404651,,0.060971321,0.07026598,0.066844502,0.08009118,0.06889944,0.048977051,,0.025500813,,,,,0.088396074,0.138689493,,,,
CE 15:0;0,,,,,,,,,,,0.092491999,,,,,,,,,0.079601248,,,0.062170111,,0.214955738,0.327415812,0.129935373,,,
CE 15:1;0,,,,,,,,,,,,,,,,,,,,,,,,,0.057249677,0.108309389,,,,
CE 16:0;0,0.228072115,0.198377367,0.182126715,0.157365373,0.150156729,0.143063186,0.278605781,0.251724366,0.246843386,0.674315121,0.580397802,0.651213041,0.43948962,0.465456046,0.402799475,0.438236202,0.430392158,0.392729133,0.840162847,0.819897102,0.807125591,0.259130762,0.311887722,0.26115873,0.304930147,0.378232536,0.232751512,0.471151681,0.4948195,0.454344327
CE 16:1;0,,0.107710929,0.114366967,,0.105261266,0.118897491,0.210552999,0.223526551,0.198373728,0.257985278,0.310968864,0.258496939,0.53640847,0.6224932,0.530859041,0.782246501,0.692626476,0.650298238,0.297177416,0.336190261,0.286951489,0.202154949,0.319746002,0.21995679,0.458294804,0.690745421,0.203184008,0.225903204,0.232306195,0.230592647
CE 16:2;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE 17:0;0,,,,,,,,,,0.048885826,0.06327844,0.047475379,,,,,,,,0.06073731,,,,,0.073063143,0.118941468,0.027423375,,,
CE 17:1;0,,,,0.032859757,,,,,,0.03677615,0.059649689,0.050416945,0.065320411,0.046797418,0.04555863,0.055057903,0.032014429,,,0.038113544,,,0.034598983,,0.077116913,0.147944244,,,,
CE 18:0;0,0.03907371,0.030174842,0.042034089,0.048849798,0.039030584,,,,,0.185266686,0.15928233,0.171357871,0.05662118,0.060354209,0.055292454,0.034816913,0.029686602,,0.110756004,0.120279659,0.115976016,0.045532932,0.076066392,0.061126525,0.084378373,0.118880517,0.07373332,0.073339386,0.060960607,0.075843029
CE 18:1;0,0.311948339,0.319964133,0.290016218,0.471708389,0.491222123,0.437765448,0.348409126,0.334244308,0.307136361,1.278075967,1.024384305,1.230886783,0.835078677,0.883475773,0.772490561,1.019053325,0.931256065,0.901474176,0.754256799,0.729430369,0.742127738,0.561752727,0.695667192,0.568806967,0.54053118,0.545109974,0.436959413,0.6443176,0.641748863,0.651229147
CE 18:2;0,,,,0.060500726,0.05911888,0.061556868,,,,0.070057294,0.080436002,0.048769002,0.048676612,,,,0.064776516,,,0.070605979,,,0.061998177,,0.107800723,0.1281087,0.067775526,,,
CE 18:3;0,,,,,,,,,,,,,,,,,,,,,,,,,,0.032044546,,,,
CE 19:0;0,,,,,,,,,,,0.044001549,,,,,,,,,,,,,,0.096115071,0.082472182,0.101174329,,,
CE 19:1;0,,,,,,,,,,,0.035415385,,,,,,,,,,,,,,0.029954472,0.082578438,,,,
CE 20:1;0,,,,0.048130209,0.053279063,0.047496248,0.03369669,0.03723105,0.040482555,0.157215594,0.152196947,0.163360948,0.03703618,0.038436679,0.038909574,0.05572385,0.056462632,0.056876424,0.051146724,0.058062741,0.070593043,0.055086045,0.062557629,0.044528001,0.087807169,0.077164194,0.042564018,0.061458636,,0.058082393
CE 20:2;0,,,,,,,,,,,,,,,,,,,,,,,,,,0.029715977,,,,
CE 20:3;0,,,,0.184410999,0.166438499,0.135148,,,,,,,,,,,,,,,,,,,,,,,,
CE 20:4;0,,,,0.17357944,0.170510338,0.147974928,,,,0.030588644,,,,,,,,,,,,,,,,,,,,
CE 20:5;0,,,,0.147506315,0.143815448,0.12191365,,,,,,,,,,,,,,,,,,,,,,,,
CE 21:0;0,,,,,,,,,,,,,,,,,,,,0.032969402,,,0.057463625,,0.241851716,0.170693063,0.251353286,,,
CE 22:0;0,,,,,,,,,,,0.061654392,,,,,,,,,,,,,,0.155270334,0.092994184,0.109563247,,,
CE 22:1;0,,,,,,,,,,0.066277412,0.05670128,0.053329558,,,,,,,,,,,,,0.068334255,0.030612036,0.027632835,,,
CE 22:4;0,,,,0.106004313,0.108468019,0.095746925,,,,,,,,,,,,,,,,,,,,,,,,
CE 22:5;0,,,,0.555346394,0.547681341,0.530922187,,,,0.112673346,0.087188882,0.105654502,0.033593446,,,0.0610427,0.052649772,0.039505525,,,,,,,,,,,,
CE 22:6;0,,0.050999648,0.047616022,0.620110792,0.662506377,0.684964117,0.054709738,,0.042024539,0.157237086,0.115334949,0.143860498,0.09586819,0.084387183,0.076788392,0.130154932,0.121704261,0.105278828,0.074197023,0.062483873,0.050964024,,,,,,,0.073979831,0.096682783,0.070119731
CE 23:0;0,,,,,,,,,,,,,,,,,,,,,,,,,0.099172822,0.071597488,0.070966319,,,
