feature,AAVS1_Con_1,AAVS1_Con_2,AAVS1_Con_3,CERS2_1,CERS2_2,CERS2_3,CERS2_4,CERS2_5,CERS2_6,FADS3_1,FADS3_2,FADS3_3,GNPAT_1,GNPAT_2,GNPAT_3
Cer 34:0;2,0.005020187,0.00475341,0.004501875,0.007573593,0.006293556,0.005687525,0.00985338,0.011387049,0.010654379,0.002997164,0.002928964,0.002400453,0.004199087,0.00369865,0.003981428
Cer 34:0;3,,,,,,,0.000770757,,,,,,,,
Cer 34:1;2,0.074091652,0.071410295,0.076455345,0.132322269,0.130432681,0.130333066,0.152211132,0.148056405,0.146730936,0.077686584,0.078552403,0.079814669,0.075699049,0.073941605,0.074093091
Cer 34:1;3,0.000882686,,0.000849832,0.001521702,0.001283828,0.000983379,0.001282184,0.000972277,0.001441429,,,0.000707518,,,
Cer 34:1;4,,,0.000703689,,,,0.000665648,,,,,,,,
Cer 34:2;2,0.011963351,0.013031303,0.012919729,0.024151382,0.019831568,0.027397209,0.021166993,0.021525501,0.01988502,0.007318999,0.006130208,0.007162571,0.015938891,0.016207669,0.013335431
Cer 36:1;2,,0.002760016,,,,0.002337121,,0.003318119,,,,,,,
Cer 36:1;3,,,,,,,,,,,,,,,
Cer 36:2;2,0.000882754,0.00121092,0.000922798,,,0.001473739,0.001002136,0.001274226,0.00098711,,,,,,0.000950182
Cer 38:1;2,,0.002086852,,,,0.002666238,0.003078435,0.003428957,0.002997678,,,,,,
Cer 40:0;2,0.000819919,0.000701604,0.000771961,,,,0.000631413,,,,0.000787397,,,,
Cer 40:1;2,0.01007896,0.00933716,0.010068837,0.007437281,0.006681218,0.00686707,0.006927717,0.007032916,0.006839433,0.012870896,0.013331458,0.013530015,0.010730489,0.010412534,0.009350327
Cer 40:2;2,0.004845257,0.005350703,0.005038759,0.002695371,0.002896347,0.002738728,0.002082512,0.002436708,0.002237189,0.003839688,0.003979357,0.0043611,0.004548355,0.005485955,0.004218217
Cer 42:0;2,0.001532564,0.001272434,0.001160125,,,,,,,,,0.000950149,0.001140155,0.001363469,
Cer 42:1;2,0.043359122,0.040444301,0.040925408,0.012085614,0.01238246,0.012058768,0.013063982,0.014052304,0.013036994,0.064687968,0.070599795,0.064875131,0.054009213,0.051101847,0.04831865
Cer 42:1;3,0.001200874,0.000840132,0.000785896,,,,0.000935478,,,0.000747238,0.001044786,0.000907391,0.0009913,0.000969491,0.001017844
Cer 42:2;2,0.045581703,0.044903862,0.044520107,0.010183538,0.010023089,0.01037633,0.008291772,0.008456463,0.007361069,0.04771323,0.049281932,0.048763408,0.055878167,0.054209758,0.048295658
Cer 44:0;2,,,,,,,,,,,,,,,
Cer 44:1;2,0.00524456,0.005253106,0.004700101,0.000880809,0.001128858,0.001246806,0.001703955,0.0012959,0.000984382,0.006217591,0.006642616,0.006433988,0.005957662,0.005907767,0.005595541
Cer 44:2;2,0.006724821,0.006201251,0.005996341,,,0.000963287,,,,0.0052528,0.005313136,0.005572925,0.007203259,0.00686487,0.006093078
DAG 12:0;0_18:0;0,,0.000248721,,,,,0.000410392,,,,,,,,
DAG 14:0;0_16:0;0,0.044796948,0.054316598,0.046499832,0.050263946,0.04097854,0.06099953,0.064698639,0.053830141,0.043738271,0.0641318,0.067753703,0.073100463,0.058970117,0.064037552,0.059716784
DAG 15:0;0_15:0;0,0.000104136,8.32E-05,0.000152118,,0.000118471,9.14E-05,0.000566311,0.000289189,0.000174812,,0.000344603,0.000110617,0.000121927,,0.000154079
DAG 12:0;0_18:1;0,,0.001623967,0.001370573,0.001005716,0.000961124,0.001215459,0.001366695,0.001253744,0.001293808,0.001544683,0.001359151,0.001734027,0.000866948,0.001211275,0.000829797
DAG 14:0;0_16:1;0,0.024269523,0.036369824,0.031745508,0.017976813,0.014600574,0.022936797,0.033740116,0.02573965,0.020524136,0.018496557,0.018977814,0.025684002,0.028167913,0.028974217,0.022398809
DAG 14:1;0_16:0;0,0.01340962,0.015283587,0.013535321,0.010084827,0.008389255,0.011950211,0.012873673,0.010889867,0.00963028,0.011458351,0.012418708,0.0171889,0.008985687,0.009152719,0.007451951
DAG 14:1;0_16:1;0,,,,,,,,,,,,,,,0.01421236
DAG 14:0;0_17:0;0,,,,,,,0.001809817,,,,,,,,
DAG 15:0;0_16:0;0,,,,,,,0.013232816,,,,,,,,
DAG 14:0;0_17:1;0,0.001957802,,,,,,,,,,,,,,
DAG 15:0;0_16:1;0,0.003568395,,,,,,,,,,,,,,
DAG 15:1;0_16:0;0,0.005724654,,,,,,,,,,,,,,
DAG 14:0;0_18:0;0,0.006032354,0.006103788,0.005711121,0.006021921,0.006199044,0.006888453,0.009521608,0.008543082,0.008190447,0.00877476,0.008747069,0.01151957,0.007876027,0.007977952,0.007423415
