"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"DAG_18:1;0_18:3;0 --> TAG_52:4;0","DAG_18:1;0_18:3;0","TAG_52:4;0",-4.52089765351633,-0.708214482710468,"Suppressed","no","18:1;0_18:3;0"
"DAG_16:0;0_18:2;0 --> TAG_56:6;0","DAG_16:0;0_18:2;0","TAG_56:6;0",-4.52429475379885,-0.709871437944761,"Suppressed","no","16:0;0_18:2;0"
"PI_16:0;0_18:1;0 --> DAG_16:0;0_18:1;0 --> TAG_51:3;0","PI_16:0;0_18:1;0","TAG_51:3;0",-5.16467454460213,-0.713259871043219,"Suppressed","no","16:0;0_18:1;0"
"PI_18:1;0_18:1;0 --> DAG_18:1;0_18:1;0 --> TAG_54:4;0","PI_18:1;0_18:1;0","TAG_54:4;0",-5.16634585186085,-0.714071672507334,"Suppressed","no","18:1;0_18:1;0"
"DAG_16:0;0_18:1;0 --> TAG_51:3;0","DAG_16:0;0_18:1;0","TAG_51:3;0",-4.55900265950244,-0.726800418912108,"Suppressed","no","16:0;0_18:1;0"
"PI_18:1;0_18:2;0 --> DAG_18:1;0_18:2;0 --> TAG_53:4;0","PI_18:1;0_18:2;0","TAG_53:4;0",-5.21036775637997,-0.735454363425119,"Suppressed","no","18:1;0_18:2;0"
"DAG_16:0;0_18:0;0 --> TAG_51:2;0","DAG_16:0;0_18:0;0","TAG_51:2;0",-4.58530630616206,-0.739630174111836,"Suppressed","no","16:0;0_18:0;0"
"DAG_18:2;0_18:2;0 --> TAG_53:4;0","DAG_18:2;0_18:2;0","TAG_53:4;0",-4.5873048241661,-0.740604962782241,"Suppressed","no","18:2;0_18:2;0"
"DAG_16:1;0_18:1;0 --> TAG_56:4;0","DAG_16:1;0_18:1;0","TAG_56:4;0",-4.59178003890193,-0.742787774552406,"Suppressed","no","16:1;0_18:1;0"
"PC_18:2;0_20:1;0 --> LPC_18:2;0","PC_18:2;0_20:1;0","LPC_18:2;0",-4.59572730917962,-0.744713078371504,"Suppressed","no","18:2;0_20:1;0"
"PI_16:0;0_18:1;0 --> DAG_16:0;0_18:1;0 --> TAG_54:4;0","PI_16:0;0_18:1;0","TAG_54:4;0",-5.26282809071835,-0.760935839677796,"Suppressed","no","16:0;0_18:1;0"
"DAG_18:1;0_18:3;0 --> TAG_54:6;0","DAG_18:1;0_18:3;0","TAG_54:6;0",-4.63573582298386,-0.764227461477989,"Suppressed","no","18:1;0_18:3;0"
"DAG_18:1;0_18:3;0 --> TAG_52:5;0","DAG_18:1;0_18:3;0","TAG_52:5;0",-4.63646083269983,-0.764581089143906,"Suppressed","no","18:1;0_18:3;0"
"DAG_18:1;0_18:3;0 --> TAG_51:4;0","DAG_18:1;0_18:3;0","TAG_51:4;0",-4.64111847043574,-0.766852878783343,"Suppressed","no","18:1;0_18:3;0"
"DAG_18:0;0_18:2;0 --> TAG_58:6;0","DAG_18:0;0_18:2;0","TAG_58:6;0",-4.65167673359497,-0.7720027324679,"Suppressed","no","18:0;0_18:2;0"
"PI_18:1;0_18:2;0 --> DAG_18:1;0_18:2;0 --> TAG_54:3;0","PI_18:1;0_18:2;0","TAG_54:3;0",-5.29539694320718,-0.776755457523113,"Suppressed","no","18:1;0_18:2;0"
"PI_18:0;0_18:2;0 --> DAG_18:0;0_18:2;0 --> TAG_56:6;0","PI_18:0;0_18:2;0","TAG_56:6;0",-5.30638328475616,-0.782091836042519,"Suppressed","no","18:0;0_18:2;0"
"DAG_18:0;0_18:2;0 --> TAG_58:8;0","DAG_18:0;0_18:2;0","TAG_58:8;0",-4.67245285523194,-0.782136405492457,"Suppressed","no","18:0;0_18:2;0"
"DAG_16:0;0_18:1;0 --> TAG_54:4;0","DAG_16:0;0_18:1;0","TAG_54:4;0",-4.67921571171718,-0.785435027705545,"Suppressed","no","16:0;0_18:1;0"
"PI_18:1;0_18:1;0 --> DAG_18:1;0_18:1;0 --> TAG_50:3;0","PI_18:1;0_18:1;0","TAG_50:3;0",-5.31624838667528,-0.786883596587941,"Suppressed","no","18:1;0_18:1;0"
"DAG_18:1;0_18:3;0 --> TAG_54:5;0","DAG_18:1;0_18:3;0","TAG_54:5;0",-4.686548616146,-0.78901169408729,"Suppressed","no","18:1;0_18:3;0"
"PI_18:1;0_18:2;0 --> DAG_18:1;0_18:2;0 --> TAG_53:3;0","PI_18:1;0_18:2;0","TAG_53:3;0",-5.32383422095264,-0.790568252022051,"Suppressed","no","18:1;0_18:2;0"
"DAG_16:0;0_18:2;0 --> TAG_56:7;0","DAG_16:0;0_18:2;0","TAG_56:7;0",-4.69111450677927,-0.791238733548839,"Suppressed","no","16:0;0_18:2;0"
"PE_18:0;0_18:1;0 --> PC_18:0;0_18:1;0 --> LPC_18:0;0","PE_18:0;0_18:1;0","LPC_18:0;0",-5.3294046931913,-0.793273988801195,"Suppressed","no","18:0;0_18:1;0"
"DAG_18:2;0_18:2;0 --> TAG_58:10;0","DAG_18:2;0_18:2;0","TAG_58:10;0",-4.6967821219,-0.794003145476438,"Suppressed","no","18:2;0_18:2;0"
"PC_16:1;0_18:2;0 --> LPC_18:2;0","PC_16:1;0_18:2;0","LPC_18:2;0",-4.70024354561351,-0.795691474834783,"Suppressed","no","16:1;0_18:2;0"
"PC_16:0;0_20:1;0 --> LPC_16:0;0","PC_16:0;0_20:1;0","LPC_16:0;0",-4.71290707601256,-0.801868184744496,"Suppressed","no","16:0;0_20:1;0"
"DAG_18:0;0_18:2;0 --> TAG_52:2;0","DAG_18:0;0_18:2;0","TAG_52:2;0",-4.71413382694141,-0.802466539577643,"Suppressed","no","18:0;0_18:2;0"
"DAG_16:0;0_18:2;0 --> TAG_53:2;0","DAG_16:0;0_18:2;0","TAG_53:2;0",-4.71593104339011,-0.803343142254685,"Suppressed","no","16:0;0_18:2;0"
"DAG_16:0;0_18:0;0 --> PC_16:0;0_18:0;0","DAG_16:0;0_18:0;0","PC_16:0;0_18:0;0",-4.71872073600596,-0.804703830900143,"Suppressed","no","16:0;0_18:0;0"
"PI_18:1;0_18:1;0 --> DAG_18:1;0_18:1;0 --> TAG_54:6;0","PI_18:1;0_18:1;0","TAG_54:6;0",-5.36137766745617,-0.808804171647584,"Suppressed","no","18:1;0_18:1;0"
"PI_16:0;0_18:1;0 --> DAG_16:0;0_18:1;0 --> TAG_52:4;0","PI_16:0;0_18:1;0","TAG_52:4;0",-5.36409493358344,-0.810124025079083,"Suppressed","no","16:0;0_18:1;0"
"DAG_18:1;0_18:2;0 --> PC_18:1;0_18:2;0 --> LPC_18:1;0","DAG_18:1;0_18:2;0","LPC_18:1;0",-5.3699138076104,-0.812950417670845,"Suppressed","no","18:1;0_18:2;0"
"PI_18:1;0_18:2;0 --> DAG_18:1;0_18:2;0 --> TAG_52:3;0","PI_18:1;0_18:2;0","TAG_52:3;0",-5.37012137743144,-0.813051240235787,"Suppressed","no","18:1;0_18:2;0"
"DAG_18:1;0_18:2;0 --> TAG_56:4;0","DAG_18:1;0_18:2;0","TAG_56:4;0",-4.74266655007029,-0.816383539667495,"Suppressed","no","18:1;0_18:2;0"
"DAG_18:1;0_18:3;0 --> PC_18:1;0_18:3;0 --> LPC_18:1;0","DAG_18:1;0_18:3;0","LPC_18:1;0",-5.38549404226606,-0.820518180713081,"Suppressed","no","18:1;0_18:3;0"
"PI_18:1;0_18:1;0 --> DAG_18:1;0_18:1;0 --> TAG_54:5;0","PI_18:1;0_18:1;0","TAG_54:5;0",-5.40286613934045,-0.82895630228899,"Suppressed","no","18:1;0_18:1;0"
"DAG_18:0;0_18:2;0 --> TAG_53:4;0","DAG_18:0;0_18:2;0","TAG_53:4;0",-4.7699655034556,-0.829698761456875,"Suppressed","no","18:0;0_18:2;0"
"PI_18:1;0_18:1;0 --> DAG_18:1;0_18:1;0 --> TAG_56:3;0","PI_18:1;0_18:1;0","TAG_56:3;0",-5.42503333632915,-0.83972354025611,"Suppressed","no","18:1;0_18:1;0"
"PI_16:0;0_18:1;0 --> DAG_16:0;0_18:1;0 --> TAG_50:1;0","PI_16:0;0_18:1;0","TAG_50:1;0",-5.42707587202419,-0.840715657928723,"Suppressed","no","16:0;0_18:1;0"
"DAG_16:0;0_18:1;0 --> TAG_52:4;0","DAG_16:0;0_18:1;0","TAG_52:4;0",-4.80324175815821,-0.845929446400411,"Suppressed","no","16:0;0_18:1;0"
"PI_18:0;0_18:2;0 --> DAG_18:0;0_18:2;0 --> TAG_56:7;0","PI_18:0;0_18:2;0","TAG_56:7;0",-5.44259104269589,-0.84825181754366,"Suppressed","no","18:0;0_18:2;0"
"PI_16:0;0_18:1;0 --> DAG_16:0;0_18:1;0 --> TAG_54:6;0","PI_16:0;0_18:1;0","TAG_54:6;0",-5.45785990631367,-0.855668338818045,"Suppressed","no","16:0;0_18:1;0"
"PI_16:0;0_18:1;0 --> DAG_16:0;0_18:1;0 --> TAG_52:5;0","PI_16:0;0_18:1;0","TAG_52:5;0",-5.4584518742679,-0.855955874487772,"Suppressed","no","16:0;0_18:1;0"
"PI_18:0;0_18:2;0 --> DAG_18:0;0_18:2;0 --> TAG_53:2;0","PI_18:0;0_18:2;0","TAG_53:2;0",-5.4628536599891,-0.858093946990332,"Suppressed","no","18:0;0_18:2;0"
"PC_18:1;0_18:2;0 --> LPC_18:1;0","PC_18:1;0_18:2;0","LPC_18:1;0",-4.8310623582123,-0.859499104357821,"Suppressed","no","18:1;0_18:2;0"
"DAG_16:0;0_18:2;0 --> TAG_56:8;0","DAG_16:0;0_18:2;0","TAG_56:8;0",-4.84373805984606,-0.865681750857391,"Suppressed","no","16:0;0_18:2;0"
"DAG_16:0;0_18:0;0 --> TAG_54:4;0","DAG_16:0;0_18:0;0","TAG_54:4;0",-4.85090182863842,-0.869175920358021,"Suppressed","no","16:0;0_18:0;0"
"DAG_16:1;0_18:1;0 --> TAG_48:3;0","DAG_16:1;0_18:1;0","TAG_48:3;0",-4.86318675378752,-0.875167963375844,"Suppressed","no","16:1;0_18:1;0"
"PI_16:0;0_18:1;0 --> DAG_16:0;0_18:1;0 --> TAG_54:5;0","PI_16:0;0_18:1;0","TAG_54:5;0",-5.49934837819795,-0.875820469459452,"Suppressed","no","16:0;0_18:1;0"
"PI_18:1;0_18:2;0 --> DAG_18:1;0_18:2;0 --> TAG_54:7;0","PI_18:1;0_18:2;0","TAG_54:7;0",-5.50068732575256,-0.876470834363655,"Suppressed","no","18:1;0_18:2;0"
"DAG_18:0;0_18:2;0 --> TAG_54:3;0","DAG_18:0;0_18:2;0","TAG_54:3;0",-4.87410456394082,-0.88049318817819,"Suppressed","no","18:0;0_18:2;0"
"DAG_16:0;0_18:1;0 --> TAG_50:1;0","DAG_16:0;0_18:1;0","TAG_50:1;0",-4.88037733950895,-0.883552770600482,"Suppressed","no","16:0;0_18:1;0"
"PI_16:0;0_18:1;0 --> DAG_16:0;0_18:1;0 --> TAG_56:3;0","PI_16:0;0_18:1;0","TAG_56:3;0",-5.52151557518665,-0.886587707426571,"Suppressed","no","16:0;0_18:1;0"
"PI_16:0;0_18:1;0 --> DAG_16:0;0_18:1;0 --> TAG_51:1;0","PI_16:0;0_18:1;0","TAG_51:1;0",-5.52243444516627,-0.88703402870645,"Suppressed","no","16:0;0_18:1;0"
"DAG_18:0;0_18:2;0 --> TAG_53:3;0","DAG_18:0;0_18:2;0","TAG_53:3;0",-4.90893297401591,-0.897480945846986,"Suppressed","no","18:0;0_18:2;0"
"PI_18:1;0_18:2;0 --> DAG_18:1;0_18:2;0","PI_18:1;0_18:2;0","DAG_18:1;0_18:2;0",-4.91047841101217,-0.898234741645538,"Suppressed","no","18:1;0_18:2;0"
"PI_18:1;0_18:2;0 --> DAG_18:1;0_18:2;0 --> TAG_58:7;0","PI_18:1;0_18:2;0","TAG_58:7;0",-5.54898266698146,-0.899929255019175,"Suppressed","no","18:1;0_18:2;0"
"DAG_16:0;0_18:1;0 --> TAG_54:6;0","DAG_16:0;0_18:1;0","TAG_54:6;0",-4.91807992762574,-0.901942425167933,"Suppressed","no","16:0;0_18:1;0"
"DAG_16:0;0_18:1;0 --> TAG_52:5;0","DAG_16:0;0_18:1;0","TAG_52:5;0",-4.91880493734171,-0.90229605283385,"Suppressed","no","16:0;0_18:1;0"
"PI_16:0;0_18:1;0 --> DAG_16:0;0_18:1;0 --> PE_16:0;0_18:1;0 --> LPE_16:0;0","PI_16:0;0_18:1;0","LPE_16:0;0",-6.10195067962218,-0.907431699677854,"Suppressed","no","16:0;0_18:1;0"
"PI_16:0;0_18:1;0 --> DAG_16:0;0_18:1;0 --> PE_16:0;0_18:1;0 --> LPE_18:1;0","PI_16:0;0_18:1;0","LPE_18:1;0",-6.10697199251122,-0.909917040929149,"Suppressed","no","16:0;0_18:1;0"
"DAG_18:2;0_18:2;0 --> TAG_54:7;0","DAG_18:2;0_18:2;0","TAG_54:7;0",-4.94287222781981,-0.914035012421867,"Suppressed","no","18:2;0_18:2;0"
"PI_16:0;0_18:1;0 --> DAG_16:0;0_18:1;0 --> TAG_48:1;0","PI_16:0;0_18:1;0","TAG_48:1;0",-5.57886069099281,-0.914441860951327,"Suppressed","no","16:0;0_18:1;0"
"DAG_16:0;0_18:2;0 --> TAG_52:2;0","DAG_16:0;0_18:2;0","TAG_52:2;0",-4.94611455524502,-0.915616476303327,"Suppressed","no","16:0;0_18:2;0"
"PI_18:1;0_18:1;0 --> DAG_18:1;0_18:1;0 --> TAG_49:2;0","PI_18:1;0_18:1;0","TAG_49:2;0",-5.58707854587083,-0.918433506764553,"Suppressed","no","18:1;0_18:1;0"
"PC_16:0;0_20:4;0 --> LPC_16:0;0","PC_16:0;0_20:4;0","LPC_16:0;0",-4.95898715204292,-0.921895159553566,"Suppressed","no","16:0;0_20:4;0"
"PI_18:0;0_18:2;0 --> DAG_18:0;0_18:2;0 --> TAG_58:6;0","PI_18:0;0_18:2;0","TAG_58:6;0",-5.59980170723253,-0.924613508058594,"Suppressed","no","18:0;0_18:2;0"
"PI_16:0;0_18:2;0 --> DAG_16:0;0_18:2;0 --> TAG_56:6;0","PI_16:0;0_18:2;0","TAG_56:6;0",-5.60003670859972,-0.924727654905597,"Suppressed","no","16:0;0_18:2;0"
"DAG_18:0;0_18:2;0 --> TAG_52:3;0","DAG_18:0;0_18:2;0","TAG_52:3;0",-4.96562293152463,-0.925131799226057,"Suppressed","no","18:0;0_18:2;0"
"DAG_16:0;0_18:1;0 --> PE_16:0;0_18:1;0 --> LPE_16:0;0","DAG_16:0;0_18:1;0","LPE_16:0;0",-5.60366127424539,-0.926488209514929,"Suppressed","no","16:0;0_18:1;0"
"DAG_18:1;0_18:3;0 --> TAG_50:4;0","DAG_18:1;0_18:3;0","TAG_50:4;0",-4.96853429216969,-0.926551832153719,"Suppressed","no","18:1;0_18:3;0"
