"path","from","to","score","cal_score","Type","Significant","rep_lipid"
"LPA_20:4;0 --> PA_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PC_18:0;0_20:4;0 --> PS_18:0;0_20:4;0 --> PE_18:0;0_20:4;0","LPA_20:4;0","PE_18:0;0_20:4;0",3.43770094107824,4.5087352928493,"Active","yes","18:0;0_20:4;0"
"LPA_20:4;0 --> PA_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PE_18:0;0_20:4;0 --> PC_18:0;0_20:4;0 --> PS_18:0;0_20:4;0","LPA_20:4;0","PS_18:0;0_20:4;0",3.43770094107824,4.5087352928493,"Active","yes","18:0;0_20:4;0"
"LPA_20:4;0 --> PA_18:0;0_20:4;0 --> PI_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PE_18:0;0_20:4;0 --> LPE_20:4;0","LPA_20:4;0","LPE_20:4;0",3.3610548930116,4.47438549766815,"Active","yes","18:0;0_20:4;0"
"G3P --> LPA_18:0;0 --> PA_18:0;0_20:4;0 --> PI_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PC_18:0;0_20:4;0 --> PS_18:0;0_20:4;0 --> PE_18:0;0_20:4;0 --> LPE_20:4;0","G3P","LPE_20:4;0",1.3436405325514,4.40908875832699,"Active","yes","18:0;0_20:4;0"
"PA_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PC_18:0;0_20:4;0 --> PS_18:0;0_20:4;0 --> PE_18:0;0_20:4;0","PA_18:0;0_20:4;0","PE_18:0;0_20:4;0",3.79185127724849,4.38955075347369,"Active","yes","18:0;0_20:4;0"
"PA_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PE_18:0;0_20:4;0 --> PC_18:0;0_20:4;0 --> PS_18:0;0_20:4;0","PA_18:0;0_20:4;0","PS_18:0;0_20:4;0",3.79185127724849,4.38955075347369,"Active","yes","18:0;0_20:4;0"
"G3P --> LPA_18:1;0 --> PA_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> PS_18:1;0_20:4;0 --> PE_18:1;0_20:4;0 --> LPE_20:4;0","G3P","LPE_20:4;0",2.0368667741302,4.37752746259875,"Active","yes","18:1;0_20:4;0"
"DAG_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> PS_18:1;0_20:4;0 --> PE_18:1;0_20:4;0","DAG_18:1;0_20:4;0","PE_18:1;0_20:4;0",4.28739725582224,4.37145519821664,"Active","yes","18:1;0_20:4;0"
"DAG_18:1;0_20:4;0 --> PE_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> PS_18:1;0_20:4;0","DAG_18:1;0_20:4;0","PS_18:1;0_20:4;0",4.28739725582224,4.37145519821664,"Active","yes","18:1;0_20:4;0"
"PA_18:0;0_20:4;0 --> PI_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PE_18:0;0_20:4;0 --> LPE_20:4;0","PA_18:0;0_20:4;0","LPE_20:4;0",3.70788973830904,4.3521219679604,"Active","yes","18:0;0_20:4;0"
