"feature","Ctrl1","Ctrl2","Ctrl3","Ctrl4","Ctrl5","Ctrl6","Ctrl7","DHA1","DHA2","DHA3","DHA4","DHA5","DHA6"
"PA_18:0;0_18:1;0",0,0,0.034557076,0,0.100132732,0,0.01965628,0.031127281,0.036858062,0.025050662,0,0,0
"PA_18:0;0_18:2;0",0,0,0.003773253,0.185658584,0.071723202,0,0,0,0,0.007210338,0,0,0
"PA_18:1;0_18:1;0",0,0,0.014621885,0.065133883,0.047370677,0,0,0,0.022702542,0.008762401,0,0,0
"PC_12:0;0_16:0;0",0,0,0.043954815,0,0,0.093134099,0,0,0.06971162,0,0,0.146133233,0
"PC_14:0;0_14:0;0",0.416028216,0.494836276,0.330717436,0.085088249,0.120347901,0.190166215,0.453592137,0.301735644,0.316768297,0.06206426,0.070427905,0.268974553,0.648133809
"PC_14:0;0_16:0;0",1.530679974,1.297709205,1.008623275,0.868739026,0.988855579,1.56926394,1.925454696,2.88864914,3.124392036,1.507821129,0.878060808,2.905464913,3.180451561
"PC_14:0;0_17:0;0",0.122439687,0.174796178,0.043946474,0.057809263,0.028840459,0.114842843,0.190085207,0.202398568,0.078832344,0.052304021,0.051430208,0.177154823,0.213058052
"PC_14:0;0_17:1;0",0.236557353,0.287963071,0.068215314,0.030063831,0.024394813,0.09038594,0.78013341,0,0.020471915,0.01137418,0,0.066236028,0.262934224
"PC_14:0;0_18:0;0",0.360360322,0.32651668,0,0.209010696,0.256177734,0.225313282,0.370826137,0.459659185,0.59350269,0.320258904,0.278225735,0.389120688,0.530569912
"PC_14:0;0_18:1;0",2.4721806,2.636453619,2.729064716,0.753168663,0.744468813,1.498763829,1.692114387,1.246392147,1.701476678,1.098517355,0.696747051,1.5458655,2.143728802
"PC_14:0;0_18:2;0",0,0.999043924,0.266991043,0.84295762,0.184838969,0.187521858,0.275959597,1.389872076,1.137718068,0.642779077,0,0.751279808,2.158186454
"PC_14:0;0_20:1;0",0,0,0.108879658,0,0.036089788,0.1002579,0.092845678,0,0.040649051,0.013710558,0,0,0
"PC_14:0;0_20:2;0",0.073111963,0,0.136901008,0,0,0.08273505,0.102615664,0,0.014615132,0,0,0,0
"PC_14:0;0_20:4;0",0,0,0.439333018,0,0.667653866,0,0.991817532,0,0.732761375,0.406728894,0,0,0
"PC_15:0;0_15:0;0",0.117806149,0.035776363,0.052128641,0.105837506,0.073220759,0.059783428,0.086633612,0.036212546,0.04203075,0.044147486,0.058193884,0.086128506,0.038275406
"PC_15:0;0_16:0;0",0.231288381,0.228603242,0.157315711,0.325651915,0.297702239,0.268005842,0.258840499,0.598823794,0.307637241,0.339184551,0.250857396,0.416135106,0.356885774
