feature,Ctrl1,Ctrl2,Ctrl3,Ctrl4,Ctrl5,LPCAT1KO1,LPCAT1KO2,LPCAT1KO3,LPCAT1KO4,LPCAT1KO5
PC_28:0;0,0.118131821,0.100452777,0.098477683,0.09897028,0.100413685,0.037213404,0.034169571,0.035427351,0.03389997,0.032780509
PC_30:0;0,2.311729766,2.071499562,2.064504954,2.010420856,2.083385673,0.98492359,0.94592291,0.962367818,0.893925377,0.884899316
PC_32:0;0,6.885946662,6.512551266,6.300177274,6.12452094,6.272643273,3.384080817,3.318347074,3.086859464,3.224639582,3.280792584
PC_34:1;0,27.83252757,27.19492842,26.56847217,25.06526794,25.49383488,29.23083449,28.92506821,27.40797333,26.46676253,28.32893589
PC_34:0;0,3.129211519,3.036708818,2.837856365,2.794090535,2.7976554,3.142702026,3.009210894,3.018689079,2.950439364,2.884886452
PC_36:4;0,2.484898901,2.402085752,2.348948285,2.162466024,2.185717853,1.991156514,1.857734598,1.797467955,1.682079774,1.569951447
PC_36:2;0,17.52600616,17.40587224,17.30468993,17.18662823,17.30336124,21.69276186,21.63571602,21.77684619,21.05893085,21.10599823
PC_36:1;0,5.474346295,5.179459124,5.120701353,4.816122825,4.814749189,6.46878372,6.291086797,6.12796095,5.948751558,5.409980384
PC_36:0;0,0.356993555,0.340769084,0.328306267,0.303039678,0.303637097,0.423159088,0.380855324,0.396482171,0.387459992,0.344473328
PC_38:6;0,2.184291868,2.056885633,1.920932597,1.777637653,1.784013283,1.84648775,1.623487935,1.543611899,1.416414256,1.308571313
PC_38:5;0,3.127959177,2.89676043,2.743495989,2.557775955,2.595117165,3.099260241,2.841864063,2.721263399,2.498723432,2.432720922
PC_38:4;0,1.873233662,1.641493642,1.497364214,1.316945131,1.344229498,1.776194859,1.631834206,1.552426427,1.36999087,1.342095842
PC_40:8;0,0.267240078,0.217692572,0.183947286,0.164723937,0.159828887,0.195186495,0.15940253,0.148394342,0.098268461,0.091468194
PC_40:7;0,0.963808564,0.868575064,0.831791838,0.77334655,0.768643689,0.773543713,0.685221897,0.635941165,0.58790602,0.543083204
PC_40:6;0,1.643165998,1.513185483,1.512475074,1.397332947,1.412149196,1.278262602,1.229806326,1.212958973,1.094978086,1.067007197
PC_40:5;0,1.147373521,1.078316862,1.002466278,0.908677089,0.925162965,1.053998106,1.003125767,0.950220223,0.88897311,0.849137274
PC_40:4;0,0.229282355,0.213062307,0.202005109,0.176176939,0.175895243,0.256192843,0.233995972,0.21679743,0.206301452,0.184661534
PE_34:1;0,1.216989201,1.448420799,1.610994966,1.860647944,1.875644248,1.322812742,1.491788886,1.683142352,1.846844224,1.84860485
PE_34:0;0,0.108874178,0.12876934,0.14332294,0.159278862,0.171551637,0.120274781,0.135293003,0.152310343,0.163682857,0.162060208
PE_36:5;0,0.166551096,0.179805564,0.187055411,0.220392114,0.212479526,0.135180517,0.137918771,0.144986058,0.166293503,0.15623886
PE_36:4;0,0.320471528,0.330955136,0.34777234,0.394851311,0.376452694,0.221544546,0.222239444,0.231375484,0.238762959,0.217196762
PE_36:3;0,0.559091096,0.652937518,0.69376806,0.703336063,0.718098411,0.534355144,0.547534366,0.625178039,0.632023472,0.573190144
PE_36:2;0,3.278700321,3.932054563,4.26900984,4.960659126,4.937977181,4.220006134,4.744416103,5.396947461,5.810266516,5.704244591
PE_36:1;0,2.051771953,2.420750702,2.559241728,2.849116643,2.791019567,2.459912973,2.804500347,3.062996774,3.230195784,3.113592367
PE_38:6;0,0.43733717,0.456503582,0.440954698,0.48991081,0.490158807,0.342196249,0.345994192,0.349513665,0.389991029,0.37941504
PE_38:5;0,1.340863806,1.350646566,1.465903081,1.514368702,1.445257765,1.290320031,1.331100486,1.389108501,1.458181852,1.322470597
PE_38:4;0,2.044351308,2.376469869,2.50759313,2.764005037,2.779392326,1.83867426,1.995180083,2.144219735,2.292759635,2.212251015
PE_38:3;0,0.498387108,0.569253311,0.594380963,0.682239525,0.679828178,0.52638681,0.598087438,0.626179369,0.667600735,0.638053472
PE_38:2;0,0.239736989,0.274392109,0.292674107,0.325528754,0.299891464,0.333062513,0.378752548,0.393428819,0.406684342,0.400007784
PE_40:7;0,0.446902709,0.428500623,0.444799564,0.48564564,0.473718719,0.292778723,0.291090773,0.303081082,0.309200996,0.29156066
PE_40:6;0,0.721833274,0.808495987,0.818941083,0.900171766,0.895854012,0.518766873,0.546847128,0.570556172,0.621207546,0.566480333
PE_40:5;0,0.439845313,0.477374826,0.476794066,0.528718434,0.547497716,0.330277365,0.348029973,0.382846684,0.401896784,0.39273655
PE_40:4;0,0.19085414,0.230874993,0.239406215,0.271344839,0.263182603,0.1586597,0.187138427,0.188731973,0.203745709,0.203872526
PE_42:5;0,0.071130945,0.083226714,0.08032393,0.085674458,0.082702905,0.064109333,0.068069001,0.069691184,0.078404489,0.071785717
PS_34:1;0,1.263073308,1.369270932,1.454495111,1.616474278,1.474500277,0.934955961,0.934924937,1.040979305,1.168334227,1.087877927
PS_34:0;0,0.055874515,0.078677617,0.091018182,0.106858551,0.102896931,0.031561612,0.03685369,0.044944691,0.056185172,0.058466932
PS_36:2;0,1.765418093,1.871099463,2.003194308,2.284037951,2.141912222,1.629415333,1.727924374,1.939297237,2.301321786,2.153116372
PS_36:1;0,2.305267405,2.604647871,2.837012183,3.104780834,2.888322965,2.488053764,2.596705873,2.899182884,3.334067114,3.449505371
PS_38:5;0,0.167952197,0.191637645,0.215208885,0.247905168,0.214194544,0.124979175,0.132003768,0.149635428,0.168761402,0.154273883
PS_38:4;0,0.737515224,0.803843585,0.852401393,0.962631694,0.888180033,0.654173544,0.702273185,0.787461726,0.940716614,0.89432085
PS_38:2;0,0.041185443,0.046306343,0.05183662,0.05824062,0.048643394,0.045701279,0.047069335,0.053738064,0.06142019,0.059434431
PS_38:1;0,0.099713401,0.12403577,0.131830551,0.12271014,0.099936137,0.099815049,0.092174207,0.097074985,0.099833201,0.091803412
PS_38:0;0,0.058271954,0.074268719,0.088777262,0.104048459,0.0957005,0.077959688,0.088446263,0.111909248,0.136063811,0.151417716
