"name","sub_class_id","FA_sum","FA_split"
"PC(22:1(11Z)/18:4(6Z,9Z,12Z,15Z))","[GP0101]","40:5","18:4_22:1"
"PC(22:2(13Z,16Z)/16:1(9Z))","[GP0101]","38:3","16:1_22:2"
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:4(6Z,9Z,12Z,15Z))","[GP0101]","40:10","18:4_22:6"
"PC(O-16:0/20:1(11Z))","[GP0102]","36:1","16:0_20:1"
"PC(O-18:0/14:0)","[GP0102]","32:0","18:0_14:0"
"PC(P-18:0/22:0)","[GP0103]","40:0","18:0_22:0"
"PE(12:0/15:1(9Z))","[GP0201]","27:1","12:0_15:1"
"PE(15:0/17:2(9Z,12Z))","[GP0201]","32:2","15:0_17:2"
"PE(15:1(9Z)/18:0)","[GP0201]","33:1","15:1_18:0"
"PE(17:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))","[GP0201]","35:6","17:2_18:4"
"PE(18:3(6Z,9Z,12Z)/14:0)","[GP0201]","32:3","14:0_18:3"
"PE(19:1(9Z)/17:2(9Z,12Z))","[GP0201]","36:3","17:2_19:1"
"PE(19:1(9Z)/18:3(6Z,9Z,12Z))","[GP0201]","37:4","18:3_19:1"
"PE(19:1(9Z)/20:4(5Z,8Z,11Z,14Z))","[GP0201]","39:5","19:1_20:4"
"PE(20:2(11Z,14Z)/17:1(9Z))","[GP0201]","37:3","17:1_20:2"
"PE(20:1(11Z)/16:0)","[GP0201]","36:1","16:0_20:1"
"PE(22:1(11Z)/14:0)","[GP0201]","36:1","14:0_22:1"
"PE(22:1(11Z)/15:1(9Z))","[GP0201]","37:2","15:1_22:1"
"PE(20:5(5Z,8Z,11Z,14Z,17Z)/19:0)","[GP0201]","39:5","19:0_20:5"
"PE(O-16:0/15:0)","[GP0202]","31:0","16:0_15:0"
"PE(O-18:0/22:1(11Z))","[GP0202]","40:1","18:0_22:1"
"PE(O-20:0/20:0)","[GP0202]","40:0","20:0_20:0"
"PE(O-20:0/22:2(13Z,16Z))","[GP0202]","42:2","20:0_22:2"
"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/15:0)","[GP0201]","37:6","15:0_22:6"
"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:4(6Z,9Z,12Z,15Z))","[GP0201]","40:10","18:4_22:6"
"PE(13:0/20:0)","[GP0201]","33:0","13:0_20:0"
"PE(P-18:0/19:0)","[GP0203]","37:0","18:0_19:0"
"PA(12:0/18:3(6Z,9Z,12Z))","[GP1001]","30:3","12:0_18:3"
"TG(14:0/17:1(9Z)/22:0)[iso6]","[GL0301]","53:1","14:0_17:1_22:0"
"TG(14:1(9Z)/17:2(9Z,12Z)/18:0)[iso6]","[GL0301]","49:3","14:1_17:2_18:0"
"TG(15:1(9Z)/19:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","56:6","15:1_19:0_22:5"
"TG(18:1(9Z)/19:1(9Z)/22:3(10Z,13Z,16Z))[iso6]","[GL0301]","59:5","18:1_19:1_22:3"
"TG(18:4(6Z,9Z,12Z,15Z)/20:0/20:2(11Z,14Z))[iso6]","[GL0301]","58:6","18:4_20:0_20:2"
"TG(20:2(11Z,14Z)/22:0/22:1(11Z))[iso6]","[GL0301]","64:3","20:2_22:0_22:1"
"PC(9:0/9:0)","[GP0101]","18:0","9:0_9:0"
"PA(18:4(6Z,9Z,12Z,15Z)/20:4(5Z,8Z,11Z,14Z))","[GP1001]","38:8","18:4_20:4"
"TG(16:0/18:0/22:2(13Z,16Z))[iso6]","[GL0301]","56:2","16:0_18:0_22:2"
"TG(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z)/21:0)[iso3]","[GL0301]","57:6","18:3_18:3_21:0"
"CL(1'-[16:0/20:0],3'-[20:0/18:1(9Z)])","[GP1201]","74:1","16:0_18:1_20:0_20:0"
"CL(1'-[18:1(9Z)/20:4(5Z,8Z,11Z,14Z)],3'-[18:2(9Z,12Z)/18:0])","[GP1201]","74:7","18:0_18:1_18:2_20:4"
"TG(17:2(9Z,12Z)/18:3(6Z,9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","57:10","17:2_18:3_22:5"
"TG(18:0/18:3(6Z,9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","[GL0301]","56:8","18:0_18:3_20:5"
"PE-NMe(16:0/16:0)","[GP0201]","32:0","16:0_16:0"
"MG(18:0/0:0/0:0)[rac]","[GL0101]","18:0","18:0"
"MG(20:0/0:0/0:0)[rac]","[GL0101]","20:0","20:0"
"TG(18:0/18:0/18:0)","[GL0301]","54:0","18:0_18:0_18:0"
"CerP(d18:1/12:0)","[SP0205]","30:1","18:1_12:0"
"Cer(d18:1/22:0)","[SP0201]","40:1","18:1_22:0"
"Cer(d18:0/16:0)","[SP0202]","34:0","18:0_16:0"
"PC(10:0/25:0)","[GP0101]","35:0","10:0_25:0"
"PC(15:0/18:1(11Z))","[GP0101]","33:1","15:0_18:1"
"PC(14:1(9Z)/14:1(9Z))","[GP0101]","28:2","14:1_14:1"
"PC(10:0/24:0)","[GP0101]","34:0","10:0_24:0"
"PC(18:0/12:0)","[GP0101]","30:0","12:0_18:0"
"PC(18:0/18:1(6Z))","[GP0101]","36:1","18:0_18:1"
"PC(16:0/22:5(7Z,10Z,13Z,16Z,19Z))","[GP0101]","38:5","16:0_22:5"
"PC(18:0/11:1(10E))","[GP0101]","29:1","11:1_18:0"
"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","[GP0101]","40:6","18:0_22:6"
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","[GP0101]","44:12","22:6_22:6"
"PC(26:2(6Z,9Z)/26:2(6Z,9Z))","[GP0101]","52:4","26:2_26:2"
"PC(O-12:0/2:0)","[GP0102]","14:0","12:0_2:0"
"PC(O-16:0/16:0)","[GP0102]","32:0","16:0_16:0"
"PC(9:0/0:0)","[GP0105]","9:0","9:0"
"PC(O-18:0/20:0)","[GP0102]","38:0","18:0_20:0"
"PC(O-20:0/16:0)","[GP0102]","36:0","20:0_16:0"
"PC(O-16:1(11Z)/0:0)","[GP0106]","16:1","16:1"
"CL(1'-[15:0/15:0],3'-[15:0/16:1(9Z)])[rac]","[GP1201]","61:0","15:0_15:0_15:0_16:1"
"DG(18:1(9Z)/18:2(9Z,12Z)/0:0)[iso2]","[GL0201]","36:3","18:1_18:2"
"DG(16:1(9Z)/22:4(7Z,10Z,13Z,16Z)/0:0)[iso2]","[GL0201]","38:5","16:1_22:4"
"DG(17:2(9Z,12Z)/22:2(13Z,16Z)/0:0)[iso2]","[GL0201]","39:4","17:2_22:2"
"DG(20:1(11Z)/22:2(13Z,16Z)/0:0)[iso2]","[GL0201]","42:3","20:1_22:2"
"DG(21:0/22:4(7Z,10Z,13Z,16Z)/0:0)[iso2]","[GL0201]","43:4","21:0_22:4"
"TG(17:1(9Z)/17:1(9Z)/18:0)[iso3]","[GL0301]","52:2","17:1_17:1_18:0"
"TG(16:0/17:0/18:0)[iso6]","[GL0301]","51:0","16:0_17:0_18:0"
"TG(17:0/17:0/17:2(9Z,12Z))[iso3]","[GL0301]","51:2","17:0_17:0_17:2"
"TG(16:0/16:1(9Z)/18:3(9Z,12Z,15Z))[iso6]","[GL0301]","50:4","16:0_16:1_18:3"
"TG(17:1(9Z)/18:0/18:0)[iso3]","[GL0301]","53:1","17:1_18:0_18:0"
"TG(17:1(9Z)/18:0/18:1(9Z))[iso6]","[GL0301]","53:2","17:1_18:0_18:1"
"TG(16:0/18:0/18:3(9Z,12Z,15Z))[iso6]","[GL0301]","52:3","16:0_18:0_18:3"
"TG(17:0/18:0/18:3(9Z,12Z,15Z))[iso6]","[GL0301]","53:3","17:0_18:0_18:3"
"TG(17:1(9Z)/17:2(9Z,12Z)/18:3(9Z,12Z,15Z))[iso6]","[GL0301]","52:6","17:1_17:2_18:3"
"TG(16:0/17:1(9Z)/20:2(11Z,14Z))[iso6]","[GL0301]","53:3","16:0_17:1_20:2"
"TG(17:1(9Z)/18:1(9Z)/18:2(9Z,12Z))[iso6]","[GL0301]","53:4","17:1_18:1_18:2"
"TG(17:1(9Z)/18:1(9Z)/19:0)[iso6]","[GL0301]","54:2","17:1_18:1_19:0"
"TG(17:0/17:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","[GL0301]","54:7","17:0_17:2_20:5"
"TG(16:1(9Z)/17:1(9Z)/22:0)[iso6]","[GL0301]","55:2","16:1_17:1_22:0"
"TG(17:0/17:2(9Z,12Z)/22:0)[iso6]","[GL0301]","56:2","17:0_17:2_22:0"
"TG(18:1(9Z)/19:0/19:0)[iso3]","[GL0301]","56:1","18:1_19:0_19:0"
"TG(16:0/16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","54:7","16:0_16:1_22:6"
"TG(16:1(9Z)/20:2(11Z,14Z)/20:3(8Z,11Z,14Z))[iso6]","[GL0301]","56:6","16:1_20:2_20:3"
"TG(17:1(9Z)/17:2(9Z,12Z)/22:1(13Z))[iso6]","[GL0301]","56:4","17:1_17:2_22:1"
"TG(17:2(9Z,12Z)/18:0/22:0)[iso6]","[GL0301]","57:2","17:2_18:0_22:0"
"TG(17:1(9Z)/18:0/22:1(13Z))[iso6]","[GL0301]","57:2","17:1_18:0_22:1"
"TG(17:1(9Z)/17:2(9Z,12Z)/22:3(10Z,13Z,16Z))[iso6]","[GL0301]","56:6","17:1_17:2_22:3"
"TG(17:2(9Z,12Z)/19:0/20:4(5Z,8Z,11Z,14Z))[iso6]","[GL0301]","56:6","17:2_19:0_20:4"
"TG(17:2(9Z,12Z)/18:2(9Z,12Z)/21:0)[iso6]","[GL0301]","56:4","17:2_18:2_21:0"
"TG(16:0/20:1(11Z)/21:0)[iso6]","[GL0301]","57:1","16:0_20:1_21:0"
"TG(17:0/20:1(11Z)/20:3(8Z,11Z,14Z))[iso6]","[GL0301]","57:4","17:0_20:1_20:3"
"TG(16:1(9Z)/18:3(9Z,12Z,15Z)/22:1(13Z))[iso6]","[GL0301]","56:5","16:1_18:3_22:1"
"TG(18:0/18:0/22:0)[iso3]","[GL0301]","58:0","18:0_18:0_22:0"
"TG(18:0/19:0/20:4(5Z,8Z,11Z,14Z))[iso6]","[GL0301]","57:4","18:0_19:0_20:4"
"TG(17:2(9Z,12Z)/20:0/21:0)[iso6]","[GL0301]","58:2","17:2_20:0_21:0"
"TG(18:2(9Z,12Z)/20:1(11Z)/20:3(8Z,11Z,14Z))[iso6]","[GL0301]","58:6","18:2_20:1_20:3"
"TG(18:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))[iso3]","[GL0301]","58:8","18:0_20:4_20:4"
"TG(17:2(9Z,12Z)/20:1(11Z)/22:1(13Z))[iso6]","[GL0301]","59:4","17:2_20:1_22:1"
"TG(18:0/20:0/21:0)[iso6]","[GL0301]","59:0","18:0_20:0_21:0"
"TG(18:0/20:3(8Z,11Z,14Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","[GL0301]","58:8","18:0_20:3_20:5"
"TG(16:0/20:2(11Z,14Z)/22:2(13Z,16Z))[iso6]","[GL0301]","58:4","16:0_20:2_22:2"
"TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/22:2(13Z,16Z))[iso6]","[GL0301]","58:7","16:1_20:4_22:2"
"TG(18:2(9Z,12Z)/18:2(9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso3]","[GL0301]","58:9","18:2_18:2_22:5"
"TG(18:0/20:5(5Z,8Z,11Z,14Z,17Z)/21:0)[iso6]","[GL0301]","59:5","18:0_20:5_21:0"
"TG(20:1(11Z)/20:2(11Z,14Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","[GL0301]","60:8","20:1_20:2_20:5"
"TG(18:3(9Z,12Z,15Z)/21:0/21:0)[iso3]","[GL0301]","60:3","18:3_21:0_21:0"
"TG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","60:10","18:1_20:4_22:5"
"TG(20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso3]","[GL0301]","60:11","20:1_20:5_20:5"
"TG(17:2(9Z,12Z)/22:1(13Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","61:9","17:2_22:1_22:6"
"TG(18:1(9Z)/22:1(13Z)/22:2(13Z,16Z))[iso6]","[GL0301]","62:4","18:1_22:1_22:2"
"TG(18:3(9Z,12Z,15Z)/22:0/22:4(7Z,10Z,13Z,16Z))[iso6]","[GL0301]","62:7","18:3_22:0_22:4"
"TG(18:2(9Z,12Z)/22:1(13Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","62:8","18:2_22:1_22:5"
"TG(20:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","62:10","20:0_20:5_22:5"
"TG(17:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","61:12","17:1_22:5_22:6"
"TG(20:2(11Z,14Z)/22:0/22:4(7Z,10Z,13Z,16Z))[iso6]","[GL0301]","64:6","20:2_22:0_22:4"
"TG(20:3(8Z,11Z,14Z)/22:1(13Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","64:9","20:3_22:1_22:5"
"TG(20:2(11Z,14Z)/22:3(10Z,13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","64:11","20:2_22:3_22:6"
"DG(20:2(11Z,14Z)/0:0/20:2(11Z,14Z)) (d5)","[GL0201]","40:4","20:2_20:2"
"TG(22:1(13Z)/22:1(13Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso3]","[GL0301]","66:7","22:1_22:1_22:5"
"TG(22:1(13Z)/22:2(13Z,16Z)/22:2(13Z,16Z))[iso3]","[GL0301]","66:5","22:1_22:2_22:2"
"TG(19:0/19:0/20:0)[iso3]","[GL0301]","58:0","19:0_19:0_20:0"
"PE(18:1(9E)/18:1(9E))","[GP0201]","36:2","18:1_18:1"
"PE(17:0/20:0)","[GP0201]","37:0","17:0_20:0"
"PE(16:0/22:0)","[GP0201]","38:0","16:0_22:0"
"PE(20:5(5Z,8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z))","[GP0201]","42:10","20:5_22:5"
"PA(18:0/0:0)","[GP1005]","18:0","18:0"
"PS(16:0/16:0)","[GP0301]","32:0","16:0_16:0"
"TG(17:2(9Z,12Z)/22:0/22:0)[iso3]","[GL0301]","61:2","17:2_22:0_22:0"
"PS(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","[GP0301]","40:6","18:0_22:6"
"SM(d18:0/14:0)","[SP0301]","32:0","18:0_14:0"
"PC(P-19:1(12Z)/0:0)","[GP0107]","19:1","19:1"
"PC(17:0/20:3(8Z,11Z,14Z))","[GP0101]","37:3","17:0_20:3"
"PC(P-16:0/17:2(9Z,12Z))","[GP0103]","33:2","16:0_17:2"
"PE(20:2(11Z,14Z)/22:0)","[GP0201]","42:2","20:2_22:0"
"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0)","[GP0201]","40:6","18:0_22:6"
"PA(O-16:0/0:0)","[GP1006]","16:0","16:0_0:0"
"DG(17:0/17:0/0:0)","[GL0201]","34:0","17:0_17:0"
"PC(17:1(9Z)/18:2(9Z,12Z))","[GP0101]","35:3","17:1_18:2"
"PC(20:3(8Z,11Z,14Z)/22:0)","[GP0101]","42:3","20:3_22:0"
"PE(14:0/20:0)","[GP0201]","34:0","14:0_20:0"
"PE(16:0/18:0)","[GP0201]","34:0","16:0_18:0"
"PA(14:0/19:1(9Z))","[GP1001]","33:1","14:0_19:1"
"PA(17:0/17:2(9Z,12Z))","[GP1001]","34:2","17:0_17:2"
"PA(17:1(9Z)/20:3(8Z,11Z,14Z))","[GP1001]","37:4","17:1_20:3"
"PA(17:2(9Z,12Z)/16:0)","[GP1001]","33:2","16:0_17:2"
"PA(18:3(6Z,9Z,12Z)/15:0)","[GP1001]","33:3","15:0_18:3"
"PA(18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z))","[GP1001]","38:6","18:3_20:3"
"PA(17:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))","[GP1001]","35:6","17:2_18:4"
"PA(18:0/15:1(9Z))","[GP1001]","33:1","15:1_18:0"
"PA(18:3(6Z,9Z,12Z)/14:1(9Z))","[GP1001]","32:4","14:1_18:3"
"PA(18:4(6Z,9Z,12Z,15Z)/17:2(9Z,12Z))","[GP1001]","35:6","17:2_18:4"
"PA(20:1(11Z)/20:2(11Z,14Z))","[GP1001]","40:3","20:1_20:2"
"PA(19:0/20:4(5Z,8Z,11Z,14Z))","[GP1001]","39:4","19:0_20:4"
"PA(20:4(5Z,8Z,11Z,14Z)/21:0)","[GP1001]","41:4","20:4_21:0"
"PA(21:0/18:4(6Z,9Z,12Z,15Z))","[GP1001]","39:4","18:4_21:0"
"PA(22:2(13Z,16Z)/14:0)","[GP1001]","36:2","14:0_22:2"
"PA(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:2(11Z,14Z))","[GP1001]","42:8","20:2_22:6"
"PA(O-18:0/22:1(11Z))","[GP1002]","40:1","18:0_22:1"
"PA(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","[GP1001]","38:7","16:1_22:6"
"PI(12:0/20:4(5Z,8Z,11Z,14Z))","[GP0601]","32:4","12:0_20:4"
"PI(14:1(9Z)/22:1(11Z))","[GP0601]","36:2","14:1_22:1"
"PI(15:1(9Z)/12:0)","[GP0601]","27:1","12:0_15:1"
"PI(16:1(9Z)/14:1(9Z))","[GP0601]","30:2","14:1_16:1"
"PI(17:1(9Z)/20:2(11Z,14Z))","[GP0601]","37:3","17:1_20:2"
"PI(17:2(9Z,12Z)/17:1(9Z))","[GP0601]","34:3","17:1_17:2"
"PI(17:2(9Z,12Z)/20:0)","[GP0601]","37:2","17:2_20:0"
"PI(19:0/19:1(9Z))","[GP0601]","38:1","19:0_19:1"
"PI(18:4(6Z,9Z,12Z,15Z)/18:0)","[GP0601]","36:4","18:0_18:4"
"PI(20:1(11Z)/18:2(9Z,12Z))","[GP0601]","38:3","18:2_20:1"
"PI(20:4(5Z,8Z,11Z,14Z)/19:1(9Z))","[GP0601]","39:5","19:1_20:4"
"PI(22:0/17:2(9Z,12Z))","[GP0601]","39:2","17:2_22:0"
"PI(20:3(8Z,11Z,14Z)/16:0)","[GP0601]","36:3","16:0_20:3"
"PI(20:4(5Z,8Z,11Z,14Z)/21:0)","[GP0601]","41:4","20:4_21:0"
"PI(20:4(5Z,8Z,11Z,14Z)/22:4(7Z,10Z,13Z,16Z))","[GP0601]","42:8","20:4_22:4"
"PI(20:3(8Z,11Z,14Z)/20:2(11Z,14Z))","[GP0601]","40:5","20:2_20:3"
"PI(20:5(5Z,8Z,11Z,14Z,17Z)/13:0)","[GP0601]","33:5","13:0_20:5"
"PI(22:2(13Z,16Z)/22:1(11Z))","[GP0601]","44:3","22:1_22:2"
"PI(22:4(7Z,10Z,13Z,16Z)/15:1(9Z))","[GP0601]","37:5","15:1_22:4"
"PI(22:4(7Z,10Z,13Z,16Z)/14:0)","[GP0601]","36:4","14:0_22:4"
"PI(20:0/12:0)","[GP0601]","32:0","12:0_20:0"
"PI(17:0/18:0)","[GP0601]","35:0","17:0_18:0"
"PI(17:0/17:0)","[GP0601]","34:0","17:0_17:0"
"PI(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","[GP0601]","38:5","18:1_20:4"
"PG(14:1(9Z)/17:1(9Z))","[GP0401]","31:2","14:1_17:1"
"PG(14:1(9Z)/22:1(11Z))","[GP0401]","36:2","14:1_22:1"
"PI(18:0/18:1(9Z))","[GP0601]","36:1","18:0_18:1"
"PG(17:2(9Z,12Z)/20:3(8Z,11Z,14Z))","[GP0401]","37:5","17:2_20:3"
"PG(18:0/21:0)","[GP0401]","39:0","18:0_21:0"
"PG(15:0/20:2(11Z,14Z))","[GP0401]","35:2","15:0_20:2"
"PG(18:1(9Z)/22:1(11Z))","[GP0401]","40:2","18:1_22:1"
"PG(18:3(6Z,9Z,12Z)/19:1(9Z))","[GP0401]","37:4","18:3_19:1"
"PG(21:0/17:0)","[GP0401]","38:0","17:0_21:0"
"PG(22:0/17:1(9Z))","[GP0401]","39:1","17:1_22:0"
"PG(22:2(13Z,16Z)/22:1(11Z))","[GP0401]","44:3","22:1_22:2"
"PG(21:0/22:4(7Z,10Z,13Z,16Z))","[GP0401]","43:4","21:0_22:4"
"PS(14:0/17:2(9Z,12Z))","[GP0301]","31:2","14:0_17:2"
"PG(16:0/20:5(5Z,8Z,11Z,14Z,17Z))","[GP0401]","36:5","16:0_20:5"
"PG(16:0/18:4(6Z,9Z,12Z,15Z))","[GP0401]","34:4","16:0_18:4"
"PG(14:0/22:0)","[GP0401]","36:0","14:0_22:0"
"PG(12:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","[GP0401]","34:6","12:0_22:6"
"PS(16:0/19:1(9Z))","[GP0301]","35:1","16:0_19:1"
"PS(17:2(9Z,12Z)/20:2(11Z,14Z))","[GP0301]","37:4","17:2_20:2"
"PS(18:2(9Z,12Z)/13:0)","[GP0301]","31:2","13:0_18:2"
"PS(18:3(6Z,9Z,12Z)/15:1(9Z))","[GP0301]","33:4","15:1_18:3"
"PS(18:3(9Z,12Z,15Z)/15:0)","[GP0301]","33:3","15:0_18:3"
"PS(18:4(6Z,9Z,12Z,15Z)/21:0)","[GP0301]","39:4","18:4_21:0"
"PS(18:4(6Z,9Z,12Z,15Z)/17:2(9Z,12Z))","[GP0301]","35:6","17:2_18:4"
"PS(18:4(6Z,9Z,12Z,15Z)/20:3(8Z,11Z,14Z))","[GP0301]","38:7","18:4_20:3"
"PS(17:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))","[GP0301]","39:6","17:2_22:4"
"PS(18:2(9Z,12Z)/14:1(9Z))","[GP0301]","32:3","14:1_18:2"
"PS(19:1(9Z)/20:4(5Z,8Z,11Z,14Z))","[GP0301]","39:5","19:1_20:4"
"PS(20:2(11Z,14Z)/13:0)","[GP0301]","33:2","13:0_20:2"
"PS(20:4(5Z,8Z,11Z,14Z)/14:1(9Z))","[GP0301]","34:5","14:1_20:4"
"PS(20:4(5Z,8Z,11Z,14Z)/19:1(9Z))","[GP0301]","39:5","19:1_20:4"
"PS(20:3(8Z,11Z,14Z)/22:2(13Z,16Z))","[GP0301]","42:5","20:3_22:2"
"PS(20:5(5Z,8Z,11Z,14Z,17Z)/20:2(11Z,14Z))","[GP0301]","40:7","20:2_20:5"
"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:4(7Z,10Z,13Z,16Z))","[GP0301]","44:10","22:4_22:6"
"DG(13:0/21:0/0:0)[iso2]","[GL0201]","34:0","13:0_21:0"
"DG(13:0/22:3(10Z,13Z,16Z)/0:0)[iso2]","[GL0201]","35:3","13:0_22:3"
"DG(14:1(9Z)/17:1(9Z)/0:0)[iso2]","[GL0201]","31:2","14:1_17:1"
"DG(19:1(9Z)/17:2(9Z,12Z)/0:0)[iso2]","[GL0201]","36:3","17:2_19:1"
"TG(12:0/18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z))[iso3]","[GL0301]","48:6","12:0_18:3_18:3"
"TG(13:0/21:0/21:0)[iso3]","[GL0301]","55:0","13:0_21:0_21:0"
"TG(14:0/14:0/18:2(9Z,12Z))[iso3]","[GL0301]","46:2","14:0_14:0_18:2"
"TG(14:0/19:1(9Z)/19:1(9Z))[iso3]","[GL0301]","52:2","14:0_19:1_19:1"
"TG(14:0/15:1(9Z)/15:1(9Z))[iso3]","[GL0301]","44:2","14:0_15:1_15:1"
"TG(18:3(9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z))[iso3]","[GL0301]","54:11","18:3_18:4_18:4"
"TG(19:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso3]","[GL0301]","63:11","19:1_22:5_22:5"
"TG(12:0/14:0/15:1(9Z))[iso6]","[GL0301]","41:1","12:0_14:0_15:1"
"TG(12:0/14:0/20:4(5Z,8Z,11Z,14Z))[iso6]","[GL0301]","46:4","12:0_14:0_20:4"
"TG(12:0/15:1(9Z)/16:1(9Z))[iso6]","[GL0301]","43:2","12:0_15:1_16:1"
"TG(12:0/15:1(9Z)/17:0)[iso6]","[GL0301]","44:1","12:0_15:1_17:0"
"TG(12:0/16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","50:6","12:0_16:1_22:5"
"TG(12:0/16:1(9Z)/22:2(13Z,16Z))[iso6]","[GL0301]","50:3","12:0_16:1_22:2"
"TG(12:0/18:0/20:4(5Z,8Z,11Z,14Z))[iso6]","[GL0301]","50:4","12:0_18:0_20:4"
"TG(12:0/18:2(9Z,12Z)/20:1(11Z))[iso6]","[GL0301]","50:3","12:0_18:2_20:1"
"TG(12:0/18:2(9Z,12Z)/22:2(13Z,16Z))[iso6]","[GL0301]","52:4","12:0_18:2_22:2"
"TG(12:0/18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))[iso6]","[GL0301]","48:6","12:0_18:3_18:3"
"TG(12:0/18:3(6Z,9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","52:9","12:0_18:3_22:6"
"TG(12:0/18:3(9Z,12Z,15Z)/22:4(7Z,10Z,13Z,16Z))[iso6]","[GL0301]","52:7","12:0_18:3_22:4"
"TG(13:0/15:0/22:3(10Z,13Z,16Z))[iso6]","[GL0301]","50:3","13:0_15:0_22:3"
"TG(13:0/16:1(9Z)/22:1(11Z))[iso6]","[GL0301]","51:2","13:0_16:1_22:1"
"TG(13:0/17:1(9Z)/18:0)[iso6]","[GL0301]","48:1","13:0_17:1_18:0"
"TG(13:0/18:4(6Z,9Z,12Z,15Z)/22:1(11Z))[iso6]","[GL0301]","53:5","13:0_18:4_22:1"
"TG(13:0/20:4(5Z,8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","55:10","13:0_20:4_22:6"
"TG(14:0/15:1(9Z)/16:1(9Z))[iso6]","[GL0301]","45:2","14:0_15:1_16:1"
"TG(14:0/18:2(9Z,12Z)/22:0)[iso6]","[GL0301]","54:2","14:0_18:2_22:0"
"TG(14:0/18:2(9Z,12Z)/18:3(9Z,12Z,15Z))[iso6]","[GL0301]","50:5","14:0_18:2_18:3"
"TG(14:0/19:1(9Z)/21:0)[iso6]","[GL0301]","54:1","14:0_19:1_21:0"
"TG(14:0/21:0/22:3(10Z,13Z,16Z))[iso6]","[GL0301]","57:3","14:0_21:0_22:3"
"TG(14:0/22:0/22:2(13Z,16Z))[iso6]","[GL0301]","58:2","14:0_22:0_22:2"
"TG(14:1(9Z)/17:1(9Z)/19:1(9Z))[iso6]","[GL0301]","50:3","14:1_17:1_19:1"
"TG(14:1(9Z)/18:0/18:3(6Z,9Z,12Z))[iso6]","[GL0301]","50:4","14:1_18:0_18:3"
"TG(15:0/16:0/20:2(11Z,14Z))[iso6]","[GL0301]","51:2","15:0_16:0_20:2"
