"name","sub_class_id","FA_sum","FA_split"
"TG(17:1(9Z)/17:2(9Z,12Z)/20:1(11Z))[iso6]","[GL0301]","54:4","17:1_17:2_20:1"
"TG(17:0/17:2(9Z,12Z)/20:2(11Z,14Z))[iso6]","[GL0301]","54:4","17:0_17:2_20:2"
"TG(18:1(9Z)/18:1(9Z)/18:2(9Z,12Z))[iso3]","[GL0301]","54:4","18:1_18:1_18:2"
"TG(16:0/16:1(9Z)/22:0)[iso6]","[GL0301]","54:1","16:0_16:1_22:0"
"TG(16:0/17:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]","[GL0301]","53:5","16:0_17:1_20:4"
"TG(17:1(9Z)/18:0/20:1(11Z))[iso6]","[GL0301]","55:2","17:1_18:0_20:1"
"TG(17:0/17:0/21:0)[iso3]","[GL0301]","55:0","17:0_17:0_21:0"
"TG(17:2(9Z,12Z)/20:1(11Z)/20:1(11Z))[iso3]","[GL0301]","57:4","17:2_20:1_20:1"
"TG(17:1(9Z)/17:1(9Z)/22:1(13Z))[iso3]","[GL0301]","56:3","17:1_17:1_22:1"
"TG(16:1(9Z)/20:2(11Z,14Z)/20:2(11Z,14Z))[iso3]","[GL0301]","56:5","16:1_20:2_20:2"
"TG(18:0/18:2(9Z,12Z)/20:3(8Z,11Z,14Z))[iso6]","[GL0301]","56:5","18:0_18:2_20:3"
"TG(18:2(9Z,12Z)/18:2(9Z,12Z)/20:1(11Z))[iso3]","[GL0301]","56:5","18:2_18:2_20:1"
"TG(17:0/18:0/22:1(13Z))[iso6]","[GL0301]","57:1","17:0_18:0_22:1"
"TG(17:2(9Z,12Z)/18:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","[GL0301]","55:9","17:2_18:2_20:5"
"TG(16:0/17:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","55:7","16:0_17:1_22:6"
"TG(17:0/19:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","[GL0301]","56:5","17:0_19:0_20:5"
"TG(18:0/18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","[GL0301]","56:6","18:0_18:1_20:5"
"TG(16:1(9Z)/18:2(9Z,12Z)/22:3(10Z,13Z,16Z))[iso6]","[GL0301]","56:6","16:1_18:2_22:3"
"TG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/20:2(11Z,14Z))[iso6]","[GL0301]","56:7","18:2_18:3_20:2"
"TG(17:1(9Z)/20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","[GL0301]","57:7","17:1_20:1_20:5"
"TG(16:0/19:0/22:2(13Z,16Z))[iso6]","[GL0301]","57:2","16:0_19:0_22:2"
"TG(18:2(9Z,12Z)/19:0/20:3(8Z,11Z,14Z))[iso6]","[GL0301]","57:5","18:2_19:0_20:3"
"TG(18:0/18:1(9Z)/22:3(10Z,13Z,16Z))[iso6]","[GL0301]","58:4","18:0_18:1_22:3"
"TG(17:1(9Z)/18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","57:7","17:1_18:1_22:5"
