"name","sub_class_id","FA_sum","FA_split","possible_MLCL_sum","possible_MLCL_split","possible_PG_sum","possible_PG_split"
"CL(1'-[16:0/18:2(9Z,12Z)],3'-[20:0/20:0])","[GP1201]","74:2","16:0_18:2_20:0_20:0","58:2;0","18:2_20:0_20:0","40:0;0","20:0_20:0"
"CL(1'-[16:0/18:2(9Z,12Z)],3'-[20:0/20:0])","[GP1201]","74:2","16:0_18:2_20:0_20:0","58:2;0","18:2_20:0_20:0","38:2;0","18:2_20:0"
"CL(1'-[16:0/18:2(9Z,12Z)],3'-[20:0/20:0])","[GP1201]","74:2","16:0_18:2_20:0_20:0","56:0;0","16:0_20:0_20:0","40:0;0","20:0_20:0"
"CL(1'-[16:0/18:2(9Z,12Z)],3'-[20:0/20:0])","[GP1201]","74:2","16:0_18:2_20:0_20:0","56:0;0","16:0_20:0_20:0","36:0;0","16:0_20:0"
"CL(1'-[16:0/18:2(9Z,12Z)],3'-[20:0/20:0])","[GP1201]","74:2","16:0_18:2_20:0_20:0","54:2;0","16:0_18:2_20:0","38:2;0","18:2_20:0"
"CL(1'-[16:0/18:2(9Z,12Z)],3'-[20:0/20:0])","[GP1201]","74:2","16:0_18:2_20:0_20:0","54:2;0","16:0_18:2_20:0","36:0;0","16:0_20:0"
"CL(1'-[16:0/18:2(9Z,12Z)],3'-[20:0/20:0])","[GP1201]","74:2","16:0_18:2_20:0_20:0","54:2;0","16:0_18:2_20:0","34:2;0","16:0_18:2"
"CL(1'-[16:0/20:0],3'-[20:0/20:4(5Z,8Z,11Z,14Z)])","[GP1201]","76:4","16:0_20:0_20:0_20:4","60:4;0","20:0_20:0_20:4","40:4;0","20:0_20:4"
"CL(1'-[16:0/20:0],3'-[20:0/20:4(5Z,8Z,11Z,14Z)])","[GP1201]","76:4","16:0_20:0_20:0_20:4","60:4;0","20:0_20:0_20:4","40:0;0","20:0_20:0"
"CL(1'-[16:0/20:0],3'-[20:0/20:4(5Z,8Z,11Z,14Z)])","[GP1201]","76:4","16:0_20:0_20:0_20:4","56:4;0","16:0_20:0_20:4","40:4;0","20:0_20:4"
"CL(1'-[16:0/20:0],3'-[20:0/20:4(5Z,8Z,11Z,14Z)])","[GP1201]","76:4","16:0_20:0_20:0_20:4","56:4;0","16:0_20:0_20:4","36:4;0","16:0_20:4"
"CL(1'-[16:0/20:0],3'-[20:0/20:4(5Z,8Z,11Z,14Z)])","[GP1201]","76:4","16:0_20:0_20:0_20:4","56:4;0","16:0_20:0_20:4","36:0;0","16:0_20:0"
