"","Ctrl1","Ctrl2","Ctrl3","Ctrl4","Ctrl5","Ctrl6","Ctrl7","DHA1","DHA2","DHA3","DHA4","DHA5","DHA6"
"CL_68:2;0",-0.854883511024429,-0.854883511024429,-0.854883511024429,1.14207067370858,1.7703576629416,0.965716617049728,0.745258925293979,-0.854883511024429,-0.854883511024429,-0.854883511024429,0.806576907656819,0.554203790520298,-0.854883511024429
"CL_68:4;0",-1.14982222453413,-1.14982222453413,1.16530522312275,0.392174068896189,-0.568200811244604,0.53851889056742,1.59723649890942,-1.14982222453413,0.829227839136001,-0.0701289245693939,-0.379856159120005,1.09501227243877,-1.14982222453413
"CL_68:5;0",-0.990717868005511,-0.990717868005511,1.70214618860643,0.439407859892614,-0.0707246428032173,-0.990717868005511,0.25300492614409,-0.990717868005511,1.83565113322443,0.746504461880033,-0.0260966912220329,0.0736961043052022,-0.990717868005511
"CL_70:0;0",-0.796803762630386,-0.796803762630386,-0.796803762630386,1.37975193925019,-0.138240882251737,1.83954049200548,0.887273971661088,-0.796803762630386,-0.796803762630386,-0.796803762630386,0.515849865159552,1.09345095258812,-0.796803762630386
"CL_70:4;0",-1.00335755704845,-1.00335755704845,-0.0526241162423829,0.537608869050265,0.340974978586789,1.53883190484412,1.52213707561799,-1.00335755704845,-1.00335755704845,-0.315846774427111,0.119274121510919,1.32643172630164,-1.00335755704845
"CL_70:5;0",-1.37924011601001,-1.37924011601001,0.67762690935548,0.942072915619142,0.0861320017603828,0.993710550327302,0.839034298348263,-1.37924011601001,-0.0248339669957813,0.612727486622322,0.730359068273629,0.660131200729318,-1.37924011601001
"CL_70:6;0",-0.847640102330063,-0.847640102330063,0.901314104322334,1.71440995873726,0.83345468963505,0.384076072084774,-0.847640102330063,-0.847640102330063,-0.847640102330063,0.757418881396298,1.34280701013472,-0.847640102330063,-0.847640102330063
"CL_72:4;0",-0.598930285094344,-0.598930285094344,-0.598930285094344,0.836767978592093,2.38483764910958,0.217758584727734,-0.267664439795391,-0.598930285094344,-0.598930285094344,-0.598930285094344,1.61974250812073,-0.598930285094344,-0.598930285094344
"CL_72:5;0",-0.961477589448387,-0.961477589448387,-0.402605262143213,0.87635011157624,0.426230295888726,1.23210781319056,1.40352726335788,-0.961477589448387,-0.961477589448387,-0.785237315082261,1.17986788988405,0.877147150569956,-0.961477589448387
"CL_72:6;0",-1.26569323679642,-1.26569323679642,0.248010811436388,1.73657723949831,0.327655099705195,0.139269985099123,0.207591533220202,-1.26569323679642,0.278209958485898,0.875588941099722,1.22488506459841,0.024984314042423,-1.26569323679642
"CL_72:7;0",-0.964858658222672,-0.964858658222672,0.114869303354748,1.93154125672233,0.522591054583513,-0.964858658222672,0.153248589381287,-0.964858658222672,-0.10187699858881,0.786228625114597,1.62294277437397,-0.205251313828281,-0.964858658222672
"DAG_14:0;0_18:1;0",-0.611764801114175,-0.611764801114175,-0.611764801114175,0.556158413036177,0.488479498447182,0.983177086731089,-0.611764801114175,-0.611764801114175,0.1324708414973,-0.611764801114175,-0.611764801114175,2.73383256920165,-0.611764801114175
"DAG_15:0;0_15:0;0",-0.532088568247201,-0.532088568247201,-0.532088568247201,2.2365416178932,0.211945085104249,-0.532088568247201,-0.532088568247201,-0.532088568247201,-0.532088568247201,-0.532088568247201,0.257365453877819,2.08294495734954,-0.532088568247201
"DAG_16:0;0_16:1;0",-0.683158121608109,-0.683158121608109,-0.683158121608109,1.31004005853118,0.762237156636414,1.19346611902392,-0.683158121608109,-0.683158121608109,0.0687806273884292,-0.683158121608109,-0.683158121608109,2.13074101128494,-0.683158121608109
"DAG_16:0;0_18:1;0",0.337427170426027,-1.41674216978831,-0.57250582396766,0.799905979576854,0.0811464624159362,0.513254483839601,-0.190249023775091,0.0463249886783406,-0.332214916590937,-0.613949533522927,0.312649750407604,2.45169480208888,-1.41674216978831
"DAG_16:0;0_20:1;0",-0.689780377947501,-0.689780377947501,-0.0490303162840258,1.74199233383258,1.136997094412,1.69803840330893,-0.689780377947501,-0.689780377947501,-0.689780377947501,-0.689780377947501,0.99024550831052,-0.689780377947501,-0.689780377947501
"DAG_16:0;0_20:2;0",-0.554142067091326,-0.554142067091326,0.550260965947092,0.521337884458212,0.067240428842105,2.97720760296419,-0.554142067091326,-0.554142067091326,-0.554142067091326,-0.554142067091326,0.31708965451901,-0.554142067091326,-0.554142067091326
"DAG_16:1;0_18:0;0",-1.110078276618,-1.110078276618,0.0185197861684797,1.13668431620428,0.278955695769053,1.52700857502105,-0.129710469335335,-1.110078276618,-0.338290376661701,-0.356212344007147,0.673109262822949,1.63024866049037,-1.110078276618
"DAG_18:0;0_18:1;0",-1.11228284975601,-1.11228284975601,-0.433174068426461,0.575220917868335,0.115868495592783,0.266373151177013,1.59612628320313,-1.11228284975601,0.0320663096618158,-0.0180970591269496,0.376218817788377,1.938528551286,-1.11228284975601
"DAG_18:0;0_18:2;0",-0.605376722453223,-0.605376722453223,-0.221777216991528,1.32279321267267,-0.0740705982173624,-0.605376722453223,-0.605376722453223,-0.605376722453223,0.514855375350971,-0.605376722453223,-0.017976620025537,2.71381290438334,-0.605376722453223
