"lipid","type","mean_all","mean_ctrl","mean_exp","sd_ctrl","sd_exp","FC","log2FC","statistics","p_value","mlog10p","adj_p_value","mlog10padj","sig","Significance"
"CL_68:2;0","species",0.0208319175866832,0.0279987720645912,0.0124705873624572,0.0272689013968337,0.0194169873763359,0.445397652928792,-1.16683413917952,-1.16197706998089,0.269836543603792,0.568899234757687,0.467876458952241,0.329868805639916,"no","No change"
"CL_68:4;0","species",0.0470019240185261,0.051821910228115,0.0413786067740056,0.0448493882591626,0.0390654184779512,0.798477064852705,-0.324677126071731,-0.443569184348191,0.665952279037765,0.176556890489022,0.792723734121592,0.100878138849954,"no","No change"
"CL_68:5;0","species",0.0241573388728639,0.0218989954373236,0.0267920728809942,0.0244727420187533,0.0263207855991849,1.22343844299502,0.290941514396496,0.347223208464926,0.73497588786608,0.13372690845115,0.854812075966184,0.0681293511682019,"no","No change"
"CL_70:0;0","species",0.0356845955172779,0.0457797915273992,0.023906866838803,0.0505458450348654,0.0379289538549936,0.522214410358221,-0.937285825927728,-0.868859559459643,0.403483277175094,0.39417446039936,0.600084360811097,0.221787691517434,"no","No change"
"CL_70:4;0","species",0.0409660914790241,0.0519328417388103,0.0281715495092735,0.0428263159271962,0.0378825643788587,0.542461158797332,-0.882408253213312,-1.05056369054263,0.315991715722652,0.500324303024317,0.513920592603874,0.289103979950453,"no","No change"
"CL_70:5;0","species",0.067599920436947,0.073061981641541,0.061227515698254,0.052036378349366,0.0492492368907958,0.8380215581703,-0.254940737042293,-0.418828846979586,0.683402567910813,0.165323393656365,0.809148640406403,0.0919716912694641,"no","No change"
"CL_70:6;0","species",0.0223606758407263,0.0272233784023225,0.0166875228521973,0.0274810694428683,0.0263093758307006,0.612985008898587,-0.706076302948671,-0.702565348678121,0.496925397380426,0.303708806312821,0.668590534657301,0.174839776076088,"no","No change"
"CL_72:4;0","species",0.0441371514129925,0.0586116629056269,0.0272502213382524,0.0813568358762209,0.0667491376566205,0.464928309270616,-1.10491982131939,-0.750899040877065,0.468473049063005,0.329315388724746,0.654704035419197,0.183954982195633,"no","No change"
"CL_72:5;0","species",0.0399169848565167,0.0494814789280228,0.0287584084397596,0.0417821392714243,0.0420031136238849,0.581195410137043,-0.782904785238482,-0.889348804291396,0.392849668177256,0.405773609348277,0.593283172349325,0.226737969645815,"no","No change"
"CL_72:6;0","species",0.0762351506813355,0.0773341098000495,0.0749530317095025,0.0624434389547389,0.063436920131483,0.969210506247459,-0.0451180511908044,-0.068045107830851,0.946970850194537,0.0236633893119369,0.962139719648454,0.0167618561677388,"no","No change"
"CL_72:7;0","species",0.0376335158258698,0.0366733123271063,0.0387537532410939,0.0416123167791976,0.0396293197277354,1.05672901578759,0.0796054640415111,0.0918267835502332,0.928486620122959,0.0322243502426018,0.955324886419081,0.0198489086420775,"no","No change"
"DAG_14:0;0_18:1;0","species",0.0173903926550556,0.0156878659530029,0.0193766738074504,0.0200552858395877,0.0380515685325087,1.2351376449479,0.304671826116331,0.223823934483447,0.826996996239988,0.0824960678582966,0.905554626286796,0.0430853463666508,"no","No change"
"DAG_15:0;0_15:0;0","species",0.00134862289944421,0.00127187710969509,0.00143815965415152,0.00262917734923166,0.00266550520229151,1.13073790163289,0.177264559889187,0.112966720932584,0.9120922178336,0.0399612497510041,0.950631325629386,0.0219878787391032,"no","No change"
"DAG_16:0;0_16:1;0","species",0.0301196897653016,0.0334774427065183,0.026202311333882,0.0423949057379663,0.0497413466977792,0.782685570208749,-0.353495247660232,-0.285015174996667,0.780927194584418,0.107389453272642,0.877801707330333,0.0566035787844823,"no","No change"
"DAG_16:0;0_18:1;0","species",0.274509848624275,0.262115685819007,0.288969705230421,0.145131330926844,0.253697847910661,1.1024510201574,0.140714560956757,0.239125972450425,0.815404782297339,0.0886267457667975,0.900596326716464,0.0454698287366477,"no","No change"
"DAG_16:0;0_20:1;0","species",0.00860505730988418,0.0129867581990127,0.00349307293923427,0.0142026509316686,0.00855624633544784,0.268971893193471,-1.89447267180426,-1.42547431858386,0.181773672099644,0.740469019298063,0.359033005146799,0.444865625810918,"no","No change"
"DAG_16:0;0_20:2;0","species",0.00428052957656693,0.00698813743129184,0.00112165374605455,0.00972198905087895,0.00274747934591494,0.160508255179978,-2.63928059566475,-1.42201737050415,0.182751034151299,0.738140156778137,0.359033005146799,0.444865625810918,"no","No change"
"DAG_16:1;0_18:0;0","species",0.0148395566416331,0.0160069699426697,0.0134775744570903,0.0135120206258416,0.0143410715774442,0.841981618342595,-0.248139357338511,-0.327198496838637,0.749659883021577,0.125135729181264,0.855652925608175,0.0677023603923515,"no","No change"
"DAG_18:0;0_18:1;0","species",0.121569398218307,0.119943197693237,0.123466632164223,0.105810702804593,0.123397723419322,1.02937585906287,0.0417698539494195,0.0554851323839159,0.956746943425477,0.0192029165668229,0.967643833441712,0.0142844666943244,"no","No change"
"DAG_18:0;0_18:2;0","species",0.0130581224961413,0.00876083262685586,0.018071627343641,0.015233510565289,0.0279673624287579,2.06277509380141,1.04458653147868,0.762194833816379,0.461974402098655,0.335382087940179,0.649103273834819,0.187686200443963,"no","No change"
"DAG_18:1;0_18:1;0","species",0.104371140563339,0.0950260749782202,0.115273717079312,0.102469952850654,0.217499347105086,1.21307459142906,0.278668263876564,0.220548104905225,0.829484341686666,0.0811918078111234,0.905554626286796,0.0430853463666508,"no","No change"
"LPC O-_16:0;0","species",0.0540268784235995,0.0454480313361122,0.0640355333590013,0.0609605119838625,0.0733275882199703,1.40898365619898,0.494654876901323,0.499652677007965,0.62716297350917,0.20261958947432,0.761722997164721,0.118202932432125,"no","No change"
