"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"LPA_19:1 --> PC_18:1_19:1","LPA_19:1;0","PC_18:1;0_19:1;0",-9.42653366401797,-4.95945968743363,"Suppressed","yes","18:1;0_19:1;0"
"LPA_18:1 --> PE_18:1_20:2","LPA_18:1;0","PE_18:1;0_20:2;0",-8.75084556082584,-4.47700863351763,"Suppressed","yes","18:1;0_20:2;0"
"LPA_20:1 --> PE_18:1_20:1","LPA_20:1;0","PE_18:1;0_20:1;0",-8.13758758803451,-4.11606455713892,"Suppressed","yes","18:1;0_20:1;0"
"LPA_18:1 --> PE_16:1_18:1","LPA_18:1;0","PE_16:1;0_18:1;0",-7.67705590820242,-3.84501030396137,"Suppressed","yes","16:1;0_18:1;0"
"PA_16:1_18:0 --> PE_16:1_18:0","PA_16:1;0_18:0;0","PE_16:1;0_18:0;0",-7.12365332907616,-3.59648023257277,"Suppressed","yes","16:1;0_18:0;0"
"LPA_22:6 --> PE_18:0_22:6 --> LPE_22:6","LPA_22:6;0","LPE_22:6;0",9.87106668991421,6.50912885804208,"Active","yes","18:0;0_22:6;0"
"LPA_22:6 --> PE_18:1_22:6 --> LPE_22:6","LPA_22:6;0","LPE_22:6;0",7.38587235848229,5.05396390686633,"Active","yes","18:1;0_22:6;0"
"PI_16:0_16:0 --> PC_16:0_16:0","PI_16:0;0_16:0;0","PC_16:0;0_16:0;0",6.31674463542972,4.11568636283396,"Active","yes","16:0;0_16:0;0"
"LPA_18:0 --> PE_18:0_20:5","LPA_18:0;0","PE_18:0;0_20:5;0",5.08047930641132,3.46889106464555,"Active","yes","18:0;0_20:5;0"
"LPA_18:0 --> PS_16:0_18:0","LPA_18:0;0","PS_16:0;0_18:0;0",4.56379095675623,3.35956160833755,"Active","yes","16:0;0_18:0;0"
