"feature","sample_coverage"
"PC O-_16:1;0_16:0;0",13
"PC O-_16:1;0_16:1;0",8
"PC O-_16:1;0_17:0;0",10
"PC O-_16:1;0_18:0;0",11
"PC O-_16:1;0_18:1;0",13
"PC O-_16:1;0_18:2;0",5
"PC O-_16:1;0_20:2;0",4
"PC O-_16:1;0_20:3;0",9
"PC O-_16:1;0_20:4;0",5
"PC O-_16:1;0_22:4;0",4
"PC O-_16:1;0_22:5;0",4
"PC O-_16:2;0_16:0;0",8
"PC O-_16:2;0_18:0;0",13
"PC O-_16:2;0_18:1;0",5
"PC O-_17:0;0_14:0;0",7
"PC O-_17:0;0_15:0;0",12
"PC O-_17:0;0_15:1;0",4
"PC O-_17:0;0_16:1;0",13
"PC O-_17:0;0_17:0;0",7
"PC O-_17:0;0_17:1;0",13
"PC O-_17:0;0_18:1;0",5
"PC O-_17:0;0_18:2;0",7
"PC O-_17:0;0_19:1;0",11
"PC O-_17:0;0_19:2;0",4
"PC O-_17:0;0_20:4;0",4
"PC O-_17:1;0_15:0;0",12
"PC O-_17:1;0_16:0;0",13
"PC O-_17:1;0_16:1;0",4
"PC O-_17:1;0_17:0;0",12
"PC O-_17:1;0_17:1;0",13
"PC O-_17:1;0_18:0;0",5
"PC O-_17:1;0_18:1;0",7
"PC O-_17:1;0_19:1;0",4
"PC O-_17:1;0_20:3;0",4
"PC O-_17:2;0_16:0;0",4
"PC O-_17:2;0_18:0;0",6
"PC O-_18:0;0_14:0;0",12
"PC O-_18:0;0_16:0;0",7
"PC O-_18:0;0_16:1;0",12
"PC O-_18:0;0_17:1;0",4
"PC O-_18:0;0_18:1;0",12
"PC O-_18:0;0_18:2;0",11
"PC O-_18:0;0_20:1;0",5
"PC O-_18:0;0_20:2;0",4
"PC O-_18:0;0_20:3;0",6
"PC O-_18:0;0_20:4;0",11
"PC O-_18:1;0_14:0;0",13
"PC O-_18:1;0_15:0;0",10
"PC O-_18:1;0_16:0;0",13
"PC O-_18:1;0_16:1;0",13
"PC O-_18:1;0_17:0;0",5
"PC O-_18:1;0_17:1;0",6
"PC O-_18:1;0_18:0;0",9
"PC O-_18:1;0_18:1;0",12
"PC O-_18:1;0_18:2;0",12
"PC O-_18:1;0_20:1;0",4
"PC O-_18:1;0_20:2;0",6
"PC O-_18:1;0_20:3;0",12
"PC O-_18:1;0_20:4;0",12
"PC O-_18:1;0_22:5;0",4
"PC O-_18:2;0_14:0;0",4
"PC O-_18:2;0_16:0;0",13
"PC O-_18:2;0_16:1;0",4
"PC O-_18:2;0_18:0;0",12
"PC O-_18:2;0_18:1;0",12
"PC O-_18:2;0_18:2;0",6
"PC O-_18:2;0_20:3;0",4
"PC O-_18:2;0_20:4;0",5
"PC_12:0;0_16:0;0",4
"PC_14:0;0_14:0;0",13
"PC_14:0;0_16:0;0",13
"PC_14:0;0_17:0;0",13
"PC_14:0;0_17:1;0",11
"PC_14:0;0_18:0;0",12
"PC_14:0;0_18:1;0",13
"PC_14:0;0_18:2;0",11
"PC_14:0;0_20:1;0",6
"PC_14:0;0_20:2;0",5
"PC_14:0;0_20:4;0",5
"PC_15:0;0_15:0;0",13
"PC_15:0;0_16:0;0",13
"PC_15:0;0_16:1;0",12
"PC_15:0;0_17:0;0",12
"PC_15:0;0_17:1;0",10
"PC_15:0;0_18:0;0",9
"PC_15:0;0_18:1;0",13
"PC_15:0;0_18:2;0",4
"PC_15:1;0_16:0;0",4
"PC_16:0;0_16:0;0",12
"PC_16:0;0_16:1;0",13
"PC_16:0;0_16:2;0",8
"PC_16:0;0_17:1;0",13
"PC_16:0;0_18:0;0",9
"PC_16:0;0_18:1;0",13
"PC_16:0;0_18:2;0",13
"PC_16:0;0_18:3;0",4
"PC_16:0;0_19:1;0",12
"PC_16:0;0_19:2;0",4
"PC_16:0;0_20:1;0",13
"PC_16:0;0_20:2;0",13
"PC_16:0;0_20:3;0",13
"PC_16:0;0_20:4;0",13
"PC_16:0;0_20:5;0",4
"PC_16:0;0_22:4;0",6
"PC_16:0;0_22:5;0",7
"PC_16:0;0_22:6;0",7
"PC_16:1;0_16:1;0",13
"PC_16:1;0_17:0;0",12
"PC_16:1;0_17:1;0",13
"PC_16:1;0_18:0;0",13
"PC_16:1;0_18:1;0",13
"PC_16:1;0_18:2;0",8
"PC_16:1;0_19:1;0",4
"PC_16:1;0_20:1;0",7
"PC_16:1;0_20:2;0",8
"PC_16:1;0_20:3;0",6
"PC_16:1;0_20:4;0",6
"PC_17:0;0_17:1;0",7
"PC_17:0;0_18:1;0",6
"PC_17:0;0_18:2;0",5
"PC_17:0;0_20:3;0",4
"PC_17:0;0_20:4;0",4
"PC_17:1;0_17:1;0",10
"PC_17:1;0_18:0;0",9
"PC_17:1;0_18:1;0",13
"PC_17:1;0_18:2;0",4
"PC_18:0;0_18:1;0",13
"PC_18:0;0_18:2;0",12
"PC_18:0;0_18:3;0",4
"PC_18:0;0_20:2;0",9
"PC_18:0;0_20:3;0",13
"PC_18:0;0_20:4;0",12
"PC_18:0;0_22:4;0",4
"PC_18:0;0_22:5;0",4
"PC_18:0;0_22:6;0",4
"PC_18:1;0_18:1;0",13
"PC_18:1;0_18:2;0",13
"PC_18:1;0_18:3;0",6
"PC_18:1;0_19:1;0",9
"PC_18:1;0_19:2;0",5
"PC_18:1;0_20:1;0",12
"PC_18:1;0_20:2;0",12
"PC_18:1;0_20:3;0",13
"PC_18:1;0_20:4;0",13
"PC_18:1;0_22:5;0",5
"PC_18:1;0_22:6;0",4
"PC_18:2;0_18:2;0",7
"PC_18:2;0_20:1;0",4
"PC_18:2;0_20:3;0",4
"PE O-_16:0;0_16:1;0",6
"PE O-_16:0;0_18:1;0",12
"PE O-_16:0;0_18:2;0",7
"PE O-_16:0;0_20:1;0",6
"PE O-_16:0;0_20:2;0",8
"PE O-_16:0;0_20:3;0",9
"PE O-_16:0;0_20:4;0",7
"PE O-_16:0;0_22:4;0",6
"PE O-_16:0;0_22:5;0",6
"PE O-_16:1;0_16:0;0",8
"PE O-_16:1;0_16:1;0",11
"PE O-_16:1;0_17:1;0",4
"PE O-_16:1;0_18:1;0",13
"PE O-_16:1;0_18:2;0",13
"PE O-_16:1;0_19:1;0",4
"PE O-_16:1;0_20:1;0",12
"PE O-_16:1;0_20:2;0",12
"PE O-_16:1;0_20:3;0",11
"PE O-_16:1;0_20:4;0",13
"PE O-_16:1;0_20:5;0",6
"PE O-_16:1;0_22:2;0",6
"PE O-_16:1;0_22:3;0",6
"PE O-_16:1;0_22:4;0",11
"PE O-_16:1;0_22:5;0",13
"PE O-_16:1;0_22:6;0",7
"PE O-_16:1;0_24:4;0",4
"PE O-_16:2;0_16:0;0",8
"PE O-_16:2;0_18:0;0",5
"PE O-_16:2;0_18:1;0",9
"PE O-_17:0;0_17:1;0",10
"PE O-_17:0;0_18:2;0",11
"PE O-_17:0;0_20:2;0",6
"PE O-_17:0;0_20:3;0",7
"PE O-_17:0;0_20:4;0",6
"PE O-_17:1;0_16:1;0",5
"PE O-_17:1;0_17:1;0",4
"PE O-_17:1;0_18:1;0",11
"PE O-_17:1;0_18:2;0",8
"PE O-_17:1;0_20:1;0",5
"PE O-_17:1;0_20:2;0",7
"PE O-_17:1;0_20:3;0",6
"PE O-_17:1;0_20:4;0",9
"PE O-_17:2;0_16:0;0",5
"PE O-_17:2;0_18:0;0",7
"PE O-_17:2;0_18:1;0",8
"PE O-_18:0;0_16:1;0",9
"PE O-_18:0;0_18:1;0",10
"PE O-_18:0;0_18:2;0",9
"PE O-_18:0;0_20:1;0",8
"PE O-_18:0;0_20:2;0",10
"PE O-_18:0;0_20:3;0",11
"PE O-_18:0;0_20:4;0",11
"PE O-_18:0;0_20:5;0",5
"PE O-_18:0;0_22:4;0",6
"PE O-_18:0;0_22:5;0",7
"PE O-_18:1;0_14:0;0",5
"PE O-_18:1;0_16:0;0",12
"PE O-_18:1;0_16:1;0",13
"PE O-_18:1;0_17:1;0",9
"PE O-_18:1;0_18:0;0",5
"PE O-_18:1;0_18:1;0",13
