"mean_all","mean","sd","group","lipid","FC","log2FC","statistics","p_value","mlog10p","adj_p_value","mlog10padj","sig","star"
36.1385552226368,33.0018238147514,2.85911790340995,"Ctrl","0",1.20593563016096,0.270152901826719,5.14114487452711,3.22659523283573e-04,3.49125551218255,8.53117335158339e-04,3.06899123318496,"yes","***"
46.1672620107832,51.4302168534202,5.27083683321017,"Ctrl","1",0.778280755490238,-0.361637410772054,-3.91272430229986,0.0024229559271998,2.6156544854696,0.00424017287259966,2.3726164367833,"yes","**"
5.22251434120515,6.35529379977012,1.12426942057543,"Ctrl","2",0.61380927917979,-0.704137639168535,-5.06115143225592,3.6562171506786e-04,3.43696801847955,8.53117335158339e-04,3.06899123318496,"yes","***"
2.46129466650394,2.84799477784029,0.712455363889883,"Ctrl","3",0.705810471371681,-0.5026472608537,-1.92742575369579,0.0801361478321733,1.09617153806304,0.0934921724708688,1.02922474843243,"no",""
5.32510290947923,5.32723528625975,1.69021529394911,"Ctrl","4",0.999132730310779,-0.00125174856003858,-0.00435113714125331,0.996606213848995,0.00147640932639396,0.996606213848995,0.00147640932639396,"no",""
1.20477465087732,0.896661277983088,0.516962068929069,"Ctrl","5",1.74451634189645,0.802827112156844,1.97641351514139,0.0737197720146756,1.13241601654739,0.0934921724708688,1.02922474843243,"no",""
3.48049619851431,0.140774189975102,0.278150027509193,"Ctrl","6",52.4019249772617,5.71154790482069,6.76152340420091,3.1091734589328e-05,4.50735504825081,2.17642142125296e-04,3.66225700823656,"yes","***"
36.1385552226368,39.7980751985032,1.61594656019124,"DHA","0",1.20593563016096,0.270152901826719,5.14114487452711,3.22659523283573e-04,3.49125551218255,8.53117335158339e-04,3.06899123318496,"yes","***"
46.1672620107832,40.0271480277067,5.19912337095728,"DHA","1",0.778280755490238,-0.361637410772054,-3.91272430229986,0.0024229559271998,2.6156544854696,0.00424017287259966,2.3726164367833,"yes","**"
5.22251434120515,3.90093830621268,0.393339780448992,"DHA","2",0.61380927917979,-0.704137639168535,-5.06115143225592,3.6562171506786e-04,3.43696801847955,8.53117335158339e-04,3.06899123318496,"yes","***"
2.46129466650394,2.01014453661154,0.856727421822864,"DHA","3",0.705810471371681,-0.5026472608537,-1.92742575369579,0.0801361478321733,1.09617153806304,0.0934921724708688,1.02922474843243,"no",""
5.32510290947923,5.32261513656862,2.1413886269856,"DHA","4",0.999132730310779,-0.00125174856003858,-0.00435113714125331,0.996606213848995,0.00147640932639396,0.996606213848995,0.00147640932639396,"no",""
1.20477465087732,1.56424025258725,0.70015768302764,"DHA","5",1.74451634189645,0.802827112156844,1.97641351514139,0.0737197720146756,1.13241601654739,0.0934921724708688,1.02922474843243,"no",""
3.48049619851431,7.37683854181006,2.83681738734151,"DHA","6",52.4019249772617,5.71154790482069,6.76152340420091,3.1091734589328e-05,4.50735504825081,2.17642142125296e-04,3.66225700823656,"yes","***"
