"","Ctrl1","Ctrl2","Ctrl3","Ctrl4","Ctrl5","Ctrl6","Ctrl7","DHA1","DHA2","DHA3","DHA4","DHA5","DHA6"
"14:1;0",-0.527233018108798,-0.527233018108798,-0.527233018108798,-0.527233018108798,0.605598575420243,1.18583141199548,2.77360022779763,-0.527233018108798,-0.527233018108798,-0.527233018108798,0.180066947765831,-0.527233018108798,-0.527233018108798
"15:0;0",2.3585442317537,1.40268050428252,0.200824402576593,-0.650290500051145,-0.338528582867012,-0.560780423250708,0.409598500502199,-0.0956614834850126,-1.09915259638028,-0.537070061915908,-0.939397067261114,-0.7860652243809,0.635298300477069
"15:1;0",-0.585971265914131,-0.585971265914131,1.89145884206975,-0.585971265914131,-0.585971265914131,2.11392665988689,-0.585971265914131,-0.585971265914131,0.806040203886174,0.462315687384363,-0.585971265914131,-0.585971265914131,-0.585971265914131
"16:0;0",-1.18801391060167,-1.68530329526055,-1.24374803689729,0.24772259310746,0.415467626253152,-0.503909704603227,-0.890589549941659,1.06851210990837,1.19217015250648,1.10145336701955,0.863358408324638,0.631476871230474,-0.00859663104571498
"16:2;0",-0.882469064949073,-1.31200469655469,-0.578342301379301,-0.38167172559543,-0.0451511016872761,0.799487942428129,0.876162760213316,1.52735809984605,1.59768097934667,0.131113229748655,0.464443929645256,-0.898293347366553,-1.29831470369575
"17:0;0",1.57535421772834,-1.32623195580303,0.653368201548953,0.598780467040627,1.20887588672931,0.304237384306104,-0.293414744256022,0.466180071495412,-1.08711974997386,0.906436559411295,-1.20228448980905,-0.760489698367415,-1.04369215005066
"17:1;0",1.48185895483782,1.52490629268238,-0.128756854855929,-0.53705833764443,-0.719219661826097,-0.117352816583576,1.96190442219557,-0.249830313893074,-1.11406225867767,-0.817725758551779,-0.799990208561848,-0.421171081013125,-0.0635023781082373
"17:2;0",0.8344099822979,0.463976357549344,0.441981412076171,0.0379864227226273,0.319831688626231,1.51023982118279,1.83338064075911,-0.961005595569971,-1.03330975313053,-0.5005897362278,-1.06245132724758,-0.96529808922253,-0.919151823815766
"18:0;0",-1.06335186715067,-1.26704958215827,-1.65508435847929,1.24786652730243,1.25431054805186,-0.101957072722416,-0.855303696608977,0.720698493625472,0.277579528962923,-0.0845171454838555,1.35229059357192,0.407134356673698,-0.232616325584823
"19:1;0",1.87085235151108,0.507271809045581,0.535461207273461,-0.198272810465669,0.782953019131645,1.48034540345594,0.412650914512144,-0.899861066717709,-0.782736477564096,-0.792072716444126,-1.09601260067074,-1.03977717673668,-0.780801856330837
"19:2;0",-0.767550622415715,2.81555131993471,0.932768746535874,-0.412323310287399,0.442582020607626,0.0986184725954589,-0.294674377623728,-0.767550622415715,0.17403995134113,-0.100492825726877,-0.585867507713931,-0.767550622415715,-0.767550622415715
"19:3;0",-0.566736647247049,-0.566736647247049,0.549275177775166,-0.566736647247049,1.18058218747692,-0.566736647247049,-0.566736647247049,-0.566736647247049,-0.566736647247049,0.754592175630433,2.61618028434093,-0.566736647247049,-0.566736647247049
"20:0;0",-1.06666243910887,-1.06666243910887,-0.530594532197603,1.7723613113305,0.71573818543345,0.966138372329595,0.458544176501398,-0.50075472888862,0.0178795663892589,-0.0858382024666344,1.45317560800414,-1.06666243910887,-1.06666243910887
"22:0;0",-0.996656168079947,-0.996656168079947,-0.473084967752608,1.93222505282908,0.546074135987891,1.20587775618691,-0.0775258107131449,-0.261914592814784,-0.189745558048099,-0.170837639482046,1.47555629612659,-0.996656168079947,-0.996656168079947
"22:2;0",0.361463360903168,0.485805248037006,0.513762526417531,-0.520665065104436,-0.403066501819482,1.97924919098993,1.95705326546954,-0.731989968320392,-0.713652183291297,-0.731989968320392,-0.731989968320392,-0.731989968320392,-0.731989968320392
"22:3;0",1.20773642695837,1.28153042605941,-0.0632627053591916,-0.823426912378142,1.79947923733161,-0.823426912378142,0.840564296638909,-0.823426912378142,-0.723920758902382,-0.823426912378142,0.598434551542119,-0.823426912378142,-0.823426912378142
"24:0;0",-1.08737576744086,-1.08737576744086,0.290683109051173,1.01131391566702,0.276682974495334,-1.08737576744086,-0.313280176086858,-1.08737576744086,1.36290858351745,1.38699797982052,0.795644753212512,-1.08737576744086,0.625927697527154
"endo: 12:0;0",-1.19226408351953,-1.56751820292234,-1.27062090350367,-0.0718253605899155,0.12188415915507,-0.655996355390488,-0.697332184504273,1.22386214027046,1.48252706625418,0.93117273140207,0.443951778898251,0.741069403086504,0.511089811363685
"endo: 14:0;0",-1.1902343951086,-1.56581917175507,-1.27364731006337,-0.0688083913987289,0.125071816561404,-0.66406099338325,-0.694866384112001,1.22802081167226,1.47900428090016,0.935073497911753,0.447423227969769,0.72822259132169,0.514620419483995
"endo: 2:0;0--10:0;0",-1.19226408351953,-1.56751820292234,-1.27062090350367,-0.0718253605899155,0.12188415915507,-0.655996355390488,-0.697332184504273,1.22386214027046,1.48252706625418,0.93117273140207,0.443951778898251,0.741069403086504,0.511089811363685
"exo: 12:0;0",-1.19022097668233,-1.68716072548038,-1.24099026016805,0.244506084670106,0.4121331790846,-0.496160975156722,-0.893005730122844,1.06471851807023,1.19610163069905,1.09763661473371,0.859709056627694,0.644366509442439,-0.0116329257175021
"exo: 14:0;0",-1.1902343951086,-1.56581917175507,-1.27364731006337,-0.0688083913987289,0.125071816561404,-0.66406099338325,-0.694866384112001,1.22802081167226,1.47900428090016,0.935073497911753,0.447423227969769,0.72822259132169,0.514620419483995
"w10-16:1;0",1.72155652213988,1.5767623079198,0.628064061825464,-0.551781939972757,-0.985530276515386,0.309817745035908,0.502991188971335,-1.0173288030027,-1.11643284917084,-0.961494014903602,-0.713821046513704,-0.25815909323943,0.865356197426028
"w3-18:3;0",-0.65292754115686,-0.65292754115686,2.21615979339176,-0.173513311702363,0.544631635234148,-0.565495198729891,-0.578114929517608,-0.65292754115686,0.0887699592927767,1.97699897761873,-0.244799219803252,-0.65292754115686,-0.65292754115686
"w3-18:4;0",-0.77756796763506,-0.77756796763506,-0.372531341857694,-0.618967821605266,-0.359758905876352,-0.77756796763506,-0.719718412471459,1.91619484240555,1.29499965799598,1.65364477128833,-0.518056421274203,-0.547517117455046,0.604414651755347
"w3-20:4;0",-0.77756796763506,-0.77756796763506,-0.372531341857694,-0.618967821605266,-0.359758905876352,-0.77756796763506,-0.719718412471459,1.91619484240555,1.29499965799598,1.65364477128833,-0.518056421274203,-0.547517117455046,0.604414651755347
"w3-20:5;0",-0.77756796763506,-0.77756796763506,-0.372531341857694,-0.618967821605266,-0.359758905876352,-0.77756796763506,-0.719718412471459,1.91619484240555,1.29499965799598,1.65364477128833,-0.518056421274203,-0.547517117455046,0.604414651755347
"w3-22:5;0",-0.380324900001385,-1.14034322621006,0.713055138746229,-0.706495836497375,1.381316834241,-1.16169707365149,-0.691039164383432,1.11698040549416,1.31467482853906,0.43102316837343,0.814032624110897,-1.37369178734629,-0.317491011414748
"w3-22:6;0",-0.832008139153294,-0.832008139153294,-0.655516309915514,-0.832008139153294,-0.792802035437444,-0.815716364643719,-0.832008139153294,1.32263486584236,1.67376854744287,1.25136077868213,-0.276819755810722,0.811827893393367,0.809294937059845
"w3-24:6;0",-0.633888568334192,-0.633888568334192,-0.335042118362357,-0.633888568334192,-0.633888568334192,-0.633888568334192,-0.633888568334192,1.3703039008392,1.5295618624406,0.442215584159493,-0.633888568334192,-0.633888568334192,2.06406931759659
"w6-18:2;0",-0.504022910310437,-0.190977129224672,-0.265017210206362,2.44619490339988,1.38260517035917,0.248105930504486,0.278082937345198,-0.615279924304688,-0.899551561596162,-0.341882128202128,0.348010894498454,-1.39042555334353,-0.495843418919209
