"FA_length","sample","value","group"
"19","Ctrl5",0.334912430441593,"Ctrl"
"20","Ctrl5",11.9637661226251,"Ctrl"
"22","Ctrl5",3.15094414025446,"Ctrl"
"24","Ctrl5",0.0816242364015882,"Ctrl"
"12","Ctrl6",0.0471931460060392,"Ctrl"
"14","Ctrl6",2.38663407018387,"Ctrl"
"15","Ctrl6",0.915832290777425,"Ctrl"
"16","Ctrl6",29.1832796310024,"Ctrl"
"17","Ctrl6",3.03881578790569,"Ctrl"
"18","Ctrl6",52.5063504055521,"Ctrl"
"19","Ctrl6",0.390989204408101,"Ctrl"
"20","Ctrl6",10.1579983402566,"Ctrl"
"22","Ctrl6",1.30659749156806,"Ctrl"
"24","Ctrl6",0.0663096323396575,"Ctrl"
"12","Ctrl7",0,"Ctrl"
"14","Ctrl7",3.99870774900835,"Ctrl"
"15","Ctrl7",1.26557376632884,"Ctrl"
"16","Ctrl7",29.680450105818,"Ctrl"
"17","Ctrl7",4.80789855247541,"Ctrl"
"18","Ctrl7",48.7104249350603,"Ctrl"
"19","Ctrl7",0.24999312799869,"Ctrl"
"20","Ctrl7",9.66520242398513,"Ctrl"
"22","Ctrl7",1.57804223643315,"Ctrl"
"24","Ctrl7",0.0437071028921856,"Ctrl"
"12","DHA1",0,"DHA"
"14","DHA1",3.6966410529432,"DHA"
"15","DHA1",1.0548264652258,"DHA"
"16","DHA1",30.8598379476311,"DHA"
"17","DHA1",2.9030887563274,"DHA"
"18","DHA1",39.9747003712698,"DHA"
"19","DHA1",0.0765471334166872,"DHA"
"20","DHA1",9.782405204882,"DHA"
"22","DHA1",11.4129770064461,"DHA"
"24","DHA1",0.238976061857923,"DHA"
"12","DHA2",0.0351012682794929,"DHA"
"14","DHA2",4.26412626953244,"DHA"
"15","DHA2",0.678739118543555,"DHA"
"16","DHA2",32.2700830616278,"DHA"
"17","DHA2",1.80454596362014,"DHA"
"18","DHA2",40.7307587311226,"DHA"
"19","DHA2",0.137508963869809,"DHA"
"20","DHA2",7.24961038151463,"DHA"
"22","DHA2",12.4835593001298,"DHA"
"24","DHA2",0.345966941759715,"DHA"
"12","DHA3",0,"DHA"
"14","DHA3",2.26272017051741,"DHA"
"15","DHA3",0.898856327491142,"DHA"
"16","DHA3",32.9486123901467,"DHA"
"17","DHA3",2.49858533417879,"DHA"
"18","DHA3",43.4064252925323,"DHA"
"19","DHA3",0.125544102853317,"DHA"
"20","DHA3",7.46684678934221,"DHA"
"22","DHA3",10.1840206322888,"DHA"
"24","DHA3",0.208388960649314,"DHA"
"12","DHA4",0,"DHA"
"14","DHA4",1.18348080249314,"DHA"
"15","DHA4",0.735358858192306,"DHA"
"16","DHA4",29.6680120019971,"DHA"
"17","DHA4",2.09955306793432,"DHA"
"18","DHA4",49.8033749147563,"DHA"
"19","DHA4",0.0714721257959493,"DHA"
"20","DHA4",11.2551445205583,"DHA"
"22","DHA4",5.08786580236089,"DHA"
"24","DHA4",0.0957379059116521,"DHA"
"12","DHA5",0.0740907140959668,"DHA"
"14","DHA5",3.47366045243257,"DHA"
"15","DHA5",0.789161184354644,"DHA"
"16","DHA5",31.4667810074922,"DHA"
"17","DHA5",2.5168680462031,"DHA"
"18","DHA5",48.7275941754082,"DHA"
"19","DHA5",0.0613986581526084,"DHA"
"20","DHA5",5.06841514396557,"DHA"
"22","DHA5",7.82203061789519,"DHA"
"24","DHA5",0,"DHA"
"12","DHA6",0,"DHA"
"14","DHA6",5.38121252710205,"DHA"
"15","DHA6",1.34841209295567,"DHA"
"16","DHA6",32.6490072369039,"DHA"
"17","DHA6",2.76707279442796,"DHA"
"18","DHA6",44.3192251696586,"DHA"
"19","DHA6",0.0902275888619788,"DHA"
"20","DHA6",5.47012115856967,"DHA"
"22","DHA6",7.61217815649608,"DHA"
"24","DHA6",0.362543275024076,"DHA"
