"feature","sample_coverage","Data"
"12:0;0",4,"Fatty acid"
"14:0;0",13,"Fatty acid"
"16:0;0",13,"Fatty acid"
"16:1;0",13,"Fatty acid"
"18:0;0",13,"Fatty acid"
"18:1;0",13,"Fatty acid"
"18:2;0",13,"Fatty acid"
"18:3;0",8,"Fatty acid"
"20:0;0",8,"Fatty acid"
"20:1;0",13,"Fatty acid"
"20:2;0",13,"Fatty acid"
"20:3;0",13,"Fatty acid"
"20:4;0",13,"Fatty acid"
"20:5;0",10,"Fatty acid"
"22:0;0",9,"Fatty acid"
"22:1;0",8,"Fatty acid"
"22:4;0",13,"Fatty acid"
"22:5;0",13,"Fatty acid"
"22:6;0",9,"Fatty acid"
"24:0;0",8,"Fatty acid"
"24:1;0",7,"Fatty acid"
"24:4;0",4,"Fatty acid"
"24:6;0",5,"Fatty acid"
"16:0;0",13,"Substructure"
"18:0;0",13,"Substructure"
"20:0;0",9,"Substructure"
"22:0;0",9,"Substructure"
"24:0;0",8,"Substructure"
"endo: 12:0;0",13,"Substructure"
"endo: 14:0;0",13,"Substructure"
"endo: 2:0;0--10:0;0",13,"Substructure"
"exo: 12:0;0",13,"Substructure"
"exo: 14:0;0",13,"Substructure"
"w10-16:1;0",13,"Substructure"
"w3-18:3;0",8,"Substructure"
"w3-18:4;0",10,"Substructure"
"w3-20:4;0",10,"Substructure"
"w3-20:5;0",10,"Substructure"
"w3-22:5;0",13,"Substructure"
"w3-22:6;0",9,"Substructure"
"w3-24:6;0",5,"Substructure"
"w6-18:2;0",13,"Substructure"
"w6-18:3;0",13,"Substructure"
"w6-20:3;0",13,"Substructure"
"w6-20:4;0",13,"Substructure"
"w6-22:4;0",13,"Substructure"
"w6-22:5;0",13,"Substructure"
"w6-24:4;0",13,"Substructure"
"w6-24:5;0",13,"Substructure"
"w7-16:1;0",13,"Substructure"
"w7-18:1;0",13,"Substructure"
"w9-18:1;0",13,"Substructure"
"w9-18:2;0",13,"Substructure"
"w9-20:1;0",13,"Substructure"
"w9-20:2;0",13,"Substructure"
"w9-20:3;0",13,"Substructure"
"w9-22:1;0",9,"Substructure"
"w9-24:1;0",7,"Substructure"
