"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"endo: 2:0--10:0 --> 16:0","endo: 2:0;0--10:0;0","16:0;0",7.17613850843151,3.24867709675561,"Active","yes","endo: 2:0;0--10:0;0 --> endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0"
"w3-18:4 --> w3-20:4 --> w3-24:6","w3-18:4;0","w3-24:6;0",6.45863363429328,3.01371081847978,"Active","yes","w3-18:4;0 --> w3-20:4;0 --> w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0"
"endo: 2:0--10:0 --> 24:0","endo: 2:0;0--10:0;0","24:0;0",5.47628674038399,2.74302355086436,"Active","yes","endo: 2:0;0--10:0;0 --> endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0 --> 22:0;0 --> 24:0;0"
"exo: 12:0 --> 18:0","exo: 12:0;0","18:0;0",5.6684784213709,2.60729576722738,"Active","yes","exo: 12:0;0 --> exo: 14:0;0 --> 16:0;0 --> 18:0;0"
"w3-24:6 --> w3-22:6","w3-24:6;0","w3-22:6;0",4.70024154766472,2.10765536146155,"Active","yes","w3-24:6;0 --> w3-22:6;0"
"w9-18:1 --> w9-20:1 --> w9-20:3","w9-18:1;0","w9-20:3;0",-6.57965217688499,-2.60324363403816,"Suppressed","yes","w9-18:1;0 --> w9-20:1;0 --> w9-20:2;0 --> w9-20:3;0"
"w9-18:1 --> w9-18:2 --> w9-20:3","w9-18:1;0","w9-20:3;0",-6.57132448778583,-2.59970090955261,"Suppressed","yes","w9-18:1;0 --> w9-18:2;0 --> w9-20:2;0 --> w9-20:3;0"
"w9-18:1 --> w9-22:1","w9-18:1;0","w9-22:1;0",-5.36184514617345,-2.0765309480202,"Suppressed","yes","w9-18:1;0 --> w9-20:1;0 --> w9-22:1;0"
