"lipid","Lipid species","Substructure"
"DAG_16:0;0_16:0;0",,1.73095135155561
"DAG_16:1;0_18:0;0",0.0672981990080574,1.79442836644509
"DAG_16:1;0_18:1;0",,1.40205217132406
"DAG_17:1;0_17:1;0",,1.68505011100544
"DAG_18:0;0_22:6;0",,2.10062117906768
"DAG_18:1;0_19:1;0",,2.10062117906768
"DAG_18:1;0_20:1;0",,1.79442836644509
"DAG_18:1;0_20:2;0",,1.90157357866544
"DAG_18:1;0_22:6;0",,1.41155826856066
"LPA_18:0;0",,1.41155826856066
"LPA_18:1;0",,1.90157357866544
"LPA_19:1;0",,2.10062117906768
"LPA_20:1;0",,1.94839165838958
"LPA_20:2;0",,1.512352704919
"LPA_22:6;0",,2.00469476903044
"PA_16:1;0_18:0;0",0.503679303977895,1.90157357866544
"PA_16:1;0_18:1;0",,1.40205217132406
"PA_17:1;0_17:1;0",,1.68505011100544
"PA_18:0;0_22:6;0",,2.10062117906768
"PA_18:1;0_18:1;0",0.399734667751696,1.44895803679555
"PA_18:1;0_19:1;0",,2.10062117906768
"PA_18:1;0_20:1;0",,1.79442836644509
"PA_18:1;0_20:2;0",,1.90157357866544
"PA_18:1;0_20:3;0",,1.32917917349784
"PA_18:1;0_22:6;0",,1.41155826856066
"PC_16:0;0_16:0;0",1.62888417849487,1.73095135155561
"PC_16:0;0_22:6;0",1.47178656536917,1.54183880532228
"PC_16:1;0_17:0;0",0.566925549750386,1.44895803679555
"PC_16:1;0_18:0;0",0.0598184765886737,1.43857896746959
"PC_16:1;0_18:1;0",1.0458055082355,1.32917917349784
"PC_17:1;0_17:1;0",1.56818996916707,1.68505011100544
"PC_18:0;0_22:6;0",0.799195639049532,2.03065281968788
"PC_18:1;0_18:1;0",1.0193178333674,1.48876620129751
"PC_18:1;0_19:1;0",3.48477093105544,2.10062117906768
"PC_18:1;0_20:1;0",1.31810376032012,1.69178384502098
"PC_18:1;0_20:2;0",1.77874333276681,1.90157357866544
"PE_16:0;0_16:0;0",0.0507311953189357,1.73095135155561
"PE_16:0;0_16:1;0",1.47178656536917,0.642021329208622
"PE_16:1;0_18:0;0",1.62888417849487,2.0138324911731
"PE_16:1;0_18:1;0",1.41373782643901,1.41155826856066
"PE_16:1;0_20:3;0",1.74959830694841,1.83348267790662
"PE_17:1;0_17:1;0",0.399734667751696,1.79442836644509
"PE_18:0;0_22:6;0",2.18538274159825,2.10062117906768
"PE_18:1;0_18:1;0",0.966784544646483,1.44895803679555
"PE_18:1;0_19:1;0",0.568011107856628,1.94839165838958
"PE_18:1;0_20:1;0",1.39782705011624,1.79442836644509
"PE_18:1;0_20:2;0",1.40825132323357,1.87184144499234
"PE_18:1;0_20:3;0",1.40825132323357,1.44895803679555
"PE_18:1;0_22:6;0",1.21920570881915,1.43857896746959
"PG_18:1;0_18:1;0",1.56818996916707,1.34379613411574
"PG_22:6;0_22:6;0",3.48477093105544,3.16182826532331
"PI_16:0;0_16:0;0",,1.73095135155561
"PI_16:1;0_18:0;0",0.568011107856628,1.87184144499234
"PI_16:1;0_18:1;0",0.566925549750386,1.34761987715192
"PI_18:0;0_20:5;0",0.630792745286498,1.32499966568699
"PI_18:0;0_22:6;0",1.32000210518372,2.10062117906768
"PI_18:1;0_19:1;0",0.42442444440976,2.10062117906768
"PI_18:1;0_20:1;0",1.04594939396504,1.79442836644509
"PI_18:1;0_20:2;0",1.15643872997221,1.79442836644509
"PI_18:1;0_22:6;0",0.966784544646483,1.43361341811755
"PS_16:0;0_16:1;0",0.799195639049532,1.34761987715192
"PS_16:1;0_18:1;0",0.881050906940993,2.10062117906768
"PS_17:1;0_18:0;0",1.4435876701739,1.43857896746959
"PS_18:0;0_22:6;0",0.952634633258683,2.10062117906768
"PS_18:1;0_18:1;0",0.482532999225137,1.64346841286315
"PS_18:1;0_20:1;0",0.58676153010859,1.84441047427082
"PS_18:1;0_20:2;0",1.03430531376493,1.79442836644509
"PS_18:1;0_20:3;0",,1.44707207537724
"PS_18:1;0_22:6;0",,1.34761987715192
