"sample","Fatty acid","Substructure"
"Ctrl1",57.1428571428571,71.4285714285714
"Ctrl2",54.2857142857143,68.5714285714286
"Ctrl3",91.4285714285714,100
"Ctrl4",74.2857142857143,91.4285714285714
"Ctrl5",82.8571428571429,97.1428571428571
"Ctrl6",80,85.7142857142857
"Ctrl7",77.1428571428572,94.2857142857143
"DHA1",65.7142857142857,88.5714285714286
"DHA2",88.5714285714286,100
"DHA3",85.7142857142857,100
"DHA4",80,97.1428571428571
"DHA5",65.7142857142857,80
"DHA6",65.7142857142857,85.7142857142857
