"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"w3-20:5 --> w3-22:6 --> w3-24:6","w3-20:5;0","w3-24:6;0",5.20642358569492,3.46633485782282,"Active","yes","w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0"
"w3-24:6 --> w3-22:6","w3-24:6;0","w3-22:6;0",4.70024154766472,2.95066960028578,"Active","yes","w3-24:6;0 --> w3-22:6;0"
"endo: 14:0 --> 18:0","endo: 14:0;0","18:0;0",3.44388079149565,2.46269611554044,"Active","yes","endo: 14:0;0 --> 16:0;0 --> 18:0;0"
"exo: 14:0 --> 18:0","exo: 14:0;0","18:0;0",3.44388079149565,2.46269611554044,"Active","yes","exo: 14:0;0 --> 16:0;0 --> 18:0;0"
"endo: 12:0 --> 24:0","endo: 12:0;0","24:0;0",2.40234103241742,2.25556354698626,"Active","yes","endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0 --> 22:0;0 --> 24:0;0"
"w9-18:1 --> w9-20:1 --> w9-20:2","w9-18:1;0","w9-20:2;0",-5.72562442566279,-2.52042787868467,"Suppressed","yes","w9-18:1;0 --> w9-20:1;0 --> w9-20:2;0"
"w9-18:1 --> w9-22:1","w9-18:1;0","w9-22:1;0",-5.19624282611867,-2.23273796649037,"Suppressed","yes","w9-18:1;0 --> w9-20:1;0 --> w9-22:1;0"
"w9-20:1 --> w9-20:3","w9-20:1;0","w9-20:3;0",-4.9378599150224,-2.09232100248971,"Suppressed","yes","w9-20:1;0 --> w9-20:2;0 --> w9-20:3;0"
