"edge_name","FC_ctrl","FC_exp","FC_exp_ctrl","statistics","p_value","mlog10p","adj_p_value","mlog10padj","perturbation_score","Mode","edge_type","node1_log2FC","node2_log2FC","FA_change","genes","Edge_direction","node1","node2"
"LPA_18:0 --> PA_18:0_22:6",0.0454866964385527,0.664070399324857,14.5992224390694,5.9965633015075,0.0000897030022439319,4.0471930214358,0.0327116948182872,1.48529695415805,15.6538126044855,"Increase","Non-change",0.566136955212186,4.49149837144908," (22:6)","Abhd5, Agpat1, Agpat2, Agpat3, Agpat4, Agpat5, Gpat2, Gpat3, Lclat1, Mboat1, Mboat2","","LPA_18:0","PA_18:0_22:6"
"G3P --> LPA_22:6",0.0037690850376386,0.0869793435747305,23.0770446159062,4.85510329568404,0.000506614115748512,3.29532271366454,0.0713518994454337,1.1465944611241,14.922495122224,"Increase","Increase",-0.101231094909856,5.26990439613525," (22:6)","Gpam, Gpat2, Gpat3, Gpat4","Same as
reaction","G3P","LPA_22:6"
"LPE_18:0 --> PE_18:0_22:6",1.44826002030273,29.3746191557442,20.2826969908373,4.04090046418886,0.00194549122856633,2.71097072291412,0.128318805188881,0.891709692874528,11.7715163342469,"Increase","Non-change",0.151785133419141,4.94482684125688," (22:6)","Lpcat3, Lpcat4, Mboat1, Mboat2","","LPE_18:0","PE_18:0_22:6"
"LPA_18:1 --> PA_18:1_22:6",0.0113303646729014,0.302076853198961,26.6608235409609,3.26159891175293,0.00757742656085091,2.12047826404932,0.159417397260979,0.797464285686709,10.0439621823858,"Increase","Increase",-0.540964676683492,4.1762072740188," (22:6)","Abhd5, Agpat1, Agpat2, Agpat3, Agpat4, Agpat5, Gpat2, Gpat3, Lclat1, Mboat1, Mboat2","Same as
reaction","LPA_18:1","PA_18:1_22:6"
"LPI_18:0 --> PI_18:0_22:6",1.27739135609871,21.7947733106539,17.0619389324956,3.58642336080879,0.0042703056159848,2.3695410424021,0.139801374202664,0.854488559593909,9.69784360852055,"Increase","Non-change",0.0633039483860445,4.51727880132984," (22:6)","Agpat3, Agpat4, Lclat1, Mboat7","","LPI_18:0","PI_18:0_22:6"
"PA_18:0_22:6 --> LPA_18:0",40.9367672289981,1.88106228426831,0.0459504355521223,-3.33631148205589,0.00663660018833727,2.17805434496592,0.159417397260979,0.797464285686709,-9.67878922576247,"Decrease","Non-change",4.49149837144908,0.566136955212186," (22:6)","Pla2g10, Pla2g12a, Pla2g12b, Pla2g1b, Pla2g2a, Pla2g2c, Pla2g2d, Pla2g2f, Pla2g3, Pla2g4a, Pla2g4b, Pla2g4c, Pla2g4d, Pla2g4e, Pla2g4f, Pla2g5, Pla2g6, Plaat3, Plb1","","PA_18:0_22:6","LPA_18:0"
"LPA_18:1 --> PA_18:1_19:1",0.0589493919574529,0.00850311839771248,0.144244378361861,-5.56579115471963,0.000168720171023737,3.77283299304437,0.0420472667314262,1.37626223011672,-10.5390807337289,"Decrease","Non-change",-0.540964676683492,-3.37902409991948," (19:1)","Abhd5, Agpat1, Agpat2, Agpat3, Agpat4, Agpat5, Gpat2, Gpat3, Lclat1, Mboat1, Mboat2","","LPA_18:1","PA_18:1_19:1"
"PI_18:0_22:6 --> LPI_18:0",2.21507577610018,0.0832764306125815,0.0375952965181157,-3.51765021155869,0.00481832433908575,2.31710396939906,0.142466130458373,0.846288371468644,-10.9675575091069,"Decrease","Non-change",4.51727880132984,0.0633039483860445," (22:6)","Pla2g10, Pla2g12a, Pla2g12b, Pla2g1b, Pla2g2a, Pla2g2c, Pla2g2d, Pla2g2f, Pla2g3, Pla2g4a, Pla2g4b, Pla2g4c, Pla2g4d, Pla2g4e, Pla2g4f, Pla2g5, Pla2g6, Plaat3, Plb1","","PI_18:0_22:6","LPI_18:0"
"G3P --> LPA_19:1",0.00678346134326565,0.000791585174761037,0.116693401009337,-6.17212900855714,0.0000698534735966931,4.15581199289457,0.0327116948182872,1.48529695415805,-12.8797137881761,"Decrease","Non-change",-0.101231094909856,-3.66165165393548," (19:1)","Gpam, Gpat2, Gpat3, Gpat4","","G3P","LPA_19:1"
"PE_18:0_22:6 --> LPE_18:0",2.5528789832397,0.0756733221637508,0.0296423460181878,-4.01372674647498,0.00203782790196403,2.6908324956894,0.128318805188881,0.891709692874528,-13.6591946493937,"Decrease","Non-change",4.94482684125688,0.151785133419141," (22:6)","Pla2g10, Pla2g12a, Pla2g12b, Pla2g1b, Pla2g2a, Pla2g2c, Pla2g2d, Pla2g2f, Pla2g3, Pla2g4a, Pla2g4b, Pla2g4c, Pla2g4d, Pla2g4e, Pla2g4f, Pla2g5, Pla2g6, Plaat3, Plb1, Pnpla8","","PE_18:0_22:6","LPE_18:0"
