"feature","structural_category","functional_category","class","totallength","totaldb","totaloh","FA_sum","FA_split","FA_num"
"CL_68:2;0","GPL","MEM","CL",68,2,0,"68:2;0","",4
"CL_68:4;0","GPL","MEM","CL",68,4,0,"68:4;0","",4
"CL_68:5;0","GPL","MEM","CL",68,5,0,"68:5;0","",4
"CL_70:0;0","GPL","MEM","CL",70,0,0,"70:0;0","",4
"CL_70:4;0","GPL","MEM","CL",70,4,0,"70:4;0","",4
"CL_70:5;0","GPL","MEM","CL",70,5,0,"70:5;0","",4
"CL_70:6;0","GPL","MEM","CL",70,6,0,"70:6;0","",4
"CL_72:4;0","GPL","MEM","CL",72,4,0,"72:4;0","",4
"CL_72:5;0","GPL","MEM","CL",72,5,0,"72:5;0","",4
"CL_72:6;0","GPL","MEM","CL",72,6,0,"72:6;0","",4
"CL_72:7;0","GPL","MEM","CL",72,7,0,"72:7;0","",4
"DAG_14:0;0_18:1;0","GL","MEM","DAG",32,1,0,"32:1;0","14:0;0_18:1;0",2
"DAG_15:0;0_15:0;0","GL","MEM","DAG",30,0,0,"30:0;0","15:0;0_15:0;0",2
"DAG_16:0;0_16:1;0","GL","MEM","DAG",32,1,0,"32:1;0","16:0;0_16:1;0",2
"DAG_16:0;0_18:1;0","GL","MEM","DAG",34,1,0,"34:1;0","16:0;0_18:1;0",2
"DAG_16:0;0_20:1;0","GL","MEM","DAG",36,1,0,"36:1;0","16:0;0_20:1;0",2
"DAG_16:0;0_20:2;0","GL","MEM","DAG",36,2,0,"36:2;0","16:0;0_20:2;0",2
"DAG_16:1;0_18:0;0","GL","MEM","DAG",34,1,0,"34:1;0","16:1;0_18:0;0",2
"DAG_18:0;0_18:1;0","GL","MEM","DAG",36,1,0,"36:1;0","18:0;0_18:1;0",2
"DAG_18:0;0_18:2;0","GL","MEM","DAG",36,2,0,"36:2;0","18:0;0_18:2;0",2
"DAG_18:1;0_18:1;0","GL","MEM","DAG",36,2,0,"36:2;0","18:1;0_18:1;0",2
"LPC O-_16:0;0","GPL","LYS","LPC O-",16,0,0,"16:0;0","16:0;0",1
"LPC O-_18:0;0","GPL","LYS","LPC O-",18,0,0,"18:0;0","18:0;0",1
"LPC O-_18:1;0","GPL","LYS","LPC O-",18,1,0,"18:1;0","18:1;0",1
"LPC_14:0;0","GPL","LYS","LPC",14,0,0,"14:0;0","14:0;0",1
"LPC_16:0;0","GPL","LYS","LPC",16,0,0,"16:0;0","16:0;0",1
"LPC_16:1;0","GPL","LYS","LPC",16,1,0,"16:1;0","16:1;0",1
"LPC_18:0;0","GPL","LYS","LPC",18,0,0,"18:0;0","18:0;0",1
"LPC_18:1;0","GPL","LYS","LPC",18,1,0,"18:1;0","18:1;0",1
"LPE O-_16:0;0","GPL","LYS","LPE O-",16,0,0,"16:0;0","16:0;0",1
"LPE O-_16:1;0","GPL","LYS","LPE O-",16,1,0,"16:1;0","16:1;0",1
"LPE O-_18:0;0","GPL","LYS","LPE O-",18,0,0,"18:0;0","18:0;0",1
"LPE O-_18:1;0","GPL","LYS","LPE O-",18,1,0,"18:1;0","18:1;0",1
"LPE O-_18:2;0","GPL","LYS","LPE O-",18,2,0,"18:2;0","18:2;0",1
"LPE_16:0;0","GPL","LYS","LPE",16,0,0,"16:0;0","16:0;0",1
"LPE_18:0;0","GPL","LYS","LPE",18,0,0,"18:0;0","18:0;0",1
"LPE_18:1;0","GPL","LYS","LPE",18,1,0,"18:1;0","18:1;0",1
"LPE_20:3;0","GPL","LYS","LPE",20,3,0,"20:3;0","20:3;0",1
"LPE_20:4;0","GPL","LYS","LPE",20,4,0,"20:4;0","20:4;0",1
"LPE_22:6;0","GPL","LYS","LPE",22,6,0,"22:6;0","22:6;0",1
"LPI_18:0;0","GPL","LYS","LPI",18,0,0,"18:0;0","18:0;0",1
"LPI_18:1;0","GPL","LYS","LPI",18,1,0,"18:1;0","18:1;0",1
"LPI_20:4;0","GPL","LYS","LPI",20,4,0,"20:4;0","20:4;0",1
"LPS_18:0;0","GPL","LYS","LPS",18,0,0,"18:0;0","18:0;0",1
"LPS_18:1;0","GPL","LYS","LPS",18,1,0,"18:1;0","18:1;0",1
"LPS_22:6;0","GPL","LYS","LPS",22,6,0,"22:6;0","22:6;0",1
"PA_16:0;0_16:0;0","GPL","MEM","PA",32,0,0,"32:0;0","16:0;0_16:0;0",2
"PA_16:0;0_18:1;0","GPL","MEM","PA",34,1,0,"34:1;0","16:0;0_18:1;0",2
"PA_16:1;0_18:0;0","GPL","MEM","PA",34,1,0,"34:1;0","16:1;0_18:0;0",2
"PA_18:0;0_18:1;0","GPL","MEM","PA",36,1,0,"36:1;0","18:0;0_18:1;0",2
"PA_18:0;0_18:2;0","GPL","MEM","PA",36,2,0,"36:2;0","18:0;0_18:2;0",2
"PA_18:1;0_18:1;0","GPL","MEM","PA",36,2,0,"36:2;0","18:1;0_18:1;0",2
"PC O-_16:0;0_14:0;0","GPL","MEM","PC O-",30,0,0,"30:0;0","16:0;0_14:0;0",2
"PC O-_16:0;0_15:0;0","GPL","MEM","PC O-",31,0,0,"31:0;0","16:0;0_15:0;0",2
"PC O-_16:0;0_16:0;0","GPL","MEM","PC O-",32,0,0,"32:0;0","16:0;0_16:0;0",2
"PC O-_16:0;0_16:1;0","GPL","MEM","PC O-",32,1,0,"32:1;0","16:0;0_16:1;0",2
"PC O-_16:0;0_17:1;0","GPL","MEM","PC O-",33,1,0,"33:1;0","16:0;0_17:1;0",2
