"feature","structural_category","functional_category","class","totallength","totaldb","totaloh","FA_sum","FA_split","FA_num"
"PC O-_16:0;0_18:0;0","GPL","MEM","PC O-",34,0,0,"34:0;0","16:0;0_18:0;0",2
"PC O-_16:0;0_18:1;0","GPL","MEM","PC O-",34,1,0,"34:1;0","16:0;0_18:1;0",2
"PC O-_16:0;0_18:2;0","GPL","MEM","PC O-",34,2,0,"34:2;0","16:0;0_18:2;0",2
"PC O-_16:0;0_20:1;0","GPL","MEM","PC O-",36,1,0,"36:1;0","16:0;0_20:1;0",2
"PC O-_16:0;0_20:2;0","GPL","MEM","PC O-",36,2,0,"36:2;0","16:0;0_20:2;0",2
"PC O-_16:0;0_20:3;0","GPL","MEM","PC O-",36,3,0,"36:3;0","16:0;0_20:3;0",2
"PC O-_16:0;0_20:4;0","GPL","MEM","PC O-",36,4,0,"36:4;0","16:0;0_20:4;0",2
"PC O-_16:0;0_22:4;0","GPL","MEM","PC O-",38,4,0,"38:4;0","16:0;0_22:4;0",2
"PC O-_16:0;0_22:5;0","GPL","MEM","PC O-",38,5,0,"38:5;0","16:0;0_22:5;0",2
"PC O-_16:0;0_22:6;0","GPL","MEM","PC O-",38,6,0,"38:6;0","16:0;0_22:6;0",2
"PC O-_16:1;0_16:0;0","GPL","MEM","PC O-",32,1,0,"32:1;0","16:1;0_16:0;0",2
"PC O-_16:1;0_16:1;0","GPL","MEM","PC O-",32,2,0,"32:2;0","16:1;0_16:1;0",2
"PC O-_16:1;0_17:0;0","GPL","MEM","PC O-",33,1,0,"33:1;0","16:1;0_17:0;0",2
"PC O-_16:1;0_18:0;0","GPL","MEM","PC O-",34,1,0,"34:1;0","16:1;0_18:0;0",2
"PC O-_16:1;0_18:1;0","GPL","MEM","PC O-",34,2,0,"34:2;0","16:1;0_18:1;0",2
"PC O-_16:1;0_18:2;0","GPL","MEM","PC O-",34,3,0,"34:3;0","16:1;0_18:2;0",2
"PC O-_16:1;0_20:2;0","GPL","MEM","PC O-",36,3,0,"36:3;0","16:1;0_20:2;0",2
"PC O-_16:1;0_20:3;0","GPL","MEM","PC O-",36,4,0,"36:4;0","16:1;0_20:3;0",2
"PC O-_16:1;0_20:4;0","GPL","MEM","PC O-",36,5,0,"36:5;0","16:1;0_20:4;0",2
"PC O-_16:1;0_22:4;0","GPL","MEM","PC O-",38,5,0,"38:5;0","16:1;0_22:4;0",2
"PC O-_16:1;0_22:5;0","GPL","MEM","PC O-",38,6,0,"38:6;0","16:1;0_22:5;0",2
"PC O-_16:2;0_16:0;0","GPL","MEM","PC O-",32,2,0,"32:2;0","16:2;0_16:0;0",2
"PC O-_16:2;0_18:0;0","GPL","MEM","PC O-",34,2,0,"34:2;0","16:2;0_18:0;0",2
"PC O-_16:2;0_18:1;0","GPL","MEM","PC O-",34,3,0,"34:3;0","16:2;0_18:1;0",2
"PC O-_17:0;0_14:0;0","GPL","MEM","PC O-",31,0,0,"31:0;0","17:0;0_14:0;0",2
"PC O-_17:0;0_15:0;0","GPL","MEM","PC O-",32,0,0,"32:0;0","17:0;0_15:0;0",2
"PC O-_17:0;0_15:1;0","GPL","MEM","PC O-",32,1,0,"32:1;0","17:0;0_15:1;0",2
"PC O-_17:0;0_16:1;0","GPL","MEM","PC O-",33,1,0,"33:1;0","17:0;0_16:1;0",2
"PC O-_17:0;0_17:0;0","GPL","MEM","PC O-",34,0,0,"34:0;0","17:0;0_17:0;0",2
"PC O-_17:0;0_17:1;0","GPL","MEM","PC O-",34,1,0,"34:1;0","17:0;0_17:1;0",2
"PC O-_17:0;0_18:1;0","GPL","MEM","PC O-",35,1,0,"35:1;0","17:0;0_18:1;0",2
"PC O-_17:0;0_18:2;0","GPL","MEM","PC O-",35,2,0,"35:2;0","17:0;0_18:2;0",2
"PC O-_17:0;0_19:1;0","GPL","MEM","PC O-",36,1,0,"36:1;0","17:0;0_19:1;0",2
"PC O-_17:0;0_19:2;0","GPL","MEM","PC O-",36,2,0,"36:2;0","17:0;0_19:2;0",2
"PC O-_17:0;0_20:4;0","GPL","MEM","PC O-",37,4,0,"37:4;0","17:0;0_20:4;0",2
"PC O-_17:1;0_15:0;0","GPL","MEM","PC O-",32,1,0,"32:1;0","17:1;0_15:0;0",2
"PC O-_17:1;0_16:0;0","GPL","MEM","PC O-",33,1,0,"33:1;0","17:1;0_16:0;0",2
"PC O-_17:1;0_16:1;0","GPL","MEM","PC O-",33,2,0,"33:2;0","17:1;0_16:1;0",2
"PC O-_17:1;0_17:0;0","GPL","MEM","PC O-",34,1,0,"34:1;0","17:1;0_17:0;0",2
"PC O-_17:1;0_17:1;0","GPL","MEM","PC O-",34,2,0,"34:2;0","17:1;0_17:1;0",2
"PC O-_17:1;0_18:0;0","GPL","MEM","PC O-",35,1,0,"35:1;0","17:1;0_18:0;0",2
"PC O-_17:1;0_18:1;0","GPL","MEM","PC O-",35,2,0,"35:2;0","17:1;0_18:1;0",2
"PC O-_17:1;0_19:1;0","GPL","MEM","PC O-",36,2,0,"36:2;0","17:1;0_19:1;0",2
"PC O-_17:1;0_20:3;0","GPL","MEM","PC O-",37,4,0,"37:4;0","17:1;0_20:3;0",2
"PC O-_17:2;0_16:0;0","GPL","MEM","PC O-",33,2,0,"33:2;0","17:2;0_16:0;0",2
"PC O-_17:2;0_18:0;0","GPL","MEM","PC O-",35,2,0,"35:2;0","17:2;0_18:0;0",2
"PC O-_18:0;0_14:0;0","GPL","MEM","PC O-",32,0,0,"32:0;0","18:0;0_14:0;0",2
"PC O-_18:0;0_16:0;0","GPL","MEM","PC O-",34,0,0,"34:0;0","18:0;0_16:0;0",2
"PC O-_18:0;0_16:1;0","GPL","MEM","PC O-",34,1,0,"34:1;0","18:0;0_16:1;0",2
"PC O-_18:0;0_17:1;0","GPL","MEM","PC O-",35,1,0,"35:1;0","18:0;0_17:1;0",2
"PC O-_18:0;0_18:1;0","GPL","MEM","PC O-",36,1,0,"36:1;0","18:0;0_18:1;0",2
"PC O-_18:0;0_18:2;0","GPL","MEM","PC O-",36,2,0,"36:2;0","18:0;0_18:2;0",2
"PC O-_18:0;0_20:1;0","GPL","MEM","PC O-",38,1,0,"38:1;0","18:0;0_20:1;0",2
"PC O-_18:0;0_20:2;0","GPL","MEM","PC O-",38,2,0,"38:2;0","18:0;0_20:2;0",2
"PC O-_18:0;0_20:3;0","GPL","MEM","PC O-",38,3,0,"38:3;0","18:0;0_20:3;0",2
"PC O-_18:0;0_20:4;0","GPL","MEM","PC O-",38,4,0,"38:4;0","18:0;0_20:4;0",2
"PC O-_18:1;0_14:0;0","GPL","MEM","PC O-",32,1,0,"32:1;0","18:1;0_14:0;0",2
"PC O-_18:1;0_15:0;0","GPL","MEM","PC O-",33,1,0,"33:1;0","18:1;0_15:0;0",2
"PC O-_18:1;0_16:0;0","GPL","MEM","PC O-",34,1,0,"34:1;0","18:1;0_16:0;0",2
"PC O-_18:1;0_16:1;0","GPL","MEM","PC O-",34,2,0,"34:2;0","18:1;0_16:1;0",2
"PC O-_18:1;0_17:0;0","GPL","MEM","PC O-",35,1,0,"35:1;0","18:1;0_17:0;0",2
"PC O-_18:1;0_17:1;0","GPL","MEM","PC O-",35,2,0,"35:2;0","18:1;0_17:1;0",2
"PC O-_18:1;0_18:0;0","GPL","MEM","PC O-",36,1,0,"36:1;0","18:1;0_18:0;0",2
"PC O-_18:1;0_18:1;0","GPL","MEM","PC O-",36,2,0,"36:2;0","18:1;0_18:1;0",2
"PC O-_18:1;0_18:2;0","GPL","MEM","PC O-",36,3,0,"36:3;0","18:1;0_18:2;0",2
"PC O-_18:1;0_20:1;0","GPL","MEM","PC O-",38,2,0,"38:2;0","18:1;0_20:1;0",2
"PC O-_18:1;0_20:2;0","GPL","MEM","PC O-",38,3,0,"38:3;0","18:1;0_20:2;0",2
"PC O-_18:1;0_20:3;0","GPL","MEM","PC O-",38,4,0,"38:4;0","18:1;0_20:3;0",2
"PC O-_18:1;0_20:4;0","GPL","MEM","PC O-",38,5,0,"38:5;0","18:1;0_20:4;0",2
"PC O-_18:1;0_22:5;0","GPL","MEM","PC O-",40,6,0,"40:6;0","18:1;0_22:5;0",2
"PC O-_18:2;0_14:0;0","GPL","MEM","PC O-",32,2,0,"32:2;0","18:2;0_14:0;0",2
"PC O-_18:2;0_16:0;0","GPL","MEM","PC O-",34,2,0,"34:2;0","18:2;0_16:0;0",2
"PC O-_18:2;0_16:1;0","GPL","MEM","PC O-",34,3,0,"34:3;0","18:2;0_16:1;0",2
"PC O-_18:2;0_18:0;0","GPL","MEM","PC O-",36,2,0,"36:2;0","18:2;0_18:0;0",2
"PC O-_18:2;0_18:1;0","GPL","MEM","PC O-",36,3,0,"36:3;0","18:2;0_18:1;0",2
"PC O-_18:2;0_18:2;0","GPL","MEM","PC O-",36,4,0,"36:4;0","18:2;0_18:2;0",2
"PC O-_18:2;0_20:3;0","GPL","MEM","PC O-",38,5,0,"38:5;0","18:2;0_20:3;0",2
"PC O-_18:2;0_20:4;0","GPL","MEM","PC O-",38,6,0,"38:6;0","18:2;0_20:4;0",2
"PC_12:0;0_16:0;0","GPL","MEM","PC",28,0,0,"28:0;0","12:0;0_16:0;0",2
"PC_14:0;0_14:0;0","GPL","MEM","PC",28,0,0,"28:0;0","14:0;0_14:0;0",2
"PC_14:0;0_16:0;0","GPL","MEM","PC",30,0,0,"30:0;0","14:0;0_16:0;0",2
"PC_14:0;0_17:0;0","GPL","MEM","PC",31,0,0,"31:0;0","14:0;0_17:0;0",2
"PC_14:0;0_17:1;0","GPL","MEM","PC",31,1,0,"31:1;0","14:0;0_17:1;0",2
"PC_14:0;0_18:0;0","GPL","MEM","PC",32,0,0,"32:0;0","14:0;0_18:0;0",2
"PC_14:0;0_18:1;0","GPL","MEM","PC",32,1,0,"32:1;0","14:0;0_18:1;0",2
"PC_14:0;0_18:2;0","GPL","MEM","PC",32,2,0,"32:2;0","14:0;0_18:2;0",2
"PC_14:0;0_20:1;0","GPL","MEM","PC",34,1,0,"34:1;0","14:0;0_20:1;0",2
"PC_14:0;0_20:2;0","GPL","MEM","PC",34,2,0,"34:2;0","14:0;0_20:2;0",2
"PC_14:0;0_20:4;0","GPL","MEM","PC",34,4,0,"34:4;0","14:0;0_20:4;0",2
"PC_15:0;0_15:0;0","GPL","MEM","PC",30,0,0,"30:0;0","15:0;0_15:0;0",2
"PC_15:0;0_16:0;0","GPL","MEM","PC",31,0,0,"31:0;0","15:0;0_16:0;0",2
"PC_15:0;0_16:1;0","GPL","MEM","PC",31,1,0,"31:1;0","15:0;0_16:1;0",2
"PC_15:0;0_17:0;0","GPL","MEM","PC",32,0,0,"32:0;0","15:0;0_17:0;0",2
"PC_15:0;0_17:1;0","GPL","MEM","PC",32,1,0,"32:1;0","15:0;0_17:1;0",2
"PC_15:0;0_18:0;0","GPL","MEM","PC",33,0,0,"33:0;0","15:0;0_18:0;0",2
"PC_15:0;0_18:1;0","GPL","MEM","PC",33,1,0,"33:1;0","15:0;0_18:1;0",2
"PC_15:0;0_18:2;0","GPL","MEM","PC",33,2,0,"33:2;0","15:0;0_18:2;0",2
"PC_15:1;0_16:0;0","GPL","MEM","PC",31,1,0,"31:1;0","15:1;0_16:0;0",2
"PC_16:0;0_16:0;0","GPL","MEM","PC",32,0,0,"32:0;0","16:0;0_16:0;0",2
"PC_16:0;0_16:1;0","GPL","MEM","PC",32,1,0,"32:1;0","16:0;0_16:1;0",2
"PC_16:0;0_16:2;0","GPL","MEM","PC",32,2,0,"32:2;0","16:0;0_16:2;0",2
"PC_16:0;0_17:1;0","GPL","MEM","PC",33,1,0,"33:1;0","16:0;0_17:1;0",2
"PC_16:0;0_18:0;0","GPL","MEM","PC",34,0,0,"34:0;0","16:0;0_18:0;0",2
"PC_16:0;0_18:1;0","GPL","MEM","PC",34,1,0,"34:1;0","16:0;0_18:1;0",2
"PC_16:0;0_18:2;0","GPL","MEM","PC",34,2,0,"34:2;0","16:0;0_18:2;0",2
"PC_16:0;0_18:3;0","GPL","MEM","PC",34,3,0,"34:3;0","16:0;0_18:3;0",2
"PC_16:0;0_19:1;0","GPL","MEM","PC",35,1,0,"35:1;0","16:0;0_19:1;0",2
"PC_16:0;0_19:2;0","GPL","MEM","PC",35,2,0,"35:2;0","16:0;0_19:2;0",2
"PC_16:0;0_20:1;0","GPL","MEM","PC",36,1,0,"36:1;0","16:0;0_20:1;0",2
"PC_16:0;0_20:2;0","GPL","MEM","PC",36,2,0,"36:2;0","16:0;0_20:2;0",2
"PC_16:0;0_20:3;0","GPL","MEM","PC",36,3,0,"36:3;0","16:0;0_20:3;0",2
"PC_16:0;0_20:4;0","GPL","MEM","PC",36,4,0,"36:4;0","16:0;0_20:4;0",2
"PC_16:0;0_20:5;0","GPL","MEM","PC",36,5,0,"36:5;0","16:0;0_20:5;0",2
"PC_16:0;0_22:4;0","GPL","MEM","PC",38,4,0,"38:4;0","16:0;0_22:4;0",2
"PC_16:0;0_22:5;0","GPL","MEM","PC",38,5,0,"38:5;0","16:0;0_22:5;0",2
"PC_16:0;0_22:6;0","GPL","MEM","PC",38,6,0,"38:6;0","16:0;0_22:6;0",2
"PC_16:1;0_16:1;0","GPL","MEM","PC",32,2,0,"32:2;0","16:1;0_16:1;0",2
"PC_16:1;0_17:0;0","GPL","MEM","PC",33,1,0,"33:1;0","16:1;0_17:0;0",2
"PC_16:1;0_17:1;0","GPL","MEM","PC",33,2,0,"33:2;0","16:1;0_17:1;0",2
"PC_16:1;0_18:0;0","GPL","MEM","PC",34,1,0,"34:1;0","16:1;0_18:0;0",2
"PC_16:1;0_18:1;0","GPL","MEM","PC",34,2,0,"34:2;0","16:1;0_18:1;0",2
"PC_16:1;0_18:2;0","GPL","MEM","PC",34,3,0,"34:3;0","16:1;0_18:2;0",2
"PC_16:1;0_19:1;0","GPL","MEM","PC",35,2,0,"35:2;0","16:1;0_19:1;0",2
"PC_16:1;0_20:1;0","GPL","MEM","PC",36,2,0,"36:2;0","16:1;0_20:1;0",2
"PC_16:1;0_20:2;0","GPL","MEM","PC",36,3,0,"36:3;0","16:1;0_20:2;0",2
"PC_16:1;0_20:3;0","GPL","MEM","PC",36,4,0,"36:4;0","16:1;0_20:3;0",2
"PC_16:1;0_20:4;0","GPL","MEM","PC",36,5,0,"36:5;0","16:1;0_20:4;0",2
"PC_17:0;0_17:1;0","GPL","MEM","PC",34,1,0,"34:1;0","17:0;0_17:1;0",2
"PC_17:0;0_18:1;0","GPL","MEM","PC",35,1,0,"35:1;0","17:0;0_18:1;0",2
"PC_17:0;0_18:2;0","GPL","MEM","PC",35,2,0,"35:2;0","17:0;0_18:2;0",2
"PC_17:0;0_20:3;0","GPL","MEM","PC",37,3,0,"37:3;0","17:0;0_20:3;0",2
"PC_17:0;0_20:4;0","GPL","MEM","PC",37,4,0,"37:4;0","17:0;0_20:4;0",2
"PC_17:1;0_17:1;0","GPL","MEM","PC",34,2,0,"34:2;0","17:1;0_17:1;0",2
"PC_17:1;0_18:0;0","GPL","MEM","PC",35,1,0,"35:1;0","17:1;0_18:0;0",2
"PC_17:1;0_18:1;0","GPL","MEM","PC",35,2,0,"35:2;0","17:1;0_18:1;0",2
"PC_17:1;0_18:2;0","GPL","MEM","PC",35,3,0,"35:3;0","17:1;0_18:2;0",2
"PC_18:0;0_18:1;0","GPL","MEM","PC",36,1,0,"36:1;0","18:0;0_18:1;0",2
"PC_18:0;0_18:2;0","GPL","MEM","PC",36,2,0,"36:2;0","18:0;0_18:2;0",2
"PC_18:0;0_18:3;0","GPL","MEM","PC",36,3,0,"36:3;0","18:0;0_18:3;0",2
"PC_18:0;0_20:2;0","GPL","MEM","PC",38,2,0,"38:2;0","18:0;0_20:2;0",2
"PC_18:0;0_20:3;0","GPL","MEM","PC",38,3,0,"38:3;0","18:0;0_20:3;0",2
"PC_18:0;0_20:4;0","GPL","MEM","PC",38,4,0,"38:4;0","18:0;0_20:4;0",2
"PC_18:0;0_22:4;0","GPL","MEM","PC",40,4,0,"40:4;0","18:0;0_22:4;0",2
"PC_18:0;0_22:5;0","GPL","MEM","PC",40,5,0,"40:5;0","18:0;0_22:5;0",2
"PC_18:0;0_22:6;0","GPL","MEM","PC",40,6,0,"40:6;0","18:0;0_22:6;0",2
"PC_18:1;0_18:1;0","GPL","MEM","PC",36,2,0,"36:2;0","18:1;0_18:1;0",2
"PC_18:1;0_18:2;0","GPL","MEM","PC",36,3,0,"36:3;0","18:1;0_18:2;0",2
"PC_18:1;0_18:3;0","GPL","MEM","PC",36,4,0,"36:4;0","18:1;0_18:3;0",2
"PC_18:1;0_19:1;0","GPL","MEM","PC",37,2,0,"37:2;0","18:1;0_19:1;0",2
"PC_18:1;0_19:2;0","GPL","MEM","PC",37,3,0,"37:3;0","18:1;0_19:2;0",2
"PC_18:1;0_20:1;0","GPL","MEM","PC",38,2,0,"38:2;0","18:1;0_20:1;0",2
"PC_18:1;0_20:2;0","GPL","MEM","PC",38,3,0,"38:3;0","18:1;0_20:2;0",2
"PC_18:1;0_20:3;0","GPL","MEM","PC",38,4,0,"38:4;0","18:1;0_20:3;0",2
"PC_18:1;0_20:4;0","GPL","MEM","PC",38,5,0,"38:5;0","18:1;0_20:4;0",2
"PC_18:1;0_22:5;0","GPL","MEM","PC",40,6,0,"40:6;0","18:1;0_22:5;0",2
"PC_18:1;0_22:6;0","GPL","MEM","PC",40,7,0,"40:7;0","18:1;0_22:6;0",2
"PC_18:2;0_18:2;0","GPL","MEM","PC",36,4,0,"36:4;0","18:2;0_18:2;0",2
"PC_18:2;0_20:1;0","GPL","MEM","PC",38,3,0,"38:3;0","18:2;0_20:1;0",2
"PC_18:2;0_20:3;0","GPL","MEM","PC",38,5,0,"38:5;0","18:2;0_20:3;0",2
"PE O-_16:0;0_16:1;0","GPL","MEM","PE O-",32,1,0,"32:1;0","16:0;0_16:1;0",2
"PE O-_16:0;0_18:1;0","GPL","MEM","PE O-",34,1,0,"34:1;0","16:0;0_18:1;0",2
"PE O-_16:0;0_18:2;0","GPL","MEM","PE O-",34,2,0,"34:2;0","16:0;0_18:2;0",2
"PE O-_16:0;0_20:1;0","GPL","MEM","PE O-",36,1,0,"36:1;0","16:0;0_20:1;0",2
"PE O-_16:0;0_20:2;0","GPL","MEM","PE O-",36,2,0,"36:2;0","16:0;0_20:2;0",2
"PE O-_16:0;0_20:3;0","GPL","MEM","PE O-",36,3,0,"36:3;0","16:0;0_20:3;0",2
"PE O-_16:0;0_20:4;0","GPL","MEM","PE O-",36,4,0,"36:4;0","16:0;0_20:4;0",2
"PE O-_16:0;0_22:4;0","GPL","MEM","PE O-",38,4,0,"38:4;0","16:0;0_22:4;0",2
"PE O-_16:0;0_22:5;0","GPL","MEM","PE O-",38,5,0,"38:5;0","16:0;0_22:5;0",2
"PE O-_16:1;0_16:0;0","GPL","MEM","PE O-",32,1,0,"32:1;0","16:1;0_16:0;0",2
"PE O-_16:1;0_16:1;0","GPL","MEM","PE O-",32,2,0,"32:2;0","16:1;0_16:1;0",2
"PE O-_16:1;0_17:1;0","GPL","MEM","PE O-",33,2,0,"33:2;0","16:1;0_17:1;0",2
"PE O-_16:1;0_18:1;0","GPL","MEM","PE O-",34,2,0,"34:2;0","16:1;0_18:1;0",2
"PE O-_16:1;0_18:2;0","GPL","MEM","PE O-",34,3,0,"34:3;0","16:1;0_18:2;0",2
"PE O-_16:1;0_19:1;0","GPL","MEM","PE O-",35,2,0,"35:2;0","16:1;0_19:1;0",2
"PE O-_16:1;0_20:1;0","GPL","MEM","PE O-",36,2,0,"36:2;0","16:1;0_20:1;0",2
"PE O-_16:1;0_20:2;0","GPL","MEM","PE O-",36,3,0,"36:3;0","16:1;0_20:2;0",2
"PE O-_16:1;0_20:3;0","GPL","MEM","PE O-",36,4,0,"36:4;0","16:1;0_20:3;0",2
"PE O-_16:1;0_20:4;0","GPL","MEM","PE O-",36,5,0,"36:5;0","16:1;0_20:4;0",2
"PE O-_16:1;0_20:5;0","GPL","MEM","PE O-",36,6,0,"36:6;0","16:1;0_20:5;0",2
"PE O-_16:1;0_22:2;0","GPL","MEM","PE O-",38,3,0,"38:3;0","16:1;0_22:2;0",2
"PE O-_16:1;0_22:3;0","GPL","MEM","PE O-",38,4,0,"38:4;0","16:1;0_22:3;0",2
"PE O-_16:1;0_22:4;0","GPL","MEM","PE O-",38,5,0,"38:5;0","16:1;0_22:4;0",2
"PE O-_16:1;0_22:5;0","GPL","MEM","PE O-",38,6,0,"38:6;0","16:1;0_22:5;0",2
"PE O-_16:1;0_22:6;0","GPL","MEM","PE O-",38,7,0,"38:7;0","16:1;0_22:6;0",2
"PE O-_16:1;0_24:4;0","GPL","MEM","PE O-",40,5,0,"40:5;0","16:1;0_24:4;0",2
"PE O-_16:2;0_16:0;0","GPL","MEM","PE O-",32,2,0,"32:2;0","16:2;0_16:0;0",2
"PE O-_16:2;0_18:0;0","GPL","MEM","PE O-",34,2,0,"34:2;0","16:2;0_18:0;0",2
"PE O-_16:2;0_18:1;0","GPL","MEM","PE O-",34,3,0,"34:3;0","16:2;0_18:1;0",2
"PE O-_17:0;0_17:1;0","GPL","MEM","PE O-",34,1,0,"34:1;0","17:0;0_17:1;0",2
"PE O-_17:0;0_18:2;0","GPL","MEM","PE O-",35,2,0,"35:2;0","17:0;0_18:2;0",2
"PE O-_17:0;0_20:2;0","GPL","MEM","PE O-",37,2,0,"37:2;0","17:0;0_20:2;0",2
"PE O-_17:0;0_20:3;0","GPL","MEM","PE O-",37,3,0,"37:3;0","17:0;0_20:3;0",2
"PE O-_17:0;0_20:4;0","GPL","MEM","PE O-",37,4,0,"37:4;0","17:0;0_20:4;0",2
"PE O-_17:1;0_16:1;0","GPL","MEM","PE O-",33,2,0,"33:2;0","17:1;0_16:1;0",2
"PE O-_17:1;0_17:1;0","GPL","MEM","PE O-",34,2,0,"34:2;0","17:1;0_17:1;0",2
"PE O-_17:1;0_18:1;0","GPL","MEM","PE O-",35,2,0,"35:2;0","17:1;0_18:1;0",2
"PE O-_17:1;0_18:2;0","GPL","MEM","PE O-",35,3,0,"35:3;0","17:1;0_18:2;0",2
"PE O-_17:1;0_20:1;0","GPL","MEM","PE O-",37,2,0,"37:2;0","17:1;0_20:1;0",2
