feature,Ctrl1,Ctrl2,Ctrl3,Ctrl4,Ctrl5,Ctrl6,Ctrl7,DHA1,DHA2,DHA3,DHA4,DHA5,DHA6
DAG_14:0;0_16:0;0,,,,3.145469904,4.126279831,,,,,,,3.177050114,
DAG_14:0;0_16:1;0,,,5.55216,,,,,,6.25168,,,,
DAG_14:0;0_17:0;0,,,,,,,,,,,,,
DAG_14:0;0_17:1;0,,,,,,,,,,,,,
DAG_14:0;0_18:0;0,,,,,,,,,0.346463,0.360149,,,
DAG_14:0;0_18:1;0,,,,0.550900996,1.782520056,0.559113026,,,0.532386,,,1.349720001,
DAG_14:0;0_18:2;0,,,,,,,,,,,,,
DAG_14:0;0_20:1;0,,,,,,,,,,,,,
DAG_14:0;0_20:2;0,,,,,,,,,,,,,
DAG_14:0;0_20:3;0,,,,,,,,,,,,,
DAG_14:0;0_22:4;0,,,,,,,,,,,,,
DAG_14:1;0_16:0;0,,,,,,,,,,,,,
DAG_14:1;0_17:0;0,,,,,,,,,,,,,
DAG_14:1;0_18:0;0,,,,,,,,,,,,,
DAG_14:1;0_18:1;0,,,,,,,,,,,,,
DAG_15:0;0_15:0;0,,,,0.116440997,0.107478,,,,,,0.035571601,0.094065197,
DAG_15:0;0_16:0;0,,,,,,,,,,,,,
DAG_15:0;0_16:1;0,,,,,,,,,,,,,
DAG_15:0;0_17:0;0,,,,,,,,,,,,,
DAG_15:0;0_17:1;0,,,,,,,,,,,,,
DAG_15:0;0_18:0;0,,,,,,,,,,,,,
DAG_15:0;0_18:1;0,,,1.89539,,,,,,4.87786,,,,
DAG_15:1;0_17:0;0,,,,,,,,,,,,,
DAG_15:2;0_17:1;0,,,,,,,,,,,,,
DAG_16:0;0_16:0;0,,,,23.05360031,,,,,,,,,
DAG_16:0;0_16:1;0,,,,1.458189964,3.631920099,1.020320058,,,0.834263,,,1.760689974,
DAG_16:0;0_16:2;0,,,,,,,,,,,,,
DAG_16:0;0_17:0;0,,,,,,,,,,,,,
DAG_16:0;0_17:1;0,,,1.97614,,,,,,10.887,,,,
DAG_16:0;0_18:0;0,,,3.48002,,,,,,3.10728,4.27838,,,
DAG_16:0;0_18:1;0,5.03871,,7.45253,7.126860142,16.54120064,4.611619949,2.496949911,5.03352,5.28809,5.45496,5.957039833,10.63770008,
DAG_16:0;0_18:2;0,,,,0.879400015,1.223209977,,,,,,,2.283590078,
