"feature","AL_young_1","AL_young_2","AL_young_3","AL_young_4","ALDR_young_1","ALDR_young_2","ALDR_young_3","ALDR_young_4"
"PI_38:4;0",1567.943656,1552.279154,1647.775667,1953.735076,3390.789027,4887.976397,4504.908438,2805.973636
"PI_38:5;0",519.203583,469.3953316,442.5829525,407.1416025,634.3237928,696.7965675,401.2871425,378.9907308
"PI_38:6;0",17.93389947,14.60176484,13.04443814,12.36559509,23.70160121,24.39452471,16.3748374,14.69779264
"PI_40:3;0",0.299733317,0.714075368,0.368861912,0.590907427,1.089186974,0.924917962,0.481908495,0.632159468
"PI_40:4;0",9.663263912,5.737875813,8.259712593,9.388556537,16.46533805,22.48261079,31.96261111,14.31609125
"PI_40:5;0",13.78542696,9.547379584,12.74793296,12.92044552,18.84313077,26.29447051,27.4659393,14.62812635
"PI_40:6;0",11.16316019,8.076381021,10.04897056,9.294986275,14.13713874,18.14284211,16.89191284,10.49611777
"PI_40:7;0",2.715230874,2.324464948,2.394111539,1.905614797,3.064173276,2.950571249,2.650613532,1.935759862
"PI_40:8;0",0.567929149,0.323815687,0.377850487,0.443964878,0.715450177,0.840840866,0.334391366,0.481940583
"PI_40:9;0",0.024804636,0.049991588,NA,0.023789309,NA,NA,NA,0.101936586
"PI_42:5;0",0.045703631,0.032320413,0.171417795,0.087513758,0.055378114,0.089240998,0.077276265,0.061055913
"PI_42:6;0",0.027286171,0.172045617,0.123055368,0.111561209,0.246898092,0.048082343,0.19521983,NA
"Cer_18:1;2_12:0;0",0.651689483,0.947004859,0.771627198,1.131712034,0.68294577,0.895234375,0.186531338,0.463105159
"Cer_18:1;2_14:0;0",0.448696985,0.486724768,0.461577571,0.35293095,0.232352449,0.207703771,0.162290707,0.162234724
"dhCer_18:0;2_14:0;0",0.023490421,0.029119903,0.011474741,0.009734452,0.009605362,0.012460488,0.010545312,0.00540091
"Cer_18:1;2_14:1;0",0.069218317,0.108455631,0.076697282,0.078756114,0.059898396,0.041785105,0.025333845,0.051361166
"Cer_18:1;2_16:0;0",18.37339406,22.13538038,20.57389717,20.4359722,19.38087418,17.90617488,17.32117498,13.2262477
"dhCer_18:0;2_16:0;0",0.572610376,0.617964835,0.292052271,0.352555451,0.583541411,0.622971155,0.701015817,0.427925348
"Cer_18:1;2_16:1;0",2.068555079,3.636246201,2.815744817,3.382378618,3.99720279,3.736693703,3.118932697,3.203862773
"Cer_18:1;2_18:0;0",1.097395779,1.575553612,1.226389055,1.486185976,2.286725577,2.13076009,2.980191575,2.115386919
"dhCer_18:0;2_18:0;0",0.156241082,0.137274485,0.069986056,0.036111613,0.14200489,0.241358761,0.348273415,0.129366561
"Cer_18:1;2_18:1;0",0.503424117,0.955351119,0.608816513,0.854348697,1.275694509,1.16622787,1.295554486,1.231899061
"Cer_18:1;2_20:0;0",0.014678655,0.036260575,0.033080332,0.017807036,0.05608363,0.022252845,0.059585522,0.032467718
"dhCer_18:0;2_20:0;0",0.043414512,0.021473151,0.022637276,0.009707239,0.045453795,0.08473126,0.103575839,0.040303992
"Cer_18:1;2_20:1;0",0.001926636,NA,NA,NA,NA,NA,NA,NA
"Cer_18:1;2_22:0;0",2.610088687,1.882016207,1.909349734,1.978880589,2.199148345,1.762954258,1.66363665,1.277362666
"dhCer_18:0;2_22:0;0",0.105964954,0.064472002,0.050158792,0.074063096,0.120944235,0.117374369,0.15703044,0.106262314
"Cer_18:1;2_22:1;0",1.381190782,1.414493924,0.999591105,1.177773086,1.614372256,1.245599306,0.987884963,1.088702657
"Cer_18:1;2_24:0;0",3.142266827,2.238700184,2.137874128,2.024903396,2.746662656,2.187373612,1.763362935,1.66473307
"Cer_18:1;2_24:1;0",6.627377218,6.269392633,5.313115146,4.808018388,7.704467631,5.646454935,4.478463734,4.26934467
"Cer_18:1;2_24:2;0",2.263389925,2.847534914,1.988890577,1.877629283,3.07995851,2.351760821,1.701812752,1.741059768
"Cer_18:1;2_26:0;0",0.0040127,0.005731252,0.0043377,0.003740277,0.012608092,0.115162004,0.011173311,0.000359422
"Cer_18:1;2_26:1;0",0.032926119,0.029255376,0.021901946,0.013114728,0.038724214,0.031603904,0.023092678,0.010521229
"SPBP_18:1;2",5.942334164,3.420259338,2.413526956,2.466810783,2.873604455,3.359933631,2.504544035,1.945711591
"SM_18:1;2_14:0;0",12.34125089,10.75819673,10.10069739,13.42387742,12.82724457,15.94987203,15.73010645,12.97449133
"SM_18:1;2_14:1;0",0.688867611,0.608655639,0.578453546,0.541940381,1.180569954,0.997787156,0.994857152,1.099215257
"dhSM_18:0;2_16:0;0",43.99121562,47.43194032,48.26148264,53.21120592,92.38000551,109.250018,88.5941015,74.63251669
"SM_18:1;2_16:0;0",1029.876002,1071.099814,1057.537742,1168.592523,1387.597832,1570.114465,1616.220333,1192.028845
"SM_18:1;2_16:1;0",72.20296474,79.78647797,71.28192251,85.84471717,125.2271381,134.832574,170.625266,179.5642991
"dhSM_18:0;2_18:0;0",5.36413308,6.378289156,5.642000617,6.676816167,21.29049159,25.73555311,21.02766829,14.53188034
"SM_18:1;2_18:0;0",164.5255304,208.9808946,181.0033927,194.851106,340.8699733,407.2147604,485.7274268,251.5198891
"SM_18:1;2_18:1;0",58.97809751,64.46865036,54.75175521,64.78791424,105.5003815,122.8178443,173.6793617,149.6414238
"SM_18:1;2_18:2;0",6.610982185,7.672603189,6.282399203,7.780299677,9.170531886,12.9871477,12.29695494,14.64842293
"dhSM_18:0;2_20:0;0",NA,2.099091892,2.973888321,3.09794076,7.56057603,11.03506593,9.69856305,5.919340593
"SM_18:1;2_20:0;0",64.71355684,72.39342168,72.58213775,79.67126976,146.5140438,177.4269261,168.1492986,98.92091479
"SM_18:1;2_20:1;0",27.66592065,26.91911465,28.82169643,29.67653817,53.68793996,57.3193034,70.8972018,73.93338994
"dhSM_18:0;2_22:0;0",7.222731413,5.656176426,8.328191137,10.52869196,23.31977331,35.51086013,18.92118913,11.67838853
"SM_18:1;2_22:0;0",259.1719248,264.2527154,271.9973356,316.302369,395.9679144,477.4322542,329.1043084,267.779889
"SM_18:1;2_22:1;0",131.0839127,112.5315801,124.2182964,153.8426954,194.6116675,218.9497742,199.7780313,254.602405
"dhSM_18:0;2_24:0;0",2.936574582,2.888311458,3.076013194,3.41116496,9.150441845,14.5062099,6.077093213,4.709904909
"SM_18:1;2_24:0;0",169.1893236,155.1408118,165.5118769,184.2711019,249.0997448,327.3984984,230.0754112,193.9958808
"SM_18:1;2_24:1;0",925.9994294,712.6135645,826.0634651,901.3984099,1004.348604,1160.734261,1213.510032,1108.803178
"SM_18:1;2_24:2;0",214.1999321,188.9824884,197.7418568,220.4201937,308.3023784,355.6209625,383.7062286,371.9755335
"SM_18:1;2_26:1;0",2.951712839,2.031985785,2.540039428,3.063060787,4.213143554,5.713863974,5.894870554,4.261582637
"SM_18:1;2_26:2;0",2.318036647,1.754549948,1.851741748,2.108476504,2.745722289,3.951199123,3.901257054,3.559736043
