"From","To","ensembl_gene_id","external_gene_name","species"
"2:0;0","4:0;0","ENSG00000228357","HSD17B8","human"
"2:0;0","4:0;0","ENSG00000225312","HSD17B8","human"
"2:0;0","4:0;0","ENSG00000232357","HSD17B8","human"
"2:0;0","4:0;0","ENSG00000112474","HSD17B8","human"
"2:0;0","4:0;0","ENSG00000228712","HSD17B8","human"
"2:0;0","4:0;0","ENSG00000100294","MCAT","human"
"2:0;0","4:0;0","ENSG00000151093","OXSM","human"
"2:0;0","4:0;0","ENSG00000204228","HSD17B8","human"
"2:0;0","4:0;0","ENSG00000255154","HTD2","human"
"2:0;0","4:0;0","ENSG00000169710","FASN","human"
"2:0;0","4:0;0","ENSG00000116353","MECR","human"
"2:0;0","4:0;0","ENSG00000145439","CBR4","human"
"4:0;0","6:0;0","ENSG00000228357","HSD17B8","human"
"4:0;0","6:0;0","ENSG00000225312","HSD17B8","human"
"4:0;0","6:0;0","ENSG00000232357","HSD17B8","human"
"4:0;0","6:0;0","ENSG00000112474","HSD17B8","human"
"4:0;0","6:0;0","ENSG00000228712","HSD17B8","human"
"4:0;0","6:0;0","ENSG00000100294","MCAT","human"
"4:0;0","6:0;0","ENSG00000151093","OXSM","human"
"4:0;0","6:0;0","ENSG00000204228","HSD17B8","human"
"4:0;0","6:0;0","ENSG00000255154","HTD2","human"
"4:0;0","6:0;0","ENSG00000169710","FASN","human"
"4:0;0","6:0;0","ENSG00000116353","MECR","human"
"4:0;0","6:0;0","ENSG00000145439","CBR4","human"
"6:0;0","8:0;0","ENSG00000228357","HSD17B8","human"
"6:0;0","8:0;0","ENSG00000225312","HSD17B8","human"
"6:0;0","8:0;0","ENSG00000232357","HSD17B8","human"
"6:0;0","8:0;0","ENSG00000112474","HSD17B8","human"
"6:0;0","8:0;0","ENSG00000228712","HSD17B8","human"
"6:0;0","8:0;0","ENSG00000100294","MCAT","human"
"6:0;0","8:0;0","ENSG00000151093","OXSM","human"
"6:0;0","8:0;0","ENSG00000204228","HSD17B8","human"
"6:0;0","8:0;0","ENSG00000255154","HTD2","human"
"6:0;0","8:0;0","ENSG00000169710","FASN","human"
"6:0;0","8:0;0","ENSG00000116353","MECR","human"
"6:0;0","8:0;0","ENSG00000145439","CBR4","human"
"8:0;0","10:0;0","ENSG00000228357","HSD17B8","human"
"8:0;0","10:0;0","ENSG00000225312","HSD17B8","human"
"8:0;0","10:0;0","ENSG00000232357","HSD17B8","human"
"8:0;0","10:0;0","ENSG00000112474","HSD17B8","human"
"8:0;0","10:0;0","ENSG00000228712","HSD17B8","human"
"8:0;0","10:0;0","ENSG00000100294","MCAT","human"
"8:0;0","10:0;0","ENSG00000151093","OXSM","human"
"8:0;0","10:0;0","ENSG00000204228","HSD17B8","human"
"8:0;0","10:0;0","ENSG00000255154","HTD2","human"
"8:0;0","10:0;0","ENSG00000169710","FASN","human"
"8:0;0","10:0;0","ENSG00000116353","MECR","human"
"8:0;0","10:0;0","ENSG00000145439","CBR4","human"
"10:0;0","12:0;0","ENSG00000228357","HSD17B8","human"
"10:0;0","12:0;0","ENSG00000225312","HSD17B8","human"
"10:0;0","12:0;0","ENSG00000232357","HSD17B8","human"
"10:0;0","12:0;0","ENSG00000112474","HSD17B8","human"
"10:0;0","12:0;0","ENSG00000228712","HSD17B8","human"
"10:0;0","12:0;0","ENSG00000100294","MCAT","human"
"10:0;0","12:0;0","ENSG00000151093","OXSM","human"
"10:0;0","12:0;0","ENSG00000204228","HSD17B8","human"
"10:0;0","12:0;0","ENSG00000255154","HTD2","human"
"10:0;0","12:0;0","ENSG00000169710","FASN","human"
"10:0;0","12:0;0","ENSG00000116353","MECR","human"
"10:0;0","12:0;0","ENSG00000145439","CBR4","human"
"12:0;0","14:0;0","ENSG00000228357","HSD17B8","human"
"12:0;0","14:0;0","ENSG00000225312","HSD17B8","human"
"12:0;0","14:0;0","ENSG00000232357","HSD17B8","human"
"12:0;0","14:0;0","ENSG00000112474","HSD17B8","human"
"12:0;0","14:0;0","ENSG00000228712","HSD17B8","human"
"12:0;0","14:0;0","ENSG00000100294","MCAT","human"
"12:0;0","14:0;0","ENSG00000151093","OXSM","human"
"12:0;0","14:0;0","ENSG00000204228","HSD17B8","human"
"12:0;0","14:0;0","ENSG00000255154","HTD2","human"
"12:0;0","14:0;0","ENSG00000169710","FASN","human"
"12:0;0","14:0;0","ENSG00000116353","MECR","human"
"12:0;0","14:0;0","ENSG00000145439","CBR4","human"
"14:0;0","16:0;0","ENSG00000228357","HSD17B8","human"
"14:0;0","16:0;0","ENSG00000225312","HSD17B8","human"
"14:0;0","16:0;0","ENSG00000232357","HSD17B8","human"
"14:0;0","16:0;0","ENSG00000112474","HSD17B8","human"
"14:0;0","16:0;0","ENSG00000228712","HSD17B8","human"
"14:0;0","16:0;0","ENSG00000100294","MCAT","human"
"14:0;0","16:0;0","ENSG00000151093","OXSM","human"
"14:0;0","16:0;0","ENSG00000204228","HSD17B8","human"
"14:0;0","16:0;0","ENSG00000255154","HTD2","human"
"14:0;0","16:0;0","ENSG00000169710","FASN","human"
"14:0;0","16:0;0","ENSG00000116353","MECR","human"
"14:0;0","16:0;0","ENSG00000145439","CBR4","human"
"16:0;0","18:0;0","ENSG00000074696","HACD3","human"
"16:0;0","18:0;0","ENSG00000206527","HACD2","human"
"16:0;0","18:0;0","ENSG00000165996","HACD1","human"
"16:0;0","18:0;0","ENSG00000099797","TECR","human"
"16:0;0","18:0;0","ENSG00000188921","HACD4","human"
"16:0;0","18:0;0","ENSG00000170522","ELOVL6","human"
"16:0;0","18:0;0","ENSG00000149084","HSD17B12","human"
"18:0;0","20:0;0","ENSG00000164181","ELOVL7","human"
"18:0;0","20:0;0","ENSG00000074696","HACD3","human"
"18:0;0","20:0;0","ENSG00000206527","HACD2","human"
