"lipid","Lipid species","Substructure","log2FC_raw","log2FC_sub","Significance","Improve"
"LPC_16:0",9.8241331184399,9.8241331184399,-0.645441860167823,-0.645441860167823,"Decrease","no"
"PC_18:2_20:2",7.14076717706202,9.30415235914488,-0.872226728598864,-0.823599441993613,"Decrease","yes"
"LPE_18:0",8.66046238952238,8.66046238952238,-0.691287034128402,-0.691287034128402,"Decrease","no"
"PE_18:2_18:2",7.39619222906743,8.15311208527314,-1.70860280636426,-0.713247887567659,"Decrease","yes"
"PC_18:2_18:2",7.30359071000013,7.91781376518642,-0.696461770854599,-0.703387755296102,"Decrease","yes"
"PE_18:1_18:2",8.59070368385789,5.41254921432605,-2.05598066423469,-0.436268276846908,"Decrease","no"
"LPE_18:1",7.83680952478753,7.83680952478753,-1.14999425375167,-1.14999425375167,"Decrease","no"
"LPE_16:0",7.81138811028047,7.81138811028047,-1.06290698150609,-1.06290698150609,"Decrease","no"
