"group","value","Data","feature"
"Control",10.3616,"Substructure","PC_18:2;0_18:2;0"
"Control",19.44677,"Substructure","PC_18:2;0_18:2;0"
"Control",6.05409,"Substructure","PC_18:2;0_18:2;0"
"Control",18.64894,"Substructure","PC_18:2;0_18:2;0"
"Control",24.63939,"Substructure","PC_18:2;0_18:2;0"
"Control",5.98028,"Substructure","PC_18:2;0_18:2;0"
"Control",17.29005,"Substructure","PC_18:2;0_18:2;0"
"Control",26.05005,"Substructure","PC_18:2;0_18:2;0"
"Control",24.24423,"Substructure","PC_18:2;0_18:2;0"
"Control",23.00758,"Substructure","PC_18:2;0_18:2;0"
"Control",27.20189,"Substructure","PC_18:2;0_18:2;0"
"Control",15.27025,"Substructure","PC_18:2;0_18:2;0"
"Control",18.1512,"Substructure","PC_18:2;0_18:2;0"
"Control",23.4917,"Substructure","PC_18:2;0_18:2;0"
"Control",17.1801,"Substructure","PC_18:2;0_18:2;0"
"Control",14.99436,"Substructure","PC_18:2;0_18:2;0"
"Control",16.87622,"Substructure","PC_18:2;0_18:2;0"
"Control",6.77015,"Substructure","PC_18:2;0_18:2;0"
"Control",22.5546,"Substructure","PC_18:2;0_18:2;0"
"Control",12.29943,"Substructure","PC_18:2;0_18:2;0"
"Control",7.96661,"Substructure","PC_18:2;0_18:2;0"
"Control",17.03595,"Substructure","PC_18:2;0_18:2;0"
"Control",17.91304,"Substructure","PC_18:2;0_18:2;0"
"Control",14.5334,"Substructure","PC_18:2;0_18:2;0"
"Control",17.48433,"Substructure","PC_18:2;0_18:2;0"
"Control",24.01053,"Substructure","PC_18:2;0_18:2;0"
"Control",32.88754,"Substructure","PC_18:2;0_18:2;0"
"Control",15.87774,"Substructure","PC_18:2;0_18:2;0"
"Control",22.11273,"Substructure","PC_18:2;0_18:2;0"
"Control",16.83728,"Substructure","PC_18:2;0_18:2;0"
"Control",15.10851,"Substructure","PC_18:2;0_18:2;0"
"Control",10.87158,"Substructure","PC_18:2;0_18:2;0"
"Control",14.14005,"Substructure","PC_18:2;0_18:2;0"
