"group","value","Data","feature"
"CVD",1.74224,"Substructure","PC_18:2;0_20:2;0"
"CVD",3.02112,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.41408,"Substructure","PC_18:2;0_20:2;0"
"CVD",2.3548,"Substructure","PC_18:2;0_20:2;0"
"CVD",1.9468,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.83636,"Substructure","PC_18:2;0_20:2;0"
"CVD",1.21856,"Substructure","PC_18:2;0_20:2;0"
"CVD",4.35916,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.53148,"Substructure","PC_18:2;0_20:2;0"
"CVD",2.77524,"Substructure","PC_18:2;0_20:2;0"
"CVD",2.81312,"Substructure","PC_18:2;0_20:2;0"
"CVD",3.92336,"Substructure","PC_18:2;0_20:2;0"
"CVD",2.64928,"Substructure","PC_18:2;0_20:2;0"
"CVD",1.155,"Substructure","PC_18:2;0_20:2;0"
"CVD",2.85992,"Substructure","PC_18:2;0_20:2;0"
"CVD",1.88864,"Substructure","PC_18:2;0_20:2;0"
"CVD",2.22388,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.7328,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.2902,"Substructure","PC_18:2;0_20:2;0"
"CVD",4.31164,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.6104,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.62232,"Substructure","PC_18:2;0_20:2;0"
"CVD",1.77044,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.19196,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.728,"Substructure","PC_18:2;0_20:2;0"
"CVD",2.0468,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.21208,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.55248,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.40816,"Substructure","PC_18:2;0_20:2;0"
"CVD",3.02668,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.68544,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.21248,"Substructure","PC_18:2;0_20:2;0"
"CVD",3.36504,"Substructure","PC_18:2;0_20:2;0"
"CVD",2.99816,"Substructure","PC_18:2;0_20:2;0"
"CVD",1.10148,"Substructure","PC_18:2;0_20:2;0"
"CVD",1.352,"Substructure","PC_18:2;0_20:2;0"
