"feature","class","structuralcategory","functionalcategory","totallength","totaldb","totaloh","FA_sum","FA_split","FA_num"
"DAG_16:0;0_18:0;0","DAG","GL","MEM",34,0,0,"34:0;0","16:0;0_18:0;0",2
"DAG_16:0;0_18:1;0","DAG","GL","MEM",34,1,0,"34:1;0","16:0;0_18:1;0",2
"DAG_16:0;0_18:2;0","DAG","GL","MEM",34,2,0,"34:2;0","16:0;0_18:2;0",2
"DAG_16:1;0_18:1;0","DAG","GL","MEM",34,2,0,"34:2;0","16:1;0_18:1;0",2
"DAG_18:0;0_18:2;0","DAG","GL","MEM",36,2,0,"36:2;0","18:0;0_18:2;0",2
"DAG_18:1;0_18:1;0","DAG","GL","MEM",36,2,0,"36:2;0","18:1;0_18:1;0",2
"DAG_18:1;0_18:2;0","DAG","GL","MEM",36,3,0,"36:3;0","18:1;0_18:2;0",2
"DAG_18:1;0_18:3;0","DAG","GL","MEM",36,4,0,"36:4;0","18:1;0_18:3;0",2
"DAG_18:2;0_18:2;0","DAG","GL","MEM",36,4,0,"36:4;0","18:2;0_18:2;0",2
"LPC_16:0;0","LPC","GPL","LYS",16,0,0,"16:0;0","16:0;0",1
"LPC_16:1;0","LPC","GPL","LYS",16,1,0,"16:1;0","16:1;0",1
"LPC_18:0;0","LPC","GPL","LYS",18,0,0,"18:0;0","18:0;0",1
"LPC_18:1;0","LPC","GPL","LYS",18,1,0,"18:1;0","18:1;0",1
"LPC_18:2;0","LPC","GPL","LYS",18,2,0,"18:2;0","18:2;0",1
"LPC_20:3;0","LPC","GPL","LYS",20,3,0,"20:3;0","20:3;0",1
"LPC_20:4;0","LPC","GPL","LYS",20,4,0,"20:4;0","20:4;0",1
"LPC_22:6;0","LPC","GPL","LYS",22,6,0,"22:6;0","22:6;0",1
"LPE_16:0;0","LPE","GPL","LYS",16,0,0,"16:0;0","16:0;0",1
"LPE_18:0;0","LPE","GPL","LYS",18,0,0,"18:0;0","18:0;0",1
"LPE_18:1;0","LPE","GPL","LYS",18,1,0,"18:1;0","18:1;0",1
"LPE_18:2;0","LPE","GPL","LYS",18,2,0,"18:2;0","18:2;0",1
"LPE_20:4;0","LPE","GPL","LYS",20,4,0,"20:4;0","20:4;0",1
"LPE_22:6;0","LPE","GPL","LYS",22,6,0,"22:6;0","22:6;0",1
