"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"LPA_22:4 --> PS_40:6 --> LPS_18:0","LPA_22:4;0","LPS_18:0;0",-14.8156112991818,-3.49022661742208,"Suppressed","yes","40:6;0"
"LPA_22:0 --> PC_32:0 --> LPC_20:0","LPA_22:0;0","LPC_20:0;0",-14.0936986640892,-3.33950019681853,"Suppressed","yes","32:0;0"
"LPA_20:0 --> PC_30:0 --> LPC_20:0","LPA_20:0;0","LPC_20:0;0",-13.4100705567976,-3.11368858214299,"Suppressed","yes","30:0;0"
"LPA_20:0 --> PC_28:0 --> LPC_20:0","LPA_20:0;0","LPC_20:0;0",-13.0856600960809,-3.00653141705463,"Suppressed","yes","28:0;0"
"LPA_22:4 --> PS_42:6 --> LPS_20:0","LPA_22:4;0","LPS_20:0;0",-12.9812255783021,-2.88391561507443,"Suppressed","yes","42:6;0"
