"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"PE_40:7 --> PC_40:7 --> PS_40:7 --> LPS_22:6","PE_40:7;0","LPS_22:6;0",-7.60089034087032,-1.94326099602241,"Suppressed","no","40:7;0"
"PE_40:6 --> PC_40:6 --> PS_40:6 --> LPS_18:0","PE_40:6;0","LPS_18:0;0",-7.55686187025918,-1.92536100871607,"Suppressed","no","40:6;0"
"PC_32:0 --> LPC_20:0","PC_32:0;0","LPC_20:0;0",-6.61809695605092,-1.85840843201009,"Suppressed","no","32:0;0"
"PS_42:6 --> LPS_20:0","PS_42:6;0","LPS_20:0;0",-6.57904384536211,-1.84283304911649,"Suppressed","no","42:6;0"
"PC_30:0 --> LPC_20:0","PC_30:0;0","LPC_20:0;0",-6.55811398950275,-1.83448568540672,"Suppressed","no","30:0;0"
