"edge_name","FC_ctrl","FC_exp","FC_exp_ctrl","statistics","p_value","mlog10p","adj_p_value","mlog10padj","perturbation_score","Mode","edge_type","node1_log2FC","node2_log2FC","FA_change","genes","Edge_direction","node1","node2"
"PS_40:6;0 --> LPS_22:6;0",0.0014822832830209,0.00108293428062881,0.730585234977343,-4.27666434909805,0.00269967971059573,2.56868775738618,0.00783871287397975,2.10575524313433,-1.16329574618291,"Decrease","Non-change",-0.633336198906343,-1.09837711087983," (18:0)","JMJD7-PLA2G4B, PLA2G10, PLA2G12A, PLA2G12B, PLA2G1B, PLA2G2A, PLA2G2C, PLA2G2D, PLA2G2E, PLA2G2F, PLA2G3, PLA2G4A, PLA2G4B, PLA2G4C, PLA2G4D, PLA2G4E, PLA2G4F, PLA2G5, PLA2G6, PLAAT2, PLAAT3, PLB1","","PS_40:6;0","LPS_22:6;0"
"LPC_18:0;0 --> PC_28:0;0",0.971330270922706,0.646317877839733,0.665394559592763,-3.36846694607719,0.00980784826318083,2.00842626172585,0.022211088128039,1.6534301647101,-1.18038831469342,"Decrease","Non-change",-0.868862534137525,-1.45161420701908," (10:0)","LPCAT1, LPCAT2, LPCAT3, LPCAT4, MBOAT1, MBOAT2","","LPC_18:0;0","PC_28:0;0"
"LPC_16:0;0 --> PC_32:0;0",50.7596808510168,23.7019147959654,0.466943731689963,-5.1995648499444,8.22838988288949e-04,3.08468513846784,0.00308280229252956,2.5110543267223,-3.38907996821199,"Decrease","Decrease",0.0943562280855576,-0.977696149625746," (16:0)","LPCAT1, LPCAT2, LPCAT3, LPCAT4, MBOAT1, MBOAT2","Same as
reaction","LPC_16:0;0","PC_32:0;0"
"LPC_16:0;0 --> PC_30:0;0",16.7375609210224,6.8841099962493,0.411297083770603,-5.79171252456467,4.09010647979179e-04,3.38826538563959,0.0019332887023667,2.71370328695307,-4.34289984772529,"Decrease","Decrease",0.0943562280855576,-1.1712917056671," (14:0)","LPCAT1, LPCAT2, LPCAT3, LPCAT4, MBOAT1, MBOAT2","Same as
reaction","LPC_16:0;0","PC_30:0;0"
"LPC_16:0;0 --> PC_28:0;0",0.94525364646631,0.319714963906549,0.338231928648734,-6.8778079208363,1.27351453640408e-04,3.89499609346122,7.80758395168164e-04,3.10748333728591,-6.09144375107843,"Decrease","Decrease",0.0943562280855576,-1.45161420701908," (12:0)","LPCAT1, LPCAT2, LPCAT3, LPCAT4, MBOAT1, MBOAT2","Same as
reaction","LPC_16:0;0","PC_28:0;0"
