"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"PS_36:2;0 --> PE_36:2;0 --> PC_36:2;0 --> LPC_18:0;0","PS_36:2;0","LPC_18:0;0",1.9541694689373,1.94139471953327,"Active","no","36:2"
"PC_36:2;0 --> PS_36:2;0 --> PE_36:2;0 --> LPE_18:0;0","PC_36:2;0","LPE_18:0;0",1.92751813532787,1.93055949106136,"Active","no","36:2"
"PC_36:1;0 --> PS_36:1;0","PC_36:1;0","PS_36:1;0",2.74279304696227,1.87495477545827,"Active","no","36:1"
"PS_42:5;0 --> LPS_22:1;0","PS_42:5;0","LPS_22:1;0",2.701089416117,1.85832229694112,"Active","no","42:5"
"PC_36:1;0 --> LPC_16:0;0","PC_36:1;0","LPC_16:0;0",2.59478155612342,1.81592399344311,"Active","no","36:1"
"PS_36:1;0 --> PE_36:1;0 --> LPE_18:1;0","PS_36:1;0","LPE_18:1;0",1.99886928721609,1.81148869350351,"Active","no","36:1"
"PC_36:1;0 --> LPC_18:1;0","PC_36:1;0","LPC_18:1;0",2.42645551798362,1.74879124848803,"Active","no","36:1"
"PC_36:0;0 --> LPC_16:0;0","PC_36:0;0","LPC_16:0;0",2.35447477351092,1.72008347983996,"Active","no","36:0"
"PE_36:1;0 --> PC_36:1;0 --> PS_36:1;0 --> LPS_18:1;0","PE_36:1;0","LPS_18:1;0",1.3257787649705,1.6859194421276,"Active","no","36:1"
"PE_38:2;0 --> LPE_16:0;0","PE_38:2;0","LPE_16:0;0",2.21563890181701,1.66471217027879,"Active","no","38:2"
"PE_34:1;0 --> PC_34:1;0 --> LPC_16:0;0","PE_34:1;0","LPC_16:0;0",1.59817107412644,1.64843903211699,"Active","no","34:1"
"PS_36:1;0 --> PE_36:1;0 --> PC_36:1;0 --> LPC_18:0;0","PS_36:1;0","LPC_18:0;0",1.17664243826539,1.62528734780199,"Active","no","36:1"
"PC_36:1;0 --> PS_36:1;0 --> PE_36:1;0 --> LPE_18:0;0","PC_36:1;0","LPE_18:0;0",1.14999110465596,1.61445211933009,"Active","no","36:1"
"PE_34:1;0 --> PC_34:1;0 --> LPC_18:1;0","PE_34:1;0","LPC_18:1;0",1.46073343950418,1.59251375205614,"Active","no","34:1"
"PS_36:1;0 --> PE_36:1;0 --> LPE_16:0;0","PS_36:1;0","LPE_16:0;0",1.42151203280617,1.57655401759188,"Active","no","36:1"
"PC_36:2;0 --> PS_36:2;0 --> LPS_18:1;0","PC_36:2;0","LPS_18:1;0",1.3989664248669,1.56737989696902,"Active","no","36:2"
"PS_36:1;0 --> PE_36:1;0 --> PC_36:1;0 --> LPC_20:0;0","PS_36:1;0","LPC_20:0;0",0.958487262046938,1.53659530667205,"Active","no","36:1"
"PS_36:2;0 --> PE_36:2;0 --> LPE_18:1;0","PS_36:2;0","LPE_18:1;0",1.31278208534254,1.53231029366853,"Active","no","36:2"
"PE_36:2;0 --> LPE_18:1;0","PE_36:2;0","LPE_18:1;0",1.88238794415982,1.53180313378228,"Active","no","36:2"
"PE_36:1;0 --> LPE_18:1;0","PE_36:1;0","LPE_18:1;0",1.86341852209411,1.52423764131565,"Active","no","36:1"
"PE_36:1;0 --> PS_36:1;0","PE_36:1;0","PS_36:1;0",1.82686359185092,1.50965859676624,"Active","no","36:1"
"PS_36:1;0 --> PE_36:1;0","PS_36:1;0","PE_36:1;0",1.82686359185092,1.50965859676624,"Active","no","36:1"
"PC_34:1;0 --> LPC_16:0;0","PC_34:1;0","LPC_16:0;0",1.80478465331781,1.50085294931084,"Active","no","34:1"
"PC_36:2;0 --> LPC_18:0;0","PC_36:2;0","LPC_18:0;0",1.77703115611768,1.4897841421926,"Active","no","36:2"
"PE_34:0;0 --> PC_34:0;0 --> LPC_16:0;0","PE_34:0;0","LPC_16:0;0",1.08232068851686,1.4385323543427,"Active","no","34:0"
"PC_34:1;0 --> LPC_18:1;0","PC_34:1;0","LPC_18:1;0",1.63645861517802,1.43372020435576,"Active","no","34:1"
"PE_36:1;0 --> PC_36:1;0 --> PS_36:1;0 --> LPS_18:0;0","PE_36:1;0","LPS_18:0;0",0.60705220061292,1.39371768413059,"Active","no","36:1"
"PE_34:1;0 --> PC_34:1;0","PE_34:1;0","PC_34:1;0",1.52067693147563,1.38754349676875,"Active","no","34:1"
"PE_36:1;0 --> PC_36:1;0 --> LPC_18:0;0","PE_36:1;0","LPC_18:0;0",0.881275221856065,1.35672416505836,"Active","no","36:1"
"PC_40:4;0 --> LPC_18:2;0","PC_40:4;0","LPC_18:2;0",1.43898800604302,1.35496385634397,"Active","no","40:4"
"PE_42:5;0 --> PS_42:5;0 --> LPS_22:1;0","PE_42:5;0","LPS_22:1;0",0.84305140770161,1.34117036483867,"Active","no","42:5"
"PS_36:2;0 --> PE_36:2;0 --> LPE_16:0;0","PS_36:2;0","LPE_16:0;0",0.73542483093262,1.29737561775691,"Active","no","36:2"
"PE_38:2;0 --> PS_38:2;0 --> LPS_20:1;0","PE_38:2;0","LPS_20:1;0",0.716915999436904,1.28984411746703,"Active","no","38:2"
"PE_38:2;0 --> PS_38:2;0 --> LPS_18:1;0","PE_38:2;0","LPS_18:1;0",0.696994853686547,1.28173792691534,"Active","no","38:2"
"PE_36:1;0 --> PC_36:1;0 --> LPC_20:0;0","PE_36:1;0","LPC_20:0;0",0.629371322426399,1.25422097397285,"Active","no","36:1"
"PE_36:2;0 --> LPE_16:0;0","PE_36:2;0","LPE_16:0;0",1.17527260786054,1.2497873859502,"Active","no","36:2"
"PE_36:1;0 --> LPE_16:0;0","PE_36:1;0","LPE_16:0;0",1.15630318579483,1.24222189348357,"Active","no","36:1"
"PC_34:0;0 --> LPC_16:0;0","PC_34:0;0","LPC_16:0;0",1.11002650659194,1.22376556589084,"Active","no","34:0"
"PC_36:1;0 --> PS_36:1;0 --> LPS_18:1;0","PC_36:1;0","LPS_18:1;0",0.516644012204454,1.20835066769178,"Active","no","36:1"
"PS_38:2;0 --> PE_38:2;0 --> LPE_18:0;0","PS_38:2;0","LPE_18:0;0",0.494012747680916,1.19914169221655,"Active","no","38:2"
"PE_36:2;0 --> PS_36:2;0","PE_36:2;0","PS_36:2;0",0.986581810028878,1.17453265206474,"Active","no","36:2"
"PS_36:2;0 --> PE_36:2;0","PS_36:2;0","PE_36:2;0",0.986581810028878,1.17453265206474,"Active","no","36:2"
"PC_40:4;0 --> LPC_20:4;0","PC_40:4;0","LPC_20:4;0",0.977408527299756,1.17087411143335,"Active","no","40:4"
"PE_34:0;0 --> PC_34:0;0","PE_34:0;0","PC_34:0;0",0.888891817294928,1.13557137525131,"Active","no","34:0"
"PE_34:1;0 --> LPE_18:1;0","PE_34:1;0","LPE_18:1;0",0.77380848957408,1.08967318995659,"Active","no","34:1"
"PE_38:3;0 --> LPE_18:1;0","PE_38:3;0","LPE_18:1;0",0.725536992585529,1.07042127782378,"Active","no","38:3"
"PC_34:1;0 --> PS_34:1;0 --> PE_34:1;0 --> LPE_18:1;0","PC_34:1;0","LPE_18:1;0",-0.197371495502692,1.06667534308461,"Suppressed","no","34:1"
"PC_38:4;0 --> LPC_18:2;0","PC_38:4;0","LPC_18:2;0",0.608264640283114,1.02365005333347,"Active","no","38:4"
"PS_34:1;0 --> PE_34:1;0 --> PC_34:1;0 --> LPC_16:0;0","PS_34:1;0","LPC_16:0;0",-0.327879663429136,1.01361661673134,"Suppressed","no","34:1"
"PS_34:1;0 --> PE_34:1;0 --> PC_34:1;0 --> LPC_18:1;0","PS_34:1;0","LPC_18:1;0",-0.446904146448052,0.965226637972314,"Suppressed","no","34:1"
"PC_40:4;0 --> LPC_20:3;0","PC_40:4;0","LPC_20:3;0",0.44501836172768,0.95854324689853,"Active","no","40:4"
"PC_38:4;0 --> LPC_16:0;0","PC_38:4;0","LPC_16:0;0",0.435917537962567,0.954913604762018,"Active","no","38:4"
"PS_34:0;0 --> PE_34:0;0 --> PC_34:0;0 --> LPC_16:0;0","PS_34:0;0","LPC_16:0;0",-0.483006926297094,0.950548878357434,"Suppressed","no","34:0"
"PS_42:5;0 --> PE_42:5;0 --> LPE_20:4;0","PS_42:5;0","LPE_20:4;0",-0.128240164321412,0.945938350438606,"Suppressed","no","42:5"
"PC_38:5;0 --> LPC_18:2;0","PC_38:5;0","LPC_18:2;0",0.329435201746671,0.912445715667722,"Active","no","38:5"
"PE_36:1;0 --> PS_36:1;0 --> LPS_18:1;0","PE_36:1;0","LPS_18:1;0",-0.231209256264961,0.90403879854089,"Suppressed","no","36:1"
"PE_40:4;0 --> PC_40:4;0 --> LPC_18:2;0","PE_40:4;0","LPC_18:2;0",-0.231744299589899,0.903821081989858,"Suppressed","no","40:4"
"PC_38:4;0 --> LPC_18:1;0","PC_38:4;0","LPC_18:1;0",0.267591499822771,0.887780859806936,"Active","no","38:4"
"PC_36:1;0 --> PS_36:1;0 --> LPS_18:0;0","PC_36:1;0","LPS_18:0;0",-0.313269938606716,0.870647168551325,"Suppressed","no","36:1"
"PC_34:1;0 --> PS_34:1;0 --> PE_34:1;0 --> LPE_16:0;0","PC_34:1;0","LPE_16:0;0",-0.697377544880918,0.863395467422792,"Suppressed","no","34:1"
"PC_38:5;0 --> LPC_16:0;0","PC_38:5;0","LPC_16:0;0",0.157088099426124,0.843709267096269,"Active","no","38:5"
"PC_38:4;0 --> LPC_20:4;0","PC_38:4;0","LPC_20:4;0",0.146685161539853,0.839560308422849,"Active","no","38:4"
"PE_34:0;0 --> LPE_16:0;0","PE_34:0;0","LPE_16:0;0",0.129666185819972,0.832772704027084,"Active","no","34:0"
"PS_36:1;0 --> PE_36:1;0 --> LPE_18:0;0","PS_36:1;0","LPE_18:0;0",-0.434191362270592,0.821442563842098,"Suppressed","no","36:1"
"PE_34:1;0 --> LPE_16:0;0","PE_34:1;0","LPE_16:0;0",0.0666931532748016,0.807657442124514,"Active","no","34:1"
"PC_34:0;0 --> PS_34:0;0 --> PE_34:0;0 --> LPE_16:0;0","PC_34:0;0","LPE_16:0;0",-0.852504807748876,0.800327729048884,"Suppressed","no","34:0"
"PE_38:5;0 --> PC_38:5;0 --> LPC_18:2;0","PE_38:5;0","LPC_18:2;0",-0.497543956000239,0.795663514627159,"Suppressed","no","38:5"
"PC_38:5;0 --> LPC_18:1;0","PC_38:5;0","LPC_18:1;0",-0.0112379387136728,0.776576522141188,"Suppressed","no","38:5"
"PE_42:5;0 --> PS_42:5;0","PE_42:5;0","PS_42:5;0",-0.0238571333939968,0.771543663366783,"Suppressed","no","42:5"
"PS_42:5;0 --> PE_42:5;0","PS_42:5;0","PE_42:5;0",-0.0238571333939968,0.771543663366783,"Suppressed","no","42:5"
"PE_38:2;0 --> LPE_18:0;0","PE_38:2;0","LPE_18:0;0",-0.0571243141272184,0.758275857718775,"Suppressed","no","38:2"
"PE_40:4;0 --> PC_40:4;0 --> LPC_20:4;0","PE_40:4;0","LPC_20:4;0",-0.608622365810173,0.750464168797259,"Suppressed","no","40:4"
"PC_38:4;0 --> PS_38:4;0 --> PE_38:4;0 --> LPE_18:1;0","PC_38:4;0","LPE_18:1;0",-0.987949242899621,0.745262139400984,"Suppressed","no","38:4"
"PS_38:4;0 --> PE_38:4;0 --> PC_38:4;0 --> LPC_18:2;0","PS_38:4;0","LPC_18:2;0",-0.996589606057354,0.741749358004516,"Suppressed","no","38:4"
"PE_38:5;0 --> PC_38:5;0 --> LPC_16:0;0","PE_38:5;0","LPC_16:0;0",-0.638264775777766,0.738402260982325,"Suppressed","no","38:5"
"PE_34:1;0 --> PC_34:1;0 --> LPC_18:0;0","PE_34:1;0","LPC_18:0;0",-0.65341741432536,0.732236442160107,"Suppressed","no","34:1"
"PS_40:2;0 --> LPS_18:1;0","PS_40:2;0","LPS_18:1;0",-0.125225972562197,0.73111516815905,"Suppressed","no","40:2"
"PC_38:5;0 --> LPC_20:4;0","PC_38:5;0","LPC_20:4;0",-0.13214427699659,0.728355970757101,"Suppressed","no","38:5"
"PC_36:1;0 --> LPC_18:0;0","PC_36:1;0","LPC_18:0;0",-0.162839897592257,0.716113769304136,"Suppressed","no","36:1"
"PE_38:4;0 --> PC_38:4;0 --> LPC_18:2;0","PE_38:4;0","LPC_18:2;0",-0.712296845626099,0.708277584789141,"Suppressed","no","38:4"
"PC_34:1;0 --> PS_34:1;0 --> PE_34:1;0","PC_34:1;0","PE_34:1;0",-0.73514638276615,0.698979791158376,"Suppressed","no","34:1"
"PE_34:1;0 --> PC_34:1;0 --> PS_34:1;0","PE_34:1;0","PS_34:1;0",-0.73514638276615,0.698979791158376,"Suppressed","no","34:1"
"PS_34:1;0 --> PE_34:1;0 --> PC_34:1;0","PS_34:1;0","PC_34:1;0",-0.73514638276615,0.698979791158376,"Suppressed","no","34:1"
"PS_38:4;0 --> PE_38:4;0 --> PC_38:4;0 --> LPC_16:0;0","PS_38:4;0","LPC_16:0;0",-1.11845741082606,0.692203413047713,"Suppressed","no","38:4"
"PE_38:5;0 --> PC_38:5;0 --> LPC_18:1;0","PE_38:5;0","LPC_18:1;0",-0.77570241040002,0.682476980921473,"Suppressed","no","38:5"
"PE_38:5;0 --> LPE_18:1;0","PE_38:5;0","LPE_18:1;0",-0.317558293900693,0.654408101220823,"Suppressed","no","38:5"
