"edge_name","FC_ctrl","FC_exp","FC_exp_ctrl","statistics","p_value","mlog10p","adj_p_value","mlog10padj","perturbation_score","Mode","edge_type","node1_log2FC","node2_log2FC","FA_change"
"PA_28:0;0 --> LPA_16:0;0",124.634538978896,338.493847550444,2.71589119937099,40.8731396731282,0.000000000141333371972255,9.84975527939579,0.0000000287260078533608,7.54172472512968,14.1976902536393,"Increase","Non-change",-1.45161420593571,-0.00511571877550589," (12:0)"
"PA_28:0;0 --> LPA_18:0;0",129.886970583633,348.772677869988,2.68520142014874,41.4358057602065,0.000000000126748674053295,9.89705657522421,0.0000000287260078533608,7.54172472512968,14.1036056048111,"Increase","Non-change",-1.45161420593571,-0.0214080708789313," (10:0)"
"PA_28:0;0 --> LPA_20:0;0",86.3208131360245,218.682113727328,2.53336484890067,34.7813029114538,0.000000000510676134873552,9.29185443729798,0.0000000593113853788854,7.22686193171817,12.4608866013801,"Increase","Non-change",-1.45161420593571,-0.105963316129745," (8:0)"
"PA_42:6;0 --> LPA_22:1;0",1373.84959032807,3618.9516435706,2.63416873946616,18.8289394982116,0.000000065420985322737,7.18428291913789,0.00000171571809894791,5.7655540673781,10.0389416776742,"Increase","Increase",-1.23607649554998,0.176322654243249," (20:5)"
"PA_30:0;0 --> LPA_16:0;0",7.04156170821694,15.7948676881176,2.24309156727069,26.8463666539806,0.00000000398908836404177,8.39912634333651,0.000000216208589331064,6.66512705679813,9.78908529075557,"Increase","Non-change",-1.17129170554518,-0.00511571877550589," (14:0)"
"PA_30:0;0 --> LPA_18:0;0",7.33857159530218,16.2759030199044,2.21785708683738,25.5110600667647,0.00000000597429522791555,8.22371331994973,0.000000263529973595291,6.57916998148855,9.4504150702819,"Increase","Non-change",-1.17129170554518,-0.0214080708789313," (12:0)"
"PA_30:0;0 --> LPA_20:0;0",4.87660892430365,10.2032346799865,2.09228068897148,25.3360170061227,0.00000000630877034113847,8.20005528197612,0.000000263529973595291,6.57916998148855,8.73368543062649,"Increase","Non-change",-1.17129170554518,-0.105963316129745," (10:0)"
"PA_32:0;0 --> LPA_16:0;0",2.32371465209435,4.55793065067429,1.96148466274302,29.8797732336655,0.00000000170707072809749,8.76774848463447,0.000000130290852216785,6.88508607524088,8.52177854847209,"Increase","Non-change",-0.977696149549311,-0.00511571877550589," (16:0)"
"PA_32:0;0 --> LPA_18:0;0",2.42175752394435,4.6967585852944,1.93940084374951,27.4172715750926,0.00000000337653739757449,8.47152843579415,0.000000196080350302004,6.70756592587832,8.09548590162473,"Increase","Non-change",-0.977696149549311,-0.0214080708789313," (14:0)"
"PA_32:0;0 --> LPA_20:0;0",1.6092587869744,2.94393358488795,1.82937238480015,33.562458810582,0.000000000678145233627565,9.16867728635642,0.0000000689165093674013,7.16167672775429,7.98911575131053,"Increase","Non-change",-0.977696149549311,-0.105963316129745," (12:0)"
