feature,Ctrl1,Ctrl2,Ctrl3,Ctrl4,Ctrl5,LPCAT1KO1,LPCAT1KO2,LPCAT1KO3,LPCAT1KO4,LPCAT1KO5
20:4LPE,3.006,3.121,3.726,3.834,4.29,6.985,6.306,4.44,5.363,5.656
22:6LPE,1.957,2.062,2.411,2.449,2.505,2.638,2.498,1.958,1.96,2.223
16:0LPS,2.495,2.688,2.648,3.04,3.028,2.709,2.661,2.533,2.635,2.707
18:1LPS,8.763,8.443,10.47,10.45,10.524,11.412,11.043,8.86,9.875,9.794
18:0LPS,24.212,24.465,23.914,23.929,23.344,26.589,24.645,24.482,23.844,21.703
20:4LPS,0.786,0.728,0.809,0.822,0.792,1.072,1.093,0.814,0.896,0.868
20:1LPS,0.527,0.636,0.623,0.659,0.636,0.8,0.75,0.73,0.679,0.609
20:0LPS,0.744,0.72,0.733,0.625,0.658,0.653,0.633,0.545,0.582,0.579
22:6LPS,0.386,0.356,0.422,0.41,0.494,0.321,0.358,0.277,0.295,0.316
22:5LPS,0.365,0.482,0.55,0.537,0.581,0.488,0.487,0.306,0.459,0.434
22:1LPS,0.549,0.54,0.531,0.469,0.399,0.974,0.945,0.815,0.818,0.761
22:0LPS,1.08,1.014,1.015,1.037,1.019,1.202,1.206,0.995,1.039,0.916
24:1LPS,0.891,0.713,0.711,0.661,0.548,1.437,1.675,1.246,1.279,1.101
16:0 FFA,378.103,265.879,316.362,225.522,226.525,384.094,402.452,427.955,376.695,417.966
18:1 FFA,136.247,123.682,122.662,147.074,142.278,306.2,277.447,279.388,300.457,280.212
18:0 FFA,204.457,168.199,168.233,150.996,125.692,275.093,266.048,275.444,252.495,237.656
20:4 FFA,0.912,1.116,1.171,1.366,1.656,2.986,2.681,3.664,3.704,3.936
