"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"Serine+Palmitoyl CoA --> ketodhSPB_18:0;2 --> dhSPB_18:0;2 --> dhCer_44:1;2 --> Cer_44:2;2 --> SM_44:2;2","Serine+Palmitoyl CoA","SM_44:2;2",-9.68851601390863,-4.16696547408864,"Suppressed","yes","44:2;2"
"Serine+Palmitoyl CoA --> ketodhSPB_18:0;2 --> dhSPB_18:0;2 --> dhCer_34:0;2 --> dhSM_34:0;2","Serine+Palmitoyl CoA","dhSM_34:0;2",-9.28590035850728,-4.0073366162653,"Suppressed","yes","34:0;2"
"Serine+Palmitoyl CoA --> ketodhSPB_18:0;2 --> dhSPB_18:0;2 --> dhCer_32:0;2 --> dhSM_32:0;2","Serine+Palmitoyl CoA","dhSM_32:0;2",-8.99088206650561,-3.85748281494964,"Suppressed","yes","32:0;2"
"Serine+Palmitoyl CoA --> ketodhSPB_18:0;2 --> dhSPB_18:0;2 --> dhCer_42:0;2 --> dhSM_42:0;2","Serine+Palmitoyl CoA","dhSM_42:0;2",-8.83849250037661,-3.78007691713112,"Suppressed","yes","42:0;2"
"Serine+Palmitoyl CoA --> ketodhSPB_18:0;2 --> dhSPB_18:0;2 --> dhCer_44:1;2 --> Cer_44:2;2","Serine+Palmitoyl CoA","Cer_44:2;2",-8.72743081124453,-3.72366341075476,"Suppressed","yes","18:0;2"
"dhCer_40:1;2 --> Cer_40:2;2 --> HexCer_40:2;2","dhCer_40:1;2","HexCer_40:2;2",7.09456506709625,4.13631321835704,"Active","yes","40:2;2"
"dhCer_42:1;2 --> Cer_42:2;2 --> HexCer_42:2;2","dhCer_42:1;2","HexCer_42:2;2",6.9408443425012,4.05840536523234,"Active","yes","42:2;2"
"dhCer_34:1;2 --> Cer_34:2;2 --> HexCer_34:2;2","dhCer_34:1;2","HexCer_34:2;2",6.58620397752779,3.87866857606989,"Active","yes","34:2;2"
"Cer_34:1;2 --> HexCer_34:1;2","Cer_34:1;2","HexCer_34:1;2",6.78129461573423,3.84532012599174,"Active","yes","34:1;2"
"Cer_42:1;2 --> HexCer_42:1;2","Cer_42:1;2","HexCer_42:1;2",4.83481958317479,2.86851493016469,"Active","yes","42:1;2"
