"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"exo: 12:0 --> exo: 14:0 --> 16:0 --> w10-16:1","exo: 12:0;0","w10-16:1;0",7.57474322537484,3.24191737046374,"Active","yes","exo: 12:0;0 --> exo: 14:0;0 --> 16:0;0 --> w10-16:1;0"
"16:0 --> w7-16:1","16:0;0","w7-16:1;0",7.24292412758114,2.97805526893857,"Active","yes","16:0;0 --> w7-16:1;0"
"endo: 2:0--10:0 --> endo: 12:0 --> endo: 14:0 --> 16:0 --> w10-16:1","endo: 2:0;0--10:0;0","w10-16:1;0",6.69682245171187,2.95428328475264,"Active","yes","endo: 2:0;0--10:0;0 --> endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> w10-16:1;0"
"endo: 14:0 --> 16:0 --> w7-16:1","endo: 14:0;0","w7-16:1;0",6.93237959331309,2.9334575563807,"Active","yes","endo: 14:0;0 --> 16:0;0 --> w7-16:1;0"
"exo: 14:0 --> 16:0 --> w7-16:1","exo: 14:0;0","w7-16:1;0",6.93237959331309,2.9334575563807,"Active","yes","exo: 14:0;0 --> 16:0;0 --> w7-16:1;0"
"18:0 --> w9-18:1 --> w9-20:1 --> w9-22:1 --> w9-24:1","18:0;0","w9-24:1;0",-9.18592536191703,-2.99455865460172,"Suppressed","yes","18:0;0 --> w9-18:1;0 --> w9-20:1;0 --> w9-22:1;0 --> w9-24:1;0"
"18:0 --> w9-18:1 --> w9-20:1 --> w9-20:2 --> w9-20:3","18:0;0","w9-20:3;0",-8.15008311081322,-2.60658662997296,"Suppressed","yes","18:0;0 --> w9-18:1;0 --> w9-20:1;0 --> w9-20:2;0 --> w9-20:3;0"
"18:0 --> 20:0 --> 22:0 --> 24:0","18:0;0","24:0;0",-7.53915074485896,-2.41209161163459,"Suppressed","yes","18:0;0 --> 20:0;0 --> 22:0;0 --> 24:0;0"
"18:0 --> w9-18:1 --> w9-18:2 --> w9-20:2 --> w9-20:3","18:0;0","w9-20:3;0",-7.46811900113676,-2.35115874404402,"Suppressed","yes","18:0;0 --> w9-18:1;0 --> w9-18:2;0 --> w9-20:2;0 --> w9-20:3;0"
