"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"endo: 2:0--10:0 --> endo: 12:0 --> endo: 14:0 --> 16:0 --> 18:0 --> w9-18:1 --> w9-20:1 --> w9-22:1 --> w9-24:1","endo: 2:0;0--10:0;0","w9-24:1;0",-13.1349135737549,-3.82717906580363,"Suppressed","yes","endo: 2:0;0--10:0;0 --> endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> w9-18:1;0 --> w9-20:1;0 --> w9-22:1;0 --> w9-24:1;0"
"endo: 12:0 --> endo: 14:0 --> 16:0 --> 18:0 --> 20:0 --> 22:0 --> 24:0","endo: 12:0;0","24:0;0",-11.9937181390363,-3.54073730291443,"Suppressed","yes","endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0 --> 22:0;0 --> 24:0;0"
"exo: 12:0 --> exo: 14:0 --> 16:0 --> 18:0 --> w9-18:1","exo: 12:0;0","w9-18:1;0",-10.2312706910461,-2.93400465069392,"Suppressed","yes","exo: 12:0;0 --> exo: 14:0;0 --> 16:0;0 --> 18:0;0 --> w9-18:1;0"
"endo: 14:0 --> 16:0 --> 18:0 --> w9-18:1 --> w9-20:1 --> w9-20:2 --> w9-20:3","endo: 14:0;0","w9-20:3;0",-9.14441084361427,-2.22961468174159,"Suppressed","yes","exo: 14:0;0 --> 16:0;0 --> 18:0;0 --> w9-18:1;0 --> w9-20:1;0 --> w9-20:2;0 --> w9-20:3;0"
