"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"Serine+Palmitoyl CoA --> ketodhSPB_18:0;2 --> dhSPB_18:0;2 --> dhCer_32:0;2 --> dhSM_32:0;2","Serine+Palmitoyl CoA","dhSM_32:0;2",-9.68893188291442,-4.18763493687883,"Suppressed","yes","32:0;2"
"Serine+Palmitoyl CoA --> ketodhSPB_18:0;2 --> dhSPB_18:0;2 --> dhCer_40:0;2 --> dhSM_40:0;2","Serine+Palmitoyl CoA","dhSM_40:0;2",-9.64389445825409,-4.162349984541,"Suppressed","yes","40:0;2"
"Serine+Palmitoyl CoA --> ketodhSPB_18:0;2 --> dhSPB_18:0;2 --> dhCer_42:1;2 --> Cer_42:2;2 --> SM_42:2;2","Serine+Palmitoyl CoA","SM_42:2;2",-9.88532439785625,-4.12099199835938,"Suppressed","yes","42:2;2"
"Serine+Palmitoyl CoA --> ketodhSPB_18:0;2 --> dhSPB_18:0;2 --> dhCer_42:0;2 --> dhSM_42:0;2","Serine+Palmitoyl CoA","dhSM_42:0;2",-9.39219806229605,-4.02104236263761,"Suppressed","yes","42:0;2"
"Serine+Palmitoyl CoA --> ketodhSPB_18:0;2 --> dhSPB_18:0;2 --> dhCer_42:1;2 --> Cer_42:2;2","Serine+Palmitoyl CoA","Cer_42:2;2",-9.27367318944267,-3.95450001960737,"Suppressed","yes","18:0;2"
"dhCer_44:0;2 --> Cer_44:1;2","dhCer_44:0;2","Cer_44:1;2",3.20012992733765,2.58026207104995,"Active","yes","44:1;2"
"dhCer_34:0;2 --> Cer_34:1;2 --> HexCer_34:1;2","dhCer_34:0;2","HexCer_34:1;2",2.79249169251876,2.53827138740429,"Active","yes","34:1;2"
"dhCer_44:1;2 --> Cer_44:2;2","dhCer_44:1;2","Cer_44:2;2",2.67551967840348,2.28764169330692,"Active","yes","44:2;2"
