"edge_name","FC_ctrl","FC_exp","FC_exp_ctrl","statistics","p_value","mlog10p","adj_p_value","mlog10padj","perturbation_score","Mode","edge_type","node1_log2FC","node2_log2FC","FA_change"
"LPA_18:0;0 --> PA_18:0;0_22:6;0",0.0454866964385527,0.664070399324857,14.5992224390694,5.99656330150749,0.0000897030022439327,4.0471930214358,0.0327116948182875,1.48529695415805,15.6538126044855,"Increase","Non-change",0.566136955212186,4.49149837144908," (22:6)"
"G3P --> LPA_22:6;0",0.0037690850376386,0.0869793435747305,23.0770446159062,4.85510329568404,0.000506614115748512,3.29532271366454,0.0713518994454324,1.14659446112411,14.922495122224,"Increase","Increase",-0.101231094909857,5.26990439613525," (22:6)"
"LPE_18:0;0 --> PE_18:0;0_22:6;0",1.44826002030273,29.3746191557442,20.2826969908374,4.04090046418886,0.00194549122856634,2.71097072291412,0.128318805188882,0.891709692874526,11.7715163342469,"Increase","Non-change",0.151785133419143,4.94482684125688," (22:6)"
"PS_17:1;0_18:0;0 --> LPS_18:0;0",0.717731012897047,17.5358104838083,24.4322875404629,3.41195236487107,0.00580518079798745,2.23618424993995,0.152342686913022,0.817178388894873,10.3104128282998,"Increase","Non-change",-1.93472502027184,-0.334337460202692," (17:1)"
"LPA_18:1;0 --> PA_18:1;0_22:6;0",0.0113303646729014,0.30207685319896,26.6608235409609,3.26159891175293,0.00757742656085091,2.12047826404932,0.159417397260979,0.797464285686709,10.0439621823858,"Increase","Increase",-0.540964676683492,4.1762072740188," (22:6)"
"LPI_18:0;0 --> PI_18:0;0_22:6;0",1.27739135609871,21.7947733106539,17.0619389324956,3.58642336080879,0.00427030561598477,2.3695410424021,0.139801374202663,0.854488559593911,9.69784360852056,"Increase","Non-change",0.0633039483860454,4.51727880132984," (22:6)"
"PG_18:1;0_18:1;0 --> CL_72:6;0",0.338855148750575,3.39765683711802,10.0268709200549,4.19524987756853,0.00149752786559857,2.82462508762773,0.126022729612679,0.899551117937159,9.39413684548192,"Increase","Non-change",-2.33689622934295,-0.045118051190804," (36:4)"
"LPC_16:0;0 --> PC_16:0;0_22:6;0",0.396155162388027,29.2274502829622,73.7777847113714,2.40451934628939,0.0349519029153998,1.45652917462044,0.255492476111118,0.592621884693795,9.03793039649586,"Increase","Non-change",0.225289812949038,6.27462786262377," (22:6)"
"DAG_16:0;0_22:6;0 --> PC_16:0;0_22:6;0",13.0731203588049,964.505859337753,73.7777847113714,2.40451934628939,0.0349519029153998,1.45652917462044,0.255492476111118,0.592621884693795,9.03793039649586,"Increase","Non-change",0.225289812949038,6.27462786262377,""
"PA_17:0;0_20:3;0 --> LPA_17:0;0",5.21989968432448,115.872093466519,22.198145649137,2.94716130788072,0.0132766209378658,1.87691244415267,0.194013744564156,0.712167502147476,8.39424176341909,"Increase","Non-change",-1.45611485496192,-0.0746710455992107," (20:3)"
"LPC_18:0;0 --> PC_18:0;0_22:6;0",1.99833732901201,50.6185231673796,25.3303195774288,2.84088697280582,0.0160563731154191,1.79435254833791,0.194378321968305,0.711352171377379,8.36669517241688,"Increase","Non-change",0.666717470398823,4.82870735006373," (22:6)"
"PC_18:1;0_19:1;0 --> LPC_18:1;0",0.500316024466774,33.8797302646114,67.7166602863054,2.29022435721383,0.042760809720816,1.36895407956352,0.273621632588875,0.562849570173464,8.32521061598778,"Increase","Increase",-3.58922161768942,0.110192516686675," (19:1)"
"PS_18:1;0_20:2;0 --> LPS_18:1;0",0.259870679744487,6.92836323018043,26.6608115890281,2.72449423721939,0.0197719815031643,1.70394980449679,0.204061771362846,0.690238347764147,8.07101178557837,"Increase","Increase",-3.29452518101792,0.290554065864819," (20:2)"
"PS_17:1;0_18:0;0 --> PE_17:1;0_18:0;0",0.719094433215581,37.5260560899959,52.1851572709169,2.316500211066,0.0408287183766311,1.38903425247213,0.272357426244112,0.564860778522411,7.9252288573609,"Increase","Increase",-1.93472502027184,0.420620620663462,""
"PA_18:1;0_19:1;0 --> LPA_18:1;0",19.038785751095,335.339151988452,17.6134736937814,2.82226026879162,0.0166004143654061,1.77988107133565,0.194378321968305,0.711352171377379,7.36622925332559,"Increase","Non-change",-3.37902409991948,-0.540964676683492," (19:1)"
"PG_18:1;0_18:1;0 --> CL_70:4;0",0.19298603247663,1.11448889242507,5.77497178486238,4.21460400553972,0.00144948471102496,2.83878636116619,0.126022729612679,0.899551117937159,7.18160118959417,"Increase","Non-change",-2.33689622934295,-0.882408253213309," (34:2)"
