"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"endo: 2:0;0--10:0;0 --> endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0","endo: 2:0;0--10:0;0","16:0;0",7.17613850843153,3.26866255367257,"Active","yes","endo: 2:0;0--10:0;0 --> endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0"
"endo: 2:0;0--10:0;0 --> endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0","endo: 2:0;0--10:0;0","18:0;0",7.01091831167744,3.25085224808843,"Active","yes","endo: 2:0;0--10:0;0 --> endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0"
"w3-18:4;0 --> w3-20:4;0 --> w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0","w3-18:4;0","w3-24:6;0",6.45863363429328,3.10806111226925,"Active","yes","w3-18:4;0 --> w3-20:4;0 --> w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0"
"endo: 2:0;0--10:0;0 --> endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0","endo: 2:0;0--10:0;0","20:0;0",6.13183002603784,2.96436880497845,"Active","yes","endo: 2:0;0--10:0;0 --> endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0"
"w3-18:3;0 --> w3-18:4;0 --> w3-20:4;0 --> w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0","w3-18:3;0","w3-24:6;0",5.95240654719441,2.90790866494296,"Active","yes","w3-18:4;0 --> w3-20:4;0 --> w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0"
"endo: 2:0;0--10:0;0 --> endo: 12:0;0 --> endo: 14:0;0","endo: 2:0;0--10:0;0","endo: 14:0;0",6.47566720051109,2.86262197288073,"Active","yes","endo: 2:0;0--10:0;0 --> endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0"
"w3-18:4;0 --> w3-20:4;0 --> w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0","w3-18:4;0","w3-22:6;0",5.9667646094486,2.79985803631228,"Active","yes","w3-18:4;0 --> w3-20:4;0 --> w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0"
"endo: 2:0;0--10:0;0 --> endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0 --> 22:0;0 --> 24:0;0","endo: 2:0;0--10:0;0","24:0;0",5.476286740384,2.77035441166489,"Active","yes","endo: 2:0;0--10:0;0 --> endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0 --> 22:0;0 --> 24:0;0"
"w3-20:4;0 --> w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0","w3-20:4;0","w3-24:6;0",5.86592274361841,2.75630209459887,"Active","yes","w3-18:4;0 --> w3-20:4;0 --> w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0"
"endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0","endo: 12:0;0","18:0;0",5.96876113851844,2.75315602689926,"Active","yes","endo: 2:0;0--10:0;0 --> endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0 --> 22:0;0 --> 24:0;0"
