"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"PC_18:0;0_22:6;0 --> PS_18:0;0_22:6;0 --> PE_18:0;0_22:6;0 --> LPE_22:6;0","PC_18:0;0_22:6;0","LPE_22:6;0",4.87062882231006,4.21871039951959,"Active","yes","18:0;0_22:6;0"
"PE_18:0;0_22:6;0 --> PC_18:0;0_22:6;0 --> PS_18:0;0_22:6;0 --> LPS_22:6;0","PE_18:0;0_22:6;0","LPS_22:6;0",4.6312364049075,4.0639853013614,"Active","yes","18:0;0_22:6;0"
"PS_18:0;0_22:6;0 --> PE_18:0;0_22:6;0 --> LPE_22:6;0","PS_18:0;0_22:6;0","LPE_22:6;0",4.53877721073368,3.84260177185271,"Active","yes","18:0;0_22:6;0"
"PC_18:0;0_22:6;0 --> PS_18:0;0_22:6;0 --> PE_18:0;0_22:6;0","PC_18:0;0_22:6;0","PE_18:0;0_22:6;0",4.44885897131083,3.78467090026184,"Active","yes","18:0;0_22:6;0"
"PE_18:0;0_22:6;0 --> PC_18:0;0_22:6;0 --> PS_18:0;0_22:6;0","PE_18:0;0_22:6;0","PS_18:0;0_22:6;0",4.44885897131083,3.78467090026184,"Active","yes","18:0;0_22:6;0"
"PS_18:0;0_22:6;0 --> PE_18:0;0_22:6;0 --> PC_18:0;0_22:6;0","PS_18:0;0_22:6;0","PC_18:0;0_22:6;0",4.44885897131083,3.78467090026184,"Active","yes","18:0;0_22:6;0"
"PS_18:0;0_22:6;0 --> PE_18:0;0_22:6;0 --> PC_18:0;0_22:6;0 --> LPC_18:0;0","PS_18:0;0_22:6;0","LPC_18:0;0",4.15935714492454,3.75899834474903,"Active","yes","18:0;0_22:6;0"
"PC_18:0;0_22:6;0 --> PS_18:0;0_22:6;0 --> PE_18:0;0_22:6;0 --> LPE_18:0;0","PC_18:0;0_22:6;0","LPE_18:0;0",4.01758079245019,3.66736486574782,"Active","yes","18:0;0_22:6;0"
"PE_18:0;0_22:6;0 --> PS_18:0;0_22:6;0 --> LPS_22:6;0","PE_18:0;0_22:6;0","LPS_22:6;0",4.26235065747504,3.66451074978735,"Active","yes","18:0;0_22:6;0"
"PE_18:0;0_22:6;0 --> PC_18:0;0_22:6;0 --> PS_18:0;0_22:6;0 --> LPS_18:0;0","PE_18:0;0_22:6;0","LPS_18:0;0",3.66535824519391,3.43971493101276,"Active","yes","18:0;0_22:6;0"
"PE_18:0;0_22:6;0 --> PS_18:0;0_22:6;0","PE_18:0;0_22:6;0","PS_18:0;0_22:6;0",4.11945198209632,3.40001153427455,"Active","yes","18:0;0_22:6;0"
"PS_18:0;0_22:6;0 --> PE_18:0;0_22:6;0","PS_18:0;0_22:6;0","PE_18:0;0_22:6;0",4.11945198209632,3.40001153427455,"Active","yes","18:0;0_22:6;0"
"PE_18:0;0_22:6;0 --> LPE_22:6;0","PE_18:0;0_22:6;0","LPE_22:6;0",4.00529821050758,3.3266951937038,"Active","yes","18:0;0_22:6;0"
"PE_18:0;0_22:6;0 --> PC_18:0;0_22:6;0","PE_18:0;0_22:6;0","PC_18:0;0_22:6;0",3.89517130792989,3.25596514788037,"Active","yes","18:0;0_22:6;0"
"PS_18:0;0_22:6;0 --> PE_18:0;0_22:6;0 --> LPE_18:0;0","PS_18:0;0_22:6;0","LPE_18:0;0",3.55376219139113,3.20799438889152,"Active","yes","18:0;0_22:6;0"
"PE_18:0;0_22:6;0 --> PC_18:0;0_22:6;0 --> LPC_18:0;0","PE_18:0;0_22:6;0","LPC_18:0;0",3.53434701829765,3.19548593780738,"Active","yes","18:0;0_22:6;0"
"PC_18:0;0_22:6;0 --> PS_18:0;0_22:6;0 --> LPS_22:6;0","PC_18:0;0_22:6;0","LPS_22:6;0",3.252637627689,3.01399138633437,"Active","yes","18:0;0_22:6;0"
"PE_18:0;0_22:6;0 --> PS_18:0;0_22:6;0 --> LPS_18:0;0","PE_18:0;0_22:6;0","LPS_18:0;0",3.14705062644499,2.94596573269621,"Active","yes","18:0;0_22:6;0"
"PE_18:1;0_22:6;0 --> LPE_22:6;0","PE_18:1;0_22:6;0","LPE_22:6;0",3.19770727872284,2.80801227177723,"Active","yes","18:1;0_22:6;0"
"PE_18:1;0_22:6;0 --> PC_18:1;0_22:6;0","PE_18:1;0_22:6;0","PC_18:1;0_22:6;0",3.15910504652696,2.78321962267703,"Active","yes","18:1;0_22:6;0"
"PE_18:1;0_22:6;0 --> PC_18:1;0_22:6;0 --> LPC_18:1;0","PE_18:1;0_22:6;0","LPC_18:1;0",2.70119185500008,2.65871603339132,"Active","yes","18:1;0_22:6;0"
"PC_18:0;0_22:6;0 --> PS_18:0;0_22:6;0","PC_18:0;0_22:6;0","PS_18:0;0_22:6;0",2.88281112728859,2.60576723719222,"Active","yes","18:0;0_22:6;0"
"PE_18:0;0_22:6;0 --> LPE_18:0;0","PE_18:0;0_22:6;0","LPE_18:0;0",2.79890611732411,2.55187845015932,"Active","yes","18:0;0_22:6;0"
"PC_14:0;0_16:0;0 --> LPC_14:0;0","PC_14:0;0_16:0;0","LPC_14:0;0",2.65817363620657,2.46149168175578,"Active","yes","14:0;0_16:0;0"
