"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0","w3-20:5;0","w3-24:6;0",5.20642358569492,3.46633485782282,"Active","yes","w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0"
"w3-20:4;0 --> w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0","w3-20:4;0","w3-24:6;0",4.72252031015905,3.36455767898712,"Active","yes","w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0"
"w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0","w3-20:5;0","w3-22:6;0",4.58103282512718,3.0806759791941,"Active","yes","w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0"
"w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0","w3-22:5;0","w3-24:6;0",4.45084653614025,3.00992685969353,"Active","yes","w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0"
"w3-22:6;0 --> w3-24:6;0","w3-22:6;0","w3-24:6;0",4.70024154766472,2.95066960028578,"Active","yes","w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0"
"w3-24:6;0 --> w3-22:6;0","w3-24:6;0","w3-22:6;0",4.70024154766472,2.95066960028578,"Active","yes","w3-24:6;0 --> w3-22:6;0"
"w3-20:4;0 --> w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0","w3-20:4;0","w3-22:6;0",4.04080543575512,2.8363396082935,"Active","yes","w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0"
"endo: 14:0;0 --> 16:0;0 --> 18:0;0","endo: 14:0;0","18:0;0",3.44388079149565,2.46269611554044,"Active","yes","endo: 14:0;0 --> 16:0;0 --> 18:0;0"
"exo: 14:0;0 --> 16:0;0 --> 18:0;0","exo: 14:0;0","18:0;0",3.44388079149565,2.46269611554044,"Active","yes","exo: 14:0;0 --> 16:0;0 --> 18:0;0"
"endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0","endo: 12:0;0","18:0;0",3.2742180875764,2.4220131946847,"Active","yes","endo: 14:0;0 --> 16:0;0 --> 18:0;0"
"exo: 12:0;0 --> exo: 14:0;0 --> 16:0;0 --> 18:0;0","exo: 12:0;0","18:0;0",3.2742180875764,2.4220131946847,"Active","yes","exo: 14:0;0 --> 16:0;0 --> 18:0;0"
"w3-22:5;0 --> w3-22:6;0","w3-22:5;0","w3-22:6;0",3.69875308039091,2.4215385264209,"Active","yes","w3-20:5;0 --> w3-22:5;0 --> w3-22:6;0 --> w3-24:6;0"
"16:0;0 --> 18:0;0","16:0;0","18:0;0",3.62295541508824,2.38149123546484,"Active","yes","endo: 14:0;0 --> 16:0;0 --> 18:0;0"
"endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0 --> 22:0;0 --> 24:0;0","endo: 12:0;0","24:0;0",2.40234103241741,2.25556354698626,"Active","yes","endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0 --> 22:0;0 --> 24:0;0"
"exo: 12:0;0 --> exo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0 --> 22:0;0 --> 24:0;0","exo: 12:0;0","24:0;0",2.40234103241741,2.25556354698626,"Active","yes","endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0 --> 22:0;0 --> 24:0;0"
"endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0","endo: 12:0;0","16:0;0",3.01597576674975,2.23015316523263,"Active","yes","endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0 --> 22:0;0 --> 24:0;0"
"exo: 12:0;0 --> exo: 14:0;0 --> 16:0;0","exo: 12:0;0","16:0;0",3.01597576674975,2.23015316523263,"Active","yes","exo: 12:0;0 --> exo: 14:0;0 --> 16:0;0"
"endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0","endo: 12:0;0","20:0;0",2.63255580297885,2.20530243132706,"Active","yes","endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0 --> 22:0;0 --> 24:0;0"
"exo: 12:0;0 --> exo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0","exo: 12:0;0","20:0;0",2.63255580297885,2.20530243132706,"Active","yes","exo: 12:0;0 --> exo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0"
"endo: 14:0;0 --> 16:0;0","endo: 14:0;0","16:0;0",3.28123256401853,2.20094379527026,"Active","yes","endo: 14:0;0 --> 16:0;0 --> 18:0;0"
"exo: 14:0;0 --> 16:0;0","exo: 14:0;0","16:0;0",3.28123256401853,2.20094379527026,"Active","yes","exo: 14:0;0 --> 16:0;0 --> 18:0;0"
"endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0 --> 22:0;0 --> 24:0;0","endo: 14:0;0","24:0;0",2.3566284709206,2.14835196244468,"Active","yes","endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0 --> 22:0;0 --> 24:0;0"
"exo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0 --> 22:0;0 --> 24:0;0","exo: 14:0;0","24:0;0",2.3566284709206,2.14835196244468,"Active","yes","endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0 --> 22:0;0 --> 24:0;0"
"endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0","endo: 14:0;0","20:0;0",2.65155703047522,2.08547630388482,"Active","yes","endo: 12:0;0 --> endo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0 --> 22:0;0 --> 24:0;0"
"exo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0","exo: 14:0;0","20:0;0",2.65155703047522,2.08547630388482,"Active","yes","exo: 12:0;0 --> exo: 14:0;0 --> 16:0;0 --> 18:0;0 --> 20:0;0"
